Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fldpct,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,PB,WP,SB,CS,CSpct,lgCSpct,PO,Pos-Summary,Name-additional
Nolan Arenado,33,146,145,132,1268.1,392,103,280,9,26,0.977,13,12,6,6,0,2.72,2.52,,,,,,,,3B-DH,arenano01
Shawn Armstrong,33,11,0,0,12.2,0,0,0,0,0,,,,-1,-16,,0,0,,,4,1,0.20,0.20,0,P,armstsh01
Luken Baker,27,1,8,0,3,1,1,0,0,0,1,-1,-228,-1,-400,0,3,0.08,,,,,,,,1B-DH,bakerlu01
Alec Burleson,25,87,81,47,671.1,238,221,16,1,12,0.996,-1,-2,-3,-5,1,3.18,1.53,,,,,,,,RF-LF-1B-DH,burleal01
Dylan Carlson,25,57,28,18,317.1,90,88,1,1,1,0.989,4,13,-3,-11,0,2.52,1.35,,,,,,,,RF-CF-LF-DH,carlsdy01
Matt Carpenter,38,6,1,0,14,13,11,2,0,1,1,0,33,1,86,0,8.36,0.28,,,,,,,,1B-3B-2B-DH,carpema01
Willson Contreras,32,51,50,48,431.2,383,359,21,3,1,0.992,0,0,0,0,2,7.92,4.52,4,13,37,11,0.23,0.20,1,C-DH,contrwi01
Brandon Crawford,37,25,21,15,179,67,18,48,1,10,0.985,-1,-10,-1,-7,0,3.32,2.36,,,0,0,,,0,SS-3B-P-DH,crawfbr01
Brendan Donovan,27,148,145,121,1292,394,242,150,2,28,0.995,-3,-2,0,0,-1,2.73,2.25,,,,,,,,LF-2B-3B-RF-DH,donovbr01
Erick Fedde,31,10,10,0,55.2,7,3,4,0,0,1,,,0,0,0,1.13,0.7,,,7,3,0.30,0.20,1,P,feddeer01
José Fermín,25,22,13,7,126,37,13,24,0,2,1,-3,-32,-1,-10,0,2.64,0.95,,,,,,,,2B-3B-LF-DH,fermijo01
Ryan Fernandez,26,62,0,0,66.2,11,5,6,0,0,1,,,-1,-3,0,1.49,0.18,,,12,1,0.08,0.20,0,P,fernary01
Giovanny Gallegos,32,21,0,0,20.2,8,4,4,0,0,1,,,1,10,0,3.48,0.38,,,2,0,0.00,0.21,0,P,gallegi01
Kyle Gibson,36,30,30,0,169.2,28,16,12,0,1,1,,,0,0,0,1.49,0.93,,,8,1,0.11,0.20,0,P,gibsoky01
Paul Goldschmidt,36,150,148,143,1313,1323,1216,102,5,137,0.996,-7,-6,0,0,0,9.03,8.5,,,,,,,,1B-DH,goldspa01
Nolan Gorman,24,106,97,93,874.1,400,147,243,10,68,0.975,-6,-8,-4,-5,0,4.01,3.64,,,,,,,,2B-3B,gormano01
Gordon Graceffo,24,2,1,0,7.2,0,0,0,0,0,,,,0,0,,0,0,,,0,0,,,0,P,gracego01
Sonny Gray,34,28,28,0,166.1,31,14,17,0,1,1,,,-2,-2,0,1.68,1.11,,,25,5,0.17,0.20,1,P,grayso01
Ryan Helsley,29,65,0,0,66.1,9,6,3,0,2,1,,,0,0,0,1.22,0.14,,,4,1,0.20,0.20,0,P,helslry01
Iván Herrera,24,56,52,47,469.2,496,476,17,3,2,0.994,-5,-14,-7,-18,2,9.45,7.25,1,15,55,4,0.07,0.20,0,C-DH,herreiv01
John King,29,56,0,0,60,19,6,12,1,0,0.947,,,-1,-3,0,2.7,0.32,,,11,0,0.00,0.20,0,P,kingjo01
Andrew Kittredge,34,74,0,0,70.2,11,3,7,1,1,0.909,,,-2,-6,0,1.27,0.14,,,11,0,0.00,0.20,0,P,kittran01
Adam Kloffenstein,23,1,0,0,1,0,0,0,0,0,,,,0,0,,0,0,,,0,0,,,0,P,kloffad01
