Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,number,Thr,Opp-Starter-GmeSc
1,1,Mar 28,@,LAD,L1-7,32,31,1,3,0,0,1,1,1,0,6,0,0,0,1,0,1,0,.097,.125,.194,.319,4,9,R,T.Glasnow(68)
2,2,Mar 29,@,LAD,L3-6,36,32,3,6,1,0,0,3,2,0,14,1,0,1,0,0,0,0,.143,.191,.206,.398,6,10,R,B.Miller(78)
3,3,Mar 30,@,LAD,W6-5,41,36,6,7,2,0,0,5,2,1,10,1,0,1,0,0,0,0,.162,.213,.222,.435,6,10,R,Y.Yamamoto(68)
4,4,Mar 31,@,LAD,L4-5,40,34,4,8,1,0,0,4,3,0,13,1,1,0,0,0,0,0,.180,.240,.233,.473,9,10,R,G.Stone(46)
5,5,Apr 1,@,SDP,W6-2,45,41,6,14,2,0,2,6,3,0,13,1,0,0,0,0,1,0,.218,.277,.305,.582,12,10,R,M.Waldron(34)
6,6,Apr 2,@,SDP,W5-2,37,29,5,6,2,0,1,4,4,0,7,0,2,2,0,1,0,0,.217,.279,.315,.594,5,11,R,Y.Darvish(60)
7,7,Apr 3,@,SDP,L2-3,36,28,2,6,1,0,0,1,4,0,11,4,0,0,0,3,0,2,.216,.294,.307,.601,7,12,R,J.Musgrove(64)
8,8,Apr 4,,MIA,W8-5,40,35,8,10,2,1,1,8,3,0,9,2,0,0,1,1,0,0,.226,.305,.331,.635,8,9,L,R.Weathers(56)
9,9,Apr 6,,MIA,W3-1,35,31,3,8,3,0,0,2,4,0,3,0,0,0,1,1,0,1,.229,.309,.333,.642,8,10,L,T.Rogers(47)
10,10,Apr 7,,MIA,L3-10,34,32,3,5,1,1,2,3,2,0,9,0,0,0,0,0,0,0,.222,.299,.343,.643,4,11,R,M.Meyer(64)
11,11,Apr 8,,PHI,L3-5,40,35,3,6,2,0,1,3,3,0,11,1,0,1,0,0,1,0,.217,.294,.341,.635,8,10,R,S.Turnbull(73)
12,12,Apr 9,,PHI,W3-0,33,30,3,7,1,0,1,3,2,0,6,0,0,1,0,0,0,0,.218,.293,.343,.635,6,10,R,Z.Wheeler(57)
13,13,Apr 10,,PHI,L3-4,35,31,3,7,0,0,2,3,4,0,4,0,0,0,0,2,0,0,.219,.294,.348,.643,5,11,R,A.Nola(58)
14,14,Apr 12,@,ARI,W9-6,43,38,9,14,2,2,2,9,3,0,8,0,0,2,0,1,0,0,.231,.303,.376,.678,7,10,R,B.Pfaadt(36)
15,15,Apr 13,@,ARI,L2-4,38,37,2,11,1,1,0,2,1,1,5,0,0,0,0,0,1,0,.236,.304,.376,.680,9,10,R,R.Nelson(57)
16,16,Apr 14,@,ARI,L0-5,33,30,0,4,2,0,0,0,3,0,8,0,0,0,0,1,0,0,.230,.298,.366,.665,6,11,R,Z.Gallen(69)
17,17,Apr 15,@,OAK,W3-1,37,32,3,8,5,0,0,3,2,0,7,1,2,0,0,1,0,0,.231,.299,.368,.668,7,10,R,R.Stripling(47)
18,18,Apr 16,@,OAK,W3-2,37,27,3,4,0,0,0,3,6,0,7,0,1,2,0,0,1,1,.228,.299,.358,.657,7,10,L,J.Sears(58)
19,19,Apr 17,@,OAK,L3-6,37,31,3,6,2,0,0,3,6,0,12,0,0,0,0,2,1,0,.226,.300,.353,.653,7,12,R,P.Blackburn(47)
20,20,Apr 19,,MIL,L1-2,42,35,1,5,0,0,0,1,6,1,11,1,0,0,0,0,1,0,.221,.299,.342,.641,12,13,R,F.Peralta(69)
21,21,Apr 20,,MIL,L5-12,41,30,5,6,2,0,0,5,8,0,7,1,0,2,0,0,0,0,.220,.303,.339,.641,9,10,L,D.Hall(33)
22,22,Apr 21,,MIL,L0-2,37,33,0,6,1,0,0,0,4,0,8,0,0,0,0,0,1,0,.219,.301,.333,.634,10,10,R,C.Rea(57)
23,23,Apr 22,,ARI,W5-3,33,29,5,7,0,0,2,5,4,0,5,0,0,0,0,2,1,0,.220,.302,.337,.640,4,10,R,B.Pfaadt(57)
24,24,Apr 23,,ARI,L1-14,35,32,1,6,1,0,1,1,2,0,8,1,0,0,0,0,0,1,.218,.301,.336,.637,7,12,L,T.Henry(63)
25,25,Apr 24,,ARI,W5-1,35,31,5,9,3,0,0,4,4,1,4,0,0,0,0,1,0,0,.221,.303,.338,.642,6,10,L,J.Montgomery(54)
26,26,Apr 26,@,NYM,W4-2,36,31,4,5,0,0,2,4,4,0,10,1,0,0,0,1,0,0,.219,.302,.339,.641,5,9,R,J.Buttó(46)
27,27,Apr 27,@,NYM,W7-4,41,35,7,10,4,0,0,6,4,0,9,0,1,1,0,0,2,0,.221,.304,.341,.646,7,10,R,A.Houser(21)
28,28,Apr 28,@,NYM,L2-4,39,35,2,4,3,0,0,2,3,1,7,0,1,0,0,0,1,0,.217,.300,.336,.636,6,11,L,J.Quintana(74)
29,29,Apr 30 (1),@,DET,W2-1,35,33,2,7,0,0,0,2,1,0,15,0,0,1,0,0,0,0,.217,.298,.332,.629,6,12,R,J.Flaherty(83)
30,30,Apr 30 (2),@,DET,L6-11,43,38,6,11,2,0,2,6,5,0,11,0,0,0,0,0,0,0,.220,.300,.338,.639,10,11,R,M.Manning(39)
31,31,May 1,@,DET,L1-4,33,31,1,7,0,0,1,1,2,0,8,0,0,0,0,1,0,1,.220,.300,.338,.637,5,11,R,K.Maeda(65)
32,32,May 3,,CHW,W3-0,34,31,3,6,3,0,0,3,3,0,7,0,0,0,1,0,2,0,.219,.299,.336,.635,7,10,R,B.Keller(45)
33,33,May 4,,CHW,L5-6,44,36,5,5,1,0,1,5,7,0,9,1,0,0,0,0,1,0,.217,.299,.333,.632,10,12,R,E.Fedde(32)
34,34,May 5,,CHW,L1-5,31,31,1,4,0,0,1,1,0,0,11,0,0,0,0,0,0,0,.214,.294,.330,.625,3,9,L,G.Crochet(68)
