Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,number,Umpire,Pitchers-Used-Rest-GameScore-Dec
1,1,Mar 28,@,LAD,L1-7,8.0,10,7,7,0,4,10,2,0,7.88,36,134,89,1,0,0,0,31,2,0,0,0,1,0,1,4,Alan Porter,M.Mikolas (99-32-L) A.Pallante (99) R.O'Brien (99) M.Liberatore (99)
2,2,Mar 29,@,LAD,L3-6,8.0,7,6,6,0,2,9,4,0,7.31,32,119,81,1,0,0,0,30,1,0,0,0,0,0,1,3,Ryan Blakney,Z.Thompson (99-38-L) G.Gallegos (99) J.Romero (99)
3,3,Mar 30,@,LAD,W6-5,10.0,14,5,5,0,4,14,1,0,6.23,47,204,127,0,0,0,0,43,1,0,0,0,0,0,0,6,Nate Tomlinson,L.Lynn (99-58) M.Liberatore (1) J.Romero (0-H) A.Kittredge (99-H) R.Helsley (99-BW) G.Gallegos (0-Sv)
4,4,Mar 31,@,LAD,L4-5,8.0,8,5,5,0,4,6,2,1,6.09,35,137,85,2,2,1,0,30,2,0,0,0,0,0,2,4,Sean Barber,S.Matz (99-51) A.Kittredge (0-H) A.Pallante (2-H) J.King (99-BL)
5,5,Apr 1,@,SDP,W6-2,9.0,5,2,2,0,2,5,2,0,5.23,32,109,69,0,0,0,0,30,1,0,0,0,0,0,2,3,Marvin Hudson,K.Gibson (99-63-W) J.Romero (1) R.Helsley (1)
6,6,Apr 2,@,SDP,W5-2,9.0,9,2,2,0,2,7,0,0,4.67,37,122,80,0,0,1,0,35,3,0,0,0,0,0,1,4,Hunter Wendelstedt,M.Mikolas (4-53-W) G.Gallegos (2-H) A.Kittredge (1-H) R.Helsley (0-Sv)
7,7,Apr 3,@,SDP,L2-3,8.0,7,3,3,0,5,10,1,0,4.50,36,145,91,0,0,3,0,30,2,0,1,1,0,0,0,4,John Tumpane,Z.Thompson (4-46-L) M.Liberatore (3) A.Pallante (2) R.Fernandez (99)
8,8,Apr 4,,MIA,W8-5,9.0,9,5,5,0,2,9,3,0,4.57,38,148,101,2,0,3,0,36,0,0,0,0,0,0,0,6,Bruce Dreckman,L.Lynn (4-38) M.Liberatore (0) A.Pallante (0) G.Gallegos (1-W) J.Romero (2-H) R.Helsley (1-Sv)
9,9,Apr 6,,MIA,W3-1,9.0,8,1,1,0,1,5,0,0,4.15,34,140,98,0,0,0,0,33,1,0,0,0,0,0,2,5,Jeremie Rehak,S.Matz (5-61-W) G.Gallegos (1-H) J.Romero (1-H) A.Kittredge (3-H) R.Helsley (1-Sv)
10,10,Apr 7,,MIA,L3-10,9.0,13,10,9,1,2,8,2,1,4.66,44,161,102,2,2,0,0,40,1,1,0,0,1,0,0,3,Clint Vondrak,K.Gibson (5-34-L) R.Fernandez (3) J.King (6)
