Rk,Pos,Name,Age,W,L,W-Lpct,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERAplus,FIP,WHIP,H9,HR9,BB9,SO9,SO-W,Name-additional
1,SP,Miles Mikolas,35,10,11,.476,5.35,32,32,0,0,0,0,171.2,194,106,102,26,25,0,122,5,1,0,720,78,4.24,1.276,10.2,1.4,1.3,6.4,4.88,mikolmi01
2,SP,Kyle Gibson,36,8,8,.500,4.24,30,30,0,0,0,0,169.2,161,91,80,23,68,1,151,4,0,5,722,99,4.42,1.350,8.5,1.2,3.6,8.0,2.22,gibsoky01
3,SP,Sonny Gray,34,13,9,.591,3.84,28,28,0,0,0,0,166.1,142,79,71,21,39,0,203,3,1,7,671,109,3.12,1.088,7.7,1.1,2.1,11.0,5.21,grayso01
4,SP,Andre Pallante,25,8,8,.500,3.78,29,20,1,0,0,0,121.1,110,55,51,8,48,0,94,2,2,12,509,111,3.71,1.302,8.2,0.6,3.6,7.0,1.96,pallaan01
5,SP,Lance Lynn,37,7,4,.636,3.84,23,23,0,0,0,0,117.1,113,64,50,16,44,0,109,4,0,3,511,109,4.31,1.338,8.7,1.2,3.4,8.4,2.48,lynnla01
6,CL,Ryan Helsley,29,7,4,.636,2.04,65,0,62,0,0,49,66.1,50,19,15,3,23,3,79,0,0,1,266,206,2.41,1.101,6.8,0.4,3.1,10.7,3.43,helslry01
7,RP,Matthew Liberatore*,24,3,4,.429,4.40,60,6,8,0,0,0,86.0,81,44,42,11,28,3,76,2,0,3,358,95,4.11,1.267,8.5,1.2,2.9,8.0,2.71,liberma01
8,RP,Andrew Kittredge,34,5,5,.500,2.80,74,0,4,0,0,1,70.2,60,26,22,10,20,2,67,0,0,0,287,150,3.96,1.132,7.6,1.3,2.5,8.5,3.35,kittran01
9,RP,Ryan Fernandez,26,1,6,.143,3.51,62,0,16,0,0,2,66.2,58,30,26,4,32,5,71,2,0,0,285,120,3.35,1.350,7.8,0.5,4.3,9.6,2.22,fernary01
10,RP,JoJo Romero*,27,7,3,.700,3.36,65,0,7,0,0,1,59.0,52,23,22,8,16,0,51,5,0,1,243,125,4.27,1.153,7.9,1.2,2.4,7.8,3.19,romerjo01
11,,John King*,29,3,3,.500,2.85,56,0,10,0,0,0,60.0,58,23,19,5,14,1,38,1,1,3,248,148,3.73,1.200,8.7,0.8,2.1,5.7,2.71,kingjo01
12,,Erick Fedde,31,2,5,.286,3.72,10,10,0,0,0,0,55.2,49,23,23,6,18,0,46,3,0,1,224,113,4.05,1.204,7.9,1.0,2.9,7.4,2.56,feddeer01
13,,Kyle Leahy,27,1,1,.500,4.07,33,0,14,0,0,1,48.2,40,23,22,4,10,0,33,1,0,3,191,104,3.56,1.027,7.4,0.7,1.8,6.1,3.30,leahyky01
14,,Steven Matz*,33,1,2,.333,5.08,12,7,2,0,0,0,44.1,49,28,25,7,15,1,33,2,0,1,190,83,4.88,1.444,9.9,1.4,3.0,6.7,2.20,matzst01
15,,Chris Roycroft,27,1,2,.333,4.19,27,0,13,0,0,0,34.1,31,19,16,2,17,0,33,4,0,1,155,101,3.84,1.398,8.1,0.5,4.5,8.7,1.94,roycrch01
16,,Michael McGreevy,23,3,0,1.000,1.96,4,3,1,0,0,0,23.0,16,5,5,1,2,0,18,1,0,0,86,217,2.56,0.783,6.3,0.4,0.8,7.0,9.00,mcgremi01
17,,Giovanny Gallegos,32,2,1,.667,6.53,21,0,6,0,0,1,20.2,24,15,15,6,10,0,21,0,0,1,94,65,6.36,1.645,10.5,2.6,4.4,9.1,2.10,gallegi01
18,,Zack Thompson*,26,0,2,.000,9.53,5,2,0,0,0,0,17.0,24,18,18,6,8,0,20,1,0,0,83,45,6.99,1.882,12.7,3.2,4.2,10.6,2.50,thompza02
19,,Shawn Armstrong,33,1,0,1.000,2.84,11,0,3,0,0,0,12.2,11,4,4,1,2,0,12,0,0,0,49,151,2.77,1.026,7.8,0.7,1.4,8.5,6.00,armstsh01
20,,Nick Robertson,25,0,0,,4.38,8,0,6,0,0,0,12.1,15,6,6,3,2,0,14,0,0,0,52,98,4.55,1.378,10.9,2.2,1.5,10.2,7.00,roberni01
21,,Riley O'Brien,29,0,0,,11.25,8,0,4,0,0,0,8.0,13,10,10,2,8,0,11,1,0,1,46,39,7.04,2.625,14.6,2.3,9.0,12.4,1.38,obrieri01
22,,Gordon Graceffo,24,0,1,.000,4.70,2,1,1,0,0,0,7.2,7,4,4,1,2,0,6,0,0,0,31,93,4.08,1.174,8.2,1.2,2.3,7.0,3.00,gracego01
23,,Ryan Loutos,25,0,0,,0.00,3,0,3,0,0,0,2.1,2,0,0,0,1,0,0,0,0,0,10,,4.45,1.286,7.7,0.0,3.9,0.0,0.00,loutory01
24,,Brandon Crawford,37,0,0,,27.00,1,0,1,0,0,0,1.1,3,4,4,0,2,0,0,1,0,0,10,20,9.92,3.750,20.3,0.0,13.5,0.0,0.00,crawfbr01
25,,Adam Kloffenstein,23,0,0,,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,3,,3.17,0.000,0.0,0.0,0.0,0.0,,kloffad01
,,Team Totals,31.1,83,79,.512,4.03,162,162,162,0,0,55,1444.0,1363,719,647,174,454,16,1308,42,5,43,6044,104,3.95,1.258,8.5,1.1,2.8,8.2,2.88,-9999
,,Rank in 15 NL teams,,8,7,,8,,,,11,10,1,3,10,10,8,7,3,,14,,,,,,,,,,,,,-9999
