Name,Age,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWLpct,162WLpct,oWAR,dWAR,oRAR,Salary,Acquired,Pos-Summary,Name-additional
Nolan Arenado,33,152,635,-1,-2,-2,6,4,4,0.5,22,26,2.5,.503,.503,1.9,1.0,20,$35000000,Traded,*5/DH,arenano01
Luken Baker,27,21,49,-1,0,0,-1,-1,-3,-0.4,2,-2,-0.2,.483,.498,-0.1,-0.2,-1,$740000,Amateur Draft,DH/3,bakerlu01
Alec Burleson*,25,152,595,3,1,1,-3,-9,-7,-0.7,20,14,1.2,.495,.496,1.6,-1.2,17,$750050,Amateur Draft,D97H3,burleal01
Dylan Carlson#,25,59,138,-9,0,0,-3,-1,-13,-1.4,5,-9,-1.0,.476,.491,-0.6,-0.4,-6,$2350000,Amateur Draft,98H/7D,carlsdy01
Matt Carpenter*,38,59,157,-1,-2,1,1,-4,-6,-0.6,5,-1,-0.1,.490,.496,-0.2,-0.3,-1,,Free Agency,DH/345,carpema01
Willson Contreras,32,84,358,15,0,-1,2,1,18,1.8,12,30,3.0,.521,.511,2.7,0.3,28,$18000000,Free Agency,2D/H,contrwi01
Brandon Crawford*,37,28,80,-5,0,0,-1,1,-5,-0.5,3,-2,-0.2,.483,.497,-0.1,0.0,-1,$2000000,Free Agency,6/5HD1,crawfbr01
Brendan Donovan*,27,153,652,9,-3,1,0,-2,5,0.5,22,27,2.6,.503,.503,2.6,-0.2,27,$757200,Amateur Draft,74/5DH9,donovbr01
José Fermín,25,45,79,-7,1,0,-1,-1,-8,-0.9,3,-6,-0.6,.481,.495,-0.5,-0.2,-5,$743500,Purchased,HD54/7,fermijo01
Ryan Fernandez,26,2,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$740000,Rule 5 Draft,1,fernary01
Paul Goldschmidt,36,154,654,3,0,-3,0,-8,-8,-0.8,22,14,1.3,.495,.495,1.3,-0.8,14,$26000000,Traded,*3/DH,goldspa01
Nolan Gorman*,24,107,402,-9,0,1,-4,3,-9,-1.0,14,5,0.3,.491,.494,0.8,-0.1,9,$755550,Amateur Draft,4/H5,gormano01
Ryan Helsley,29,2,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$3800000,Amateur Draft,1,helslry01
Iván Herrera,24,72,259,9,2,1,-6,3,9,0.9,9,17,1.7,.512,.505,2.3,-0.3,23,$743150,Free Agency,2D/H,herreiv01
John King*,29,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$1005000,Traded,1,kingjo01
Andrew Kittredge,34,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$2630000,Traded,1,kittran01
Kyle Leahy#,27,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$740000,Amateur Draft,1,leahyky01
Lars Nootbaar*,26,109,405,5,0,0,0,-3,2,0.2,14,15,1.5,.502,.501,1.5,-0.3,15,$761000,Amateur Draft,978/H,nootbla01
Pedro Pagés,25,68,218,-6,0,-1,4,4,1,0.1,7,8,0.8,.501,.501,0.4,0.9,4,$740000,Amateur Draft,2/H3,pagespe02
Tommy Pham,36,23,77,-2,0,0,-3,-1,-6,-0.7,3,-4,-0.4,.471,.496,-0.1,-0.4,-1,,Traded,7/9HD,phamth01
JoJo Romero*,27,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$860000,Traded,1,romerjo01
Thomas Saggese,22,18,52,-3,0,0,-1,1,-3,-0.4,2,-2,-0.2,.480,.498,-0.1,0.0,-1,,Traded,4/65,saggeth01
Victor Scott II*,23,53,155,-11,0,2,-1,1,-10,-1.0,5,-4,-0.5,.481,.494,-0.4,0.0,-3,$740000,Amateur Draft,8/9H7,scottvi01
Michael Siani*,24,124,334,-17,2,1,9,2,-3,-0.4,11,8,0.7,.497,.498,-0.2,1.2,-1,$741650,Waivers,*8H/97D,sianimi01
Jordan Walker,22,51,178,-8,0,0,-4,-1,-14,-1.5,6,-8,-0.9,.472,.491,-0.5,-0.6,-4,$747450,Amateur Draft,9/HD,walkejo02
Masyn Winn,22,150,637,0,2,3,14,9,28,2.9,22,49,4.9,.519,.518,3.5,2.4,35,$742250,Amateur Draft,*6/HD,winnma01
Team Total,27.7,1690,6114,-37,-1,1,8,-2,-31,-3.3,208,178,16.4,.498,.500,15.6,0.6,170,$102086800,,,-9999
