Name,Age,Birth,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,,Name-additional
Nolan Arenado,33,us US,R,R,6' 2",215,Apr 16 1991,12,152,151,152,146,0,0,0,0,146,0,0,0,0,0,6,1,0,2.5,$35000000,,arenano01
Shawn Armstrong,33,us US,R,R,6' 2",225,Sep 11 1990,10,11,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,,armstsh01
Luken Baker,27,us US,R,R,6' 4",285,Mar 10 1997,2,21,8,21,1,0,0,1,0,0,0,0,0,0,0,12,12,0,-0.2,$740000,,bakerlu01
Alec Burleson,25,us US,L,L,6' 2",225,Nov 25 1998,3,152,135,152,87,0,0,15,0,0,0,31,0,49,75,60,16,0,1.2,$750050,,burleal01
Dylan Carlson,25,us US,B,L,6' 2",200,Oct 23 1998,5,59,28,59,57,0,0,0,0,0,0,7,27,31,57,1,11,4,-1.0,$2350000,,carlsdy01
Matt Carpenter,38,us US,L,R,6' 4",224,Nov 26 1985,14,59,38,59,6,0,0,5,1,1,0,0,0,0,0,40,16,1,-0.1,,,carpema01
Willson Contreras,32,ve VE,R,R,6' 1",240,May 13 1992,9,84,83,84,51,0,51,0,0,0,0,0,0,0,0,33,1,0,3.0,$18000000,,contrwi01
Brandon Crawford,37,us US,L,R,6' 1",223,Jan 21 1987,14,29,22,28,25,1,0,0,0,6,18,0,0,0,0,3,5,0,-0.4,$2000000,,crawfbr01
Brendan Donovan,27,de DE,L,R,6' 1",210,Jan 16 1997,3,153,150,153,148,0,0,0,53,9,0,105,0,1,105,6,3,0,2.6,$757200,,donovbr01
Erick Fedde,31,us US,R,R,6' 4",205,Feb 25 1993,7,10,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0.9,,,feddeer01
José Fermín,25,do DO,R,R,5' 9",198,Mar 29 1999,2,45,15,45,22,0,0,0,11,13,0,1,0,0,1,14,21,6,-0.6,$743500,,fermijo01
Ryan Fernandez,26,us US,R,R,6' 0",200,Jun 11 1998,1st,62,0,2,62,62,0,0,0,0,0,0,0,0,0,0,0,0,1.0,$740000,,fernary01
Giovanny Gallegos,32,mx MX,R,R,6' 2",205,Aug 14 1991,8,21,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,$5750000,,gallegi01
Kyle Gibson,36,us US,R,R,6' 6",200,Oct 23 1987,12,30,30,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0.9,$12000000,,gibsoky01
Paul Goldschmidt,36,us US,R,R,6' 3",225,Sep 10 1987,14,154,153,154,150,0,0,150,0,0,0,0,0,0,0,5,1,0,1.3,$26000000,,goldspa01
Nolan Gorman,24,us US,L,R,6' 1",225,May 10 2000,3,107,97,107,106,0,0,0,105,2,0,0,0,0,0,0,4,0,0.3,$755550,,gormano01
Gordon Graceffo,24,us US,R,R,6' 4",220,Mar 17 2000,1st,2,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,gracego01
Sonny Gray,34,us US,R,R,5' 10",190,Nov 7 1989,12,28,28,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,1.8,$10000000,,grayso01
Ryan Helsley,29,us US,R,R,6' 2",235,Jul 18 1994,6,65,0,2,65,65,0,0,0,0,0,0,0,0,0,0,0,0,3.0,$3800000,All-Star,helslry01
Iván Herrera,24,pa PA,R,R,5' 11",220,Jun 1 2000,3,72,61,72,56,0,56,0,0,0,0,0,0,0,0,12,8,0,1.7,$743150,,herreiv01
John King,29,us US,L,L,6' 2",215,Sep 14 1994,5,56,0,1,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0.8,$1005000,,kingjo01
Andrew Kittredge,34,us US,R,R,6' 1",230,Mar 17 1990,8,74,0,1,74,74,0,0,0,0,0,0,0,0,0,0,0,0,1.5,$2630000,,kittran01
Adam Kloffenstein,23,us US,R,R,6' 5",245,Aug 25 2000,1st,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,,kloffad01
Kyle Leahy,27,us US,B,R,6' 5",225,Jun 4 1997,2,33,0,1,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0.2,$740000,,leahyky01
Matthew Liberatore,24,us US,L,L,6' 4",215,Nov 6 1999,3,60,6,0,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0.3,$747200,,liberma01
Ryan Loutos,25,us US,R,R,6' 5",240,Jan 29 1999,1st,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,$740000,,loutory01
Lance Lynn,37,us US,B,R,6' 5",280,May 12 1987,13,23,23,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0.3,$10000000,,lynnla01
Steven Matz,33,us US,R,L,6' 2",205,May 29 1991,10,12,7,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,$12500000,,matzst01
Michael McGreevy,23,us US,L,R,6' 4",220,Jul 8 2000,1st,4,3,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.9,,,mcgremi01
Miles Mikolas,35,us US,R,R,6' 4",230,Aug 23 1988,9,32,32,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,$18500000,,mikolmi01
Lars Nootbaar,26,us US,L,R,6' 3",205,Sep 8 1997,4,109,98,109,107,0,0,0,0,0,0,30,24,74,107,0,4,1,1.5,$761000,,nootbla01
Riley O'Brien,29,us US,R,R,6' 4",180,Feb 6 1995,3,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,$740450,,obrieri01
Pedro Pagés,25,ve VE,R,R,6' 1",245,Sep 17 1998,1st,68,60,68,67,0,66,1,0,0,0,0,0,0,0,0,2,0,0.8,$740000,,pagespe02
Andre Pallante,25,us US,R,R,6' 0",215,Sep 18 1998,3,29,20,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,1.6,$756900,,pallaan01
Tommy Pham,36,us US,R,R,6' 1",223,Mar 8 1988,11,23,17,23,22,0,0,0,0,0,0,16,0,7,22,2,5,1,-0.4,,,phamth01
Nick Robertson,25,us US,R,R,6' 6",235,Jul 16 1998,2,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,$740000,,roberni01
JoJo Romero,27,us US,L,L,5' 11",215,Sep 9 1996,5,65,0,1,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0.9,$860000,,romerjo01
Chris Roycroft,27,us US,R,R,6' 8",230,Jun 21 1997,1st,27,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,$740000,,roycrch01
Thomas Saggese,22,us US,R,R,5' 11",185,Apr 10 2002,1st,18,13,18,18,0,0,0,13,2,3,0,0,0,0,0,0,0,-0.2,,,saggeth01
Victor Scott II,23,us US,L,L,5' 11",190,Feb 12 2001,1st,53,40,53,52,0,0,0,0,0,0,2,46,5,52,0,1,3,-0.5,$740000,,scottvi01
Michael Siani,24,us US,L,L,6' 1",195,Jul 16 1999,3,124,98,124,121,0,0,0,0,0,0,4,110,9,121,1,0,11,0.7,$741650,,sianimi01
Zack Thompson,26,us US,L,L,6' 2",215,Oct 28 1997,3,5,2,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,$750850,,thompza02
Jordan Walker,22,us US,R,R,6' 6",250,May 22 2002,2,51,47,51,48,0,0,0,0,0,0,0,0,48,48,1,3,0,-0.9,$747450,,walkejo02
Masyn Winn,22,us US,R,R,5' 11",185,Mar 21 2002,2,150,144,150,148,0,0,0,0,0,148,0,0,0,0,1,4,2,4.9,$742250,,winnma01
