Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPSplus,rOBA,Rbatplus,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Miguel Amaya,25,C,1.8,117,363,328,32,76,13,2,8,47,0,0,23,62,.232,.288,.357,.644,82,.292,84,117,5,4,5,3,0,*2/H,,amayami01
2,Michael Busch*,26,1B,2.8,152,567,496,73,123,28,2,21,65,2,1,63,162,.248,.335,.440,.775,118,.338,118,218,9,4,0,4,1,*3H/4D5,,buschmi02
3,Nico Hoerner,27,2B,3.7,151,641,582,86,159,35,1,7,48,31,6,44,66,.273,.335,.373,.708,101,.327,105,217,8,12,0,3,1,*46/H,,hoernni01
4,Dansby Swanson,30,SS,4.0,149,593,534,82,129,27,2,16,66,19,3,54,144,.242,.312,.390,.701,98,.313,96,208,7,2,0,3,2,*6/H,,swansda01
5,Christopher Morel,25,3B,0.2,103,421,362,43,72,7,1,18,51,7,5,47,103,.199,.302,.373,.675,90,.300,92,135,11,8,0,4,2,5D/H,,morelch01
6,Ian Happ#,29,LF,3.9,153,657,569,89,138,34,2,25,86,13,2,80,168,.243,.341,.441,.782,120,.345,121,251,7,6,0,2,1,*7/DH,,happia01
7,Pete Crow-Armstrong*,22,CF,2.4,123,410,372,46,88,13,6,10,47,27,3,21,98,.237,.286,.384,.670,88,.300,82,143,4,6,8,3,2,*8H,,crowape01
8,Seiya Suzuki,29,RF,3.5,132,585,512,74,145,27,6,21,73,16,6,63,160,.283,.366,.482,.848,138,.364,136,247,6,6,0,4,3,9D/7H,,suzukse01
9,Cody Bellinger*,28,DH,2.2,130,569,516,72,137,23,3,18,78,9,2,45,89,.266,.325,.426,.751,111,.326,108,220,10,3,0,5,7,98D3/7,,bellico01
10,Mike Tauchman*,33,RF,0.6,109,350,298,50,74,12,1,7,29,6,2,47,70,.248,.357,.366,.723,106,.326,108,109,7,4,0,1,0,9HD78,,tauchmi01
11,Isaac Paredes,25,3B,0.4,52,212,179,23,40,6,0,3,25,1,0,24,37,.223,.325,.307,.633,82,.294,86,55,4,5,0,4,0,5/H,AS,paredis01
12,Patrick Wisdom,32,CI,-0.4,75,174,158,16,27,7,2,8,23,5,0,10,59,.171,.237,.392,.629,75,.276,68,62,1,4,1,1,0,H35D/9471,,wisdopa01
13,Miles Mastrobuoni*,28,IF,-0.3,50,106,98,9,19,3,0,0,4,2,0,7,17,.194,.245,.224,.470,35,.220,29,22,1,0,0,1,0,H546/97D,,mastrmi01
14,Yan Gomes,36,C,-0.7,34,96,91,7,14,2,0,2,7,0,0,2,36,.154,.179,.242,.421,18,.192,12,22,2,1,1,1,0,2,,gomesya01
15,Nick Madrigal,27,IF,-0.4,51,94,86,5,19,3,0,0,10,1,0,4,10,.221,.280,.256,.535,54,.246,50,22,2,3,1,0,0,54/HD,,madrini01
16,Christian Bethancourt,32,C,0.8,24,59,57,9,16,4,0,3,15,3,0,2,14,.281,.305,.509,.814,126,.385,143,29,1,0,0,0,0,2,,bethach01
17,Tomás Nido,30,C,-0.5,17,50,47,5,6,2,0,1,4,0,0,1,15,.128,.143,.234,.377,5,.159,-14,11,1,0,1,1,0,2/H,,nidoto01
18,David Bote,31,IF,0.2,37,48,46,4,14,4,0,0,6,0,0,2,13,.304,.333,.391,.725,105,.317,103,18,1,0,0,0,0,5H/431,,boteda01
19,Garrett Cooper,33,UT,0.1,12,41,37,3,10,1,1,1,6,0,0,4,13,.270,.341,.432,.774,118,.336,116,16,1,0,0,0,0,/D3H7,,coopega03
20,Matt Mervis*,26,DH,-0.4,9,28,26,1,3,1,0,0,3,0,0,1,8,.115,.148,.154,.302,-14,.138,-31,4,0,0,0,0,0,/D13H,,mervima01
21,Alexander Canario,24,OF,0.3,15,28,25,4,7,1,0,1,2,1,0,2,11,.280,.357,.440,.797,125,.350,120,11,0,1,0,0,0,7/9HD,,canaral01
22,Luis Vázquez,24,IF,-0.2,11,14,12,2,1,0,0,0,1,0,0,0,6,.083,.143,.083,.226,-33,.109,-48,1,1,1,0,1,0,/65H4,,vazqulu01
23,Kevin Alcántara,21,RF,-0.2,3,10,10,1,1,0,0,0,0,0,0,0,1,.100,.100,.100,.200,-43,.080,-69,1,0,0,0,0,0,/9,,alcanke01
24,Porter Hodge,23,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,hodgepo01
25,Julian Merryweather,32,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,merryju01
26,Héctor Neris,35,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,nerishe01
,Team Totals,,,23.9,162,6116,5441,736,1318,253,29,170,696,143,30,546,1362,.242,.317,.393,.710,100,.316,100,2139,89,70,17,41,19,,,-9999
