Name,Age,Yrs,Acquired,SrvTm,Agent,Contract-Status,2024,2025,2026,2027,2028,2029,Name-additional
Dansby Swanson,30,9,Free Agency,7.047,Excel Sports Mana...,7 yrs/$177M (23-29),$26M,$28M,$28M,$28M,$27M,$26M,swansda01
Seiya Suzuki,29,3,Free Agency,2.000,Wasserman,5 yrs/$85M (22-26),$21M,$19M,$19M,Arb,FA,,suzukse01
Kyle Hendricks,34,11,Traded,9.081,Wasserman,5 yrs/$70.5M (20-24),$16.5M,FA,,,,,hendrky01
Jameson Taillon,32,8,Free Agency,7.110,Excel Sports Mana...,4 yrs/$68M (23-26),$18M,$18M,$18M,FA,,,taillja01
Ian Happ,29,8,Amateur Draft,6.036,Excel Sports Mana...,3 yrs/$61M (24-26),$21M,$21M,$19M,FA,,,happia01
Nico Hoerner,27,6,Amateur Draft,4.014,Apex Baseball,3 yrs/$35M (24-26),$11.5M,$11.5M,$12M,FA,,,hoernni01
Cody Bellinger,28,8,Free Agency,6.160,Boras Corporation,1 yr/$30M (24) & 25-26 player option,$27.5M,$2.5M [FA-*],$0 [FA-*],FA,,,bellico01
Shota Imanaga,30,1st,Free Agency,0.000,,2 yrs/$22.5M (24-25) & 26-28 team option,$9.25M,$13.25M,$0 [*],$0 [Arb-*],$0 [Arb-*],Arb,imanash01
Drew Smyly,35,11,Free Agency,11.143,Frontline,2 yrs/$19M (23-24) & 25 mutual option,$8.5M,$2.5M [FA-*],FA,,,,smylydr01
David Bote,31,6,Amateur Draft,4.083,Magnus Sports,5 yrs/$15M (20-24) & 25-26 team option,$5.51M,$1M [Arb-*],$0 [FA-*],FA,,,boteda01
Justin Steele,28,4,Amateur Draft,2.143,Wasserman,1 yr/$4M (24),$4M,Arb,Arb,Arb,FA,,steelju01
Isaac Paredes,25,5,Traded,2.160,CAA Sports,1 yr/$3.4M (24),$3.4M,Arb,Arb,Arb,FA,,paredis01
Patrick Wisdom,32,7,Free Agency,3.058,Apex Baseball,1 yr/$2.73M (24),$2.73M,Arb,Arb,FA,,,wisdopa01
Adbert Alzolay,29,6,Amateur Free Agent,3.050,Octagon,1 yr/$2.11M (24),$2.11M,Arb,Arb,FA,,,alzolad01
Christian Bethancourt,32,8,Free Agency,4.038,Boras Corporation,1 yr/$2.05M (24),$2.05M,Arb,FA,,,,bethach01
Jorge López,31,9,Free Agency,5.102,Wasserman,1 yr/$2M (24),$2M,FA,,,,,lopezjo02
Mike Tauchman,33,7,Free Agency,3.143,Meister Sports Ma...,1 yr/$1.95M (24),$1.95M,Arb,Arb,FA,,,tauchmi01
Yency Almonte,30,7,Traded,4.143,Rosenhaus Sports ...,1 yr/$1.9M (24),$1.9M,Arb,FA,,,,almonye01
Nick Madrigal,27,5,Traded,3.164,Wasserman,1 yr/$1.81M (24),$1.81M,Arb,Arb,FA,,,madrini01
Miles Mastrobuoni,28,3,Traded,0.140,,1 yr/$746k (24),$746k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,mastrmi01
Daniel Palencia,24,2,Traded,0.090,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,palenda01
Gavin Hollowell,26,3,Waivers,0.087,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,holloga01
Matt Mervis,26,2,Free Agency,0.041,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,mervima01
Alexander Canario,24,2,Traded,0.031,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,canaral01
Julian Merryweather,32,5,Waivers,3.109,Warner Sports Man...,1 yr/$1.18M (24),$1.18M,Arb,Arb,FA,,,merryju01
Nate Pearson,27,4,Traded,3.005,Excel Sports Mana...,1 yr/$800k (24),$800k,Arb,Arb,FA,,,pearsna01
Javier Assad,26,3,Free Agency,1.027,,1 yr/$755k (24),$755k,Pre-Arb,Arb,Arb,Arb,FA,assadja01
Miguel Amaya,25,2,Free Agency,0.130,,1 yr/$747k (24),$746.5k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,amayami01
