Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fldpct,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,PB,WP,SB,CS,CSpct,lgCSpct,PO,Pos-Summary,Name-additional
Kevin Alcántara,21,3,3,2,26,2,2,0,0,0,1,1,49,0,0,0,0.69,0.67,,,,,,,,RF,alcanke01
Yency Almonte,30,17,0,0,15.2,0,0,0,0,0,,,,0,0,,0,0,,,2,0,0.00,0.21,0,P,almonye01
Adbert Alzolay,29,18,0,0,17.1,3,1,2,0,0,1,,,-1,-12,0,1.56,0.17,,,4,0,0.00,0.20,2,P,alzolad01
Miguel Amaya,25,116,103,88,905.2,893,856,31,6,3,0.993,1,2,5,7,5,8.81,7.65,6,19,78,18,0.19,0.20,0,C,amayami01
Shawn Armstrong,33,8,0,0,7.1,1,0,1,0,1,1,,,0,0,0,1.23,0.13,,,1,0,0.00,0.20,0,P,armstsh01
Javier Assad,26,29,29,0,147,23,8,14,1,2,0.957,,,2,3,0,1.35,0.76,,,11,6,0.35,0.20,1,P,assadja01
Cody Bellinger,28,106,106,87,926.2,313,301,10,2,5,0.994,-3,-4,0,0,2,3.02,2.16,,,,,,,,CF-RF-1B-LF-DH,bellico01
Christian Bethancourt,32,24,17,13,154,146,135,10,1,0,0.993,2,16,0,0,0,8.47,6.04,0,6,11,6,0.35,0.20,1,C,bethach01
Hunter Bigge,26,4,0,0,3.1,1,0,1,0,0,1,,,0,0,0,2.7,0.25,,,1,0,0.00,0.20,0,P,biggehu01
David Bote,31,35,8,8,116.1,33,17,16,0,2,1,-1,-13,0,0,0,2.55,0.92,,,0,0,,,0,3B-2B-1B-P,boteda01
Colten Brewer,31,16,0,0,20.2,4,2,1,1,0,0.75,,,-2,-19,0,1.31,0.19,,,7,2,0.22,0.20,0,P,breweco01
Ben Brown,24,15,8,0,55.1,5,4,1,0,0,1,,,-1,-4,0,0.81,0.33,,,5,0,0.00,0.20,1,P,brownbe02
Michael Busch,26,144,133,107,1150.2,1022,940,78,4,68,0.996,7,8,5,5,-2,7.96,6.83,,,,,,,,1B-2B-3B-DH,buschmi02
Alexander Canario,24,14,7,4,71,24,24,0,0,0,1,1,25,2,34,0,3.04,1.5,,,,,,,,LF-RF-DH,canaral01
Garrett Cooper,33,4,3,2,29,24,23,1,0,3,1,-1,-22,0,0,0,7.45,2.18,,,,,,,,1B-LF-DH,coopega03
Pete Crow-Armstrong,22,117,109,102,965.2,317,306,8,3,0,0.991,2,3,11,14,3,2.93,2.68,,,,,,,,CF,crowape01
José Cuas,30,9,0,0,13.1,1,1,0,0,0,1,,,0,0,0,0.68,0.11,,,0,0,,,0,P,cuasjo01
Yan Gomes,36,34,27,23,244,251,245,6,0,0,1,-1,-6,-5,-25,-1,9.26,7.38,0,13,21,3,0.13,0.20,0,C,gomesya01
Ian Happ,29,144,144,131,1248.1,319,307,11,1,2,0.997,19,19,8,8,2,2.29,2.09,,,,,,,,LF-DH,happia01
Kyle Hendricks,34,29,24,0,130.2,19,7,11,1,1,0.947,,,0,0,0,1.24,0.62,,,14,7,0.33,0.20,1,P,hendrky01
Porter Hodge,23,39,0,0,43,8,5,3,0,0,1,,,1,5,0,1.67,0.21,,,3,3,0.50,0.20,1,P,hodgepo01
Nico Hoerner,27,150,149,137,1307.1,610,238,363,9,64,0.985,-4,-4,3,3,1,4.14,3.9,,,,,,,,2B-SS,hoernni01
Gavin Hollowell,26,1,0,0,1.1,2,0,2,0,0,1,,,0,0,0,13.5,2,,,0,0,,,0,P,holloga01
Shota Imanaga,30,29,29,0,173.1,18,4,14,0,1,1,,,3,3,0,0.93,0.62,,,3,2,0.40,0.20,3,P,imanash01
Caleb Kilian,27,2,1,0,10.2,3,2,1,0,0,1,,,0,0,0,2.53,1.5,,,2,0,0.00,0.21,0,P,kiliaca01
Mark Leiter Jr.,33,39,0,0,36.1,3,1,2,0,0,1,,,-1,-6,0,0.74,0.08,,,4,0,0.00,0.20,0,P,leitema02
Luke Little,23,30,1,0,26,8,1,7,0,1,1,,,1,8,0,2.77,0.27,,,3,1,0.25,0.20,0,P,littllu01
Jorge López,31,24,0,0,26.2,5,1,3,1,0,0.8,,,-1,-8,0,1.35,0.17,,,0,0,,,0,P,lopezjo02
Richard Lovelady,28,7,0,0,5.2,3,2,1,0,0,1,,,-1,-35,0,4.76,0.43,,,3,0,0.00,0.20,0,P,lovelri01
Nick Madrigal,27,47,21,14,229,68,21,45,2,8,0.971,-3,-16,-2,-10,0,2.59,1.25,,,,,,,,3B-2B-DH,madrini01
Miles Mastrobuoni,28,38,25,14,230.2,102,31,68,3,10,0.971,2,10,1,5,0,3.86,2.41,,,,,,,,3B-SS-2B-LF-RF-DH,mastrmi01
Julian Merryweather,32,15,0,0,15,3,2,1,0,0,1,,,0,0,0,1.8,0.2,,,3,0,0.00,0.20,0,P,merryju01
Matt Mervis,26,1,8,0,1,1,1,0,0,0,1,0,0,0,0,0,9,0.1,,,0,0,,,0,P-1B-DH,mervima01
Tyson Miller,28,49,0,0,50.1,4,2,2,0,0,1,,,-1,-4,0,0.72,0.08,,,4,2,0.33,0.20,1,P,millety01
Christopher Morel,25,74,73,34,579,168,47,112,9,8,0.946,-6,-13,-4,-8,1,2.47,1.54,,,,,,,,3B-DH,morelch01
Jack Neely,24,6,0,0,6,1,0,1,0,0,1,,,0,0,0,1.5,0.17,,,0,0,,,0,P,neelyja01
Héctor Neris,35,46,0,0,44,9,4,4,1,0,0.889,,,-1,-5,0,1.64,0.17,,,5,1,0.17,0.20,1,P,nerishe01
Tomás Nido,30,16,15,10,128.2,141,135,5,1,1,0.993,1,14,0,0,0,9.79,8.75,1,2,8,4,0.33,0.20,0,C,nidoto01
