Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,number,Thr,Opp-Starter-GmeSc
1,1,Mar 28,@,TEX,L3-4,40,33,3,6,3,1,0,2,5,1,8,1,0,1,0,2,0,0,.182,.300,.333,.633,8,12,R,N.Eovaldi(58)
2,2,Mar 30,@,TEX,L2-11,31,29,2,5,0,0,1,2,2,0,8,0,0,0,0,3,0,0,.177,.268,.306,.574,2,10,L,C.Bradford(58)
3,3,Mar 31,@,TEX,W9-5,49,39,9,12,2,0,1,9,9,1,6,1,0,0,0,0,0,0,.228,.342,.356,.698,13,12,R,J.Gray(26)
4,4,Apr 1,,COL,W5-0,35,32,5,9,0,0,0,2,3,0,4,0,0,0,0,0,0,0,.241,.342,.338,.680,6,10,R,D.Hudson(54)
5,5,Apr 2,,COL,W12-2,46,38,12,14,2,1,4,12,7,0,6,1,0,0,0,0,1,0,.269,.373,.439,.812,10,12,L,K.Freeland(13)
6,6,Apr 3,,COL,W9-8,41,32,9,10,0,0,1,8,7,0,7,0,0,2,0,1,1,0,.276,.380,.433,.814,8,12,R,C.Quantrill(37)
7,7,Apr 5,,LAD,W9-7,37,30,9,9,1,1,2,8,6,1,4,0,0,1,0,1,0,1,.279,.384,.455,.838,4,9,R,B.Miller(28)
8,8,Apr 6,,LAD,L1-4,37,34,1,7,3,0,0,1,3,0,15,0,0,0,0,1,0,0,.270,.370,.434,.805,9,11,R,Y.Yamamoto(67)
9,9,Apr 7,,LAD,W8-1,39,33,8,9,3,0,1,8,3,0,8,2,0,1,1,0,0,0,.270,.369,.437,.806,7,9,R,G.Stone(29)
10,10,Apr 8,@,SDP,L8-9,40,32,8,8,3,1,0,8,6,0,10,1,0,1,0,1,0,1,.268,.370,.434,.803,5,11,R,Y.Darvish(36)
11,11,Apr 9,@,SDP,W5-1,39,35,5,9,0,0,2,5,3,0,11,1,0,0,0,1,0,0,.267,.366,.433,.800,7,10,R,J.Musgrove(38)
