Name,Age,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWLpct,162WLpct,oWAR,dWAR,oRAR,Salary,Acquired,Pos-Summary,Name-additional
Kevin Alcántara,21,3,10,-2,0,0,0,0,-2,-0.2,0,-1,-0.2,.437,.499,-0.2,0.0,-1,,Traded,/9,alcanke01
Miguel Amaya,25,117,363,-6,0,0,7,7,7,0.8,12,20,1.9,.507,.505,1.2,1.5,13,$746500,Free Agency,*2/H,amayami01
Cody Bellinger*,28,130,569,5,1,2,0,-3,4,0.4,19,23,2.2,.503,.503,2.2,-0.4,23,$27500000,Free Agency,98D3/7,bellico01
Christian Bethancourt,32,24,59,3,1,0,1,1,6,0.6,2,8,0.8,.526,.504,0.7,0.2,7,,Free Agency,2,bethach01
David Bote,31,37,48,0,0,0,0,0,0,0.0,2,2,0.2,.501,.500,0.2,0.0,2,$5510000,Amateur Draft,5H/431,boteda01
Michael Busch*,26,152,567,12,-1,1,5,-7,10,1.0,19,29,2.8,.507,.506,2.3,-0.2,24,$741500,Traded,*3H/4D5,buschmi02
Alexander Canario,24,15,28,1,0,0,2,-1,2,0.2,1,3,0.3,.514,.501,0.1,0.1,1,$740000,Traded,7/9HD,canaral01
Garrett Cooper,33,12,41,1,-1,0,0,-1,-1,-0.1,1,1,0.1,.495,.500,0.1,-0.1,1,$1750000,Free Agency,/D3H7,coopega03
Pete Crow-Armstrong*,22,123,410,-8,3,0,11,3,9,1.0,14,23,2.3,.508,.506,1.2,1.5,12,$740000,Traded,*8H,crowape01
Yan Gomes,36,34,96,-10,0,0,-2,2,-9,-1.0,3,-6,-0.7,.471,.494,-0.5,0.0,-4,$6000000,Free Agency,2,gomesya01
Ian Happ#,29,153,657,15,-1,0,8,-5,17,1.8,22,40,3.9,.512,.511,3.1,0.3,31,$21000000,Amateur Draft,*7/DH,happia01
Porter Hodge,23,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$740000,Amateur Draft,1,hodgepo01
Nico Hoerner,27,151,641,4,3,1,3,6,16,1.6,22,38,3.7,.511,.510,3.4,0.9,35,$11500000,Amateur Draft,*46/H,hoernni01
Nick Madrigal,27,51,94,-5,-1,1,-2,1,-7,-0.7,3,-4,-0.4,.485,.495,-0.2,-0.1,-2,$1810000,Traded,54/HD,madrini01
Miles Mastrobuoni*,28,50,106,-9,1,1,1,1,-5,-0.5,4,-1,-0.2,.489,.497,-0.3,0.2,-2,$746000,Traded,H546/9D7,mastrmi01
Julian Merryweather,32,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$1175000,Waivers,1,merryju01
Matt Mervis*,26,9,28,-4,0,0,0,-1,-5,-0.5,1,-4,-0.4,.444,.497,-0.4,-0.1,-4,$740000,Free Agency,/D31H,mervima01
Christopher Morel,25,103,421,-4,-1,-1,-4,0,-11,-1.1,14,4,0.2,.489,.493,0.7,-0.5,8,$767000,Free Agency,5D/H,morelch01
Héctor Neris,35,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$9000000,Free Agency,1,nerishe01
Tomás Nido,30,17,50,-6,0,0,0,1,-6,-0.6,2,-4,-0.5,.463,.496,-0.5,0.1,-4,,Free Agency,2/H,nidoto01
Isaac Paredes,25,52,212,-4,0,0,-1,1,-3,-0.3,7,4,0.4,.494,.498,0.5,0.0,5,,Traded,5/H,paredis01
Seiya Suzuki,29,132,585,24,-2,0,2,-7,17,1.7,19,36,3.5,.513,.511,3.3,-0.6,34,$21000000,Free Agency,9D/7H,suzukse01
Dansby Swanson,30,149,593,-2,4,2,7,9,20,2.1,20,40,4.0,.514,.513,3.3,1.6,33,$26000000,Free Agency,*6/H,swansda01
Mike Tauchman*,33,109,350,3,2,-1,-5,-4,-5,-0.5,12,7,0.6,.495,.497,1.1,-0.9,12,$1950000,Free Agency,9HD78,tauchmi01
Luis Vázquez,24,11,14,-2,0,0,0,0,-2,-0.2,0,-2,-0.2,.478,.499,-0.2,0.0,-2,$740000,Amateur Draft,/65H4,vazqulu01
Patrick Wisdom,32,75,174,-6,0,0,-1,-2,-9,-1.0,6,-3,-0.4,.487,.494,-0.3,-0.4,-2,$2725000,Free Agency,H35D/9471,wisdopa01
Team Total,27.8,1712,6116,-1,7,4,32,2,44,4.4,207,251,24.0,.503,.504,20.7,3.5,219,$143621000,,,-9999
