Name,Age,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,RA9extras,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWLpct,162WLpct,Salary,Acquired,Name-additional
Yency Almonte,30,15.2,17,0,7,4.02,4.77,0.23,-0.32,0.00,94.4,3.98,0,0.0,1.18,0.0,0.1,1,.499,.500,$1900000,Traded,almonye01
Adbert Alzolay,29,17.1,18,0,13,6.75,4.59,0.32,-0.31,0.32,93.8,4.02,-5,-0.5,1.73,-0.2,-0.6,-4,.470,.497,$2110000,Amateur Free Agent,alzolad01
Shawn Armstrong,33,7.1,8,0,4,4.91,4.78,0.33,-0.32,0.00,90.5,3.74,-1,-0.1,.77,0.0,0.0,0,.487,.499,,Waivers,armstsh01
Javier Assad,26,147.0,29,29,64,3.92,4.35,0.30,0.20,0.00,97.6,4.14,3,0.3,,-0.1,1.6,17,.512,.502,$755000,Free Agency,assadja01
Hunter Bigge,26,3.1,4,0,1,2.70,5.08,0.23,-0.34,0.00,95.5,4.30,1,0.1,.09,0.0,0.1,1,.515,.500,,Amateur Draft,biggehu01
David Bote,31,1.0,1,0,0,0.00,4.19,0.41,-0.28,0.00,102.0,3.56,0,0.0,.00,0.0,0.0,0,.542,.500,$5510000,Amateur Draft,boteda01
Colten Brewer,31,20.2,16,0,16,6.97,4.49,0.30,-0.30,0.00,94.7,3.68,-8,-0.8,.82,0.0,-0.6,-6,.452,.495,,Free Agency,breweco01
Ben Brown,24,55.1,15,8,22,3.58,4.44,0.25,0.09,0.00,98.5,4.21,4,0.4,.87,-0.1,0.9,9,.526,.502,$740000,Traded,brownbe02
José Cuas,30,13.1,9,0,12,8.10,4.39,0.31,-0.29,0.00,95.3,3.61,-7,-0.7,.62,0.1,-0.4,-5,.427,.496,,Traded,cuasjo01
Kyle Hendricks,34,130.2,29,24,88,6.06,4.42,0.33,0.16,0.00,97.7,4.16,-28,-2.7,.78,-0.1,-1.6,-15,.407,.483,$16500000,Traded,hendrky01
Porter Hodge,23,43.0,39,0,10,2.09,4.33,0.21,-0.29,0.13,96.5,3.82,8,0.9,1.29,0.0,1.3,12,.522,.505,$740000,Amateur Draft,hodgepo01
Gavin Hollowell,26,1.1,1,0,0,0.00,5.04,0.37,-0.34,0.00,96.0,4.16,1,0.1,.12,0.0,0.1,1,.567,.500,,Waivers,holloga01
Shota Imanaga*,30,173.1,29,29,66,3.43,4.51,0.28,0.21,0.00,94.9,4.21,14,1.6,,-0.1,3.0,31,.554,.510,$9250000,Free Agency,imanash01
