Name,Age,Birth,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,,Name-additional
Kevin Alcántara,21,do DO,R,R,6' 6",188,Jul 12 2002,1st,3,3,3,3,0,0,0,0,0,0,0,0,3,3,0,0,0,-0.2,,,alcanke01
Yency Almonte,30,us US,R,R,6' 5",223,Jun 4 1994,7,17,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0.1,$1900000,,almonye01
Adbert Alzolay,29,ve VE,R,R,6' 1",208,Mar 1 1995,6,18,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,$2110000,,alzolad01
Miguel Amaya,25,pa PA,R,R,6' 0",230,Mar 9 1999,2,117,103,117,116,0,116,0,0,0,0,0,0,0,0,0,1,0,1.9,$746500,,amayami01
Shawn Armstrong,33,us US,R,R,6' 2",225,Sep 11 1990,10,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,armstsh01
Javier Assad,26,mx MX,R,R,6' 1",200,Jul 30 1997,3,29,29,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,1.6,$755000,,assadja01
Cody Bellinger,28,us US,L,L,6' 4",203,Jul 13 1995,8,130,130,130,106,0,0,22,0,0,0,1,48,49,94,24,0,0,2.2,$27500000,,bellico01
Christian Bethancourt,32,pa PA,R,R,6' 3",205,Sep 2 1991,8,24,17,24,24,0,24,0,0,0,0,0,0,0,0,0,0,0,0.8,,,bethach01
Hunter Bigge,26,us US,R,R,6' 1",205,Jun 12 1998,1st,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,,biggehu01
David Bote,31,us US,R,R,5' 11",205,Apr 7 1993,6,37,8,37,35,1,0,3,6,26,0,0,0,0,0,0,12,0,0.2,$5510000,,boteda01
Colten Brewer,31,us US,R,R,6' 4",222,Oct 29 1992,6,16,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,,,breweco01
Ben Brown,24,us US,R,R,6' 6",210,Sep 9 1999,1st,15,8,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.9,$740000,,brownbe02
Michael Busch,26,us US,L,R,6' 1",210,Nov 9 1997,2,152,135,152,144,0,0,142,3,1,0,0,0,0,0,3,13,0,2.8,$741500,,buschmi02
Alexander Canario,24,do DO,R,R,5' 11",165,May 7 2000,2,15,7,15,14,0,0,0,0,0,0,10,0,5,14,1,1,1,0.3,$740000,,canaral01
Garrett Cooper,33,us US,R,R,6' 5",235,Dec 25 1990,8,12,9,12,4,0,0,3,0,0,0,2,0,0,2,6,3,0,0.1,$1750000,,coopega03
Pete Crow-Armstrong,22,us US,L,L,5' 11",184,Mar 25 2002,2,123,109,123,117,0,0,0,0,0,0,0,117,0,117,0,4,7,2.3,$740000,,crowape01
José Cuas,30,do DO,R,R,6' 3",195,Jun 28 1994,3,9,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,,,cuasjo01
Yan Gomes,36,br BR,R,R,6' 2",212,Jul 19 1987,13,34,27,34,34,0,34,0,0,0,0,0,0,0,0,0,0,0,-0.7,$6000000,,gomesya01
Ian Happ,29,us US,B,R,6' 0",205,Aug 12 1994,8,153,152,153,144,0,0,0,0,0,0,144,0,0,144,8,1,0,3.9,$21000000,,happia01
Kyle Hendricks,34,us US,R,R,6' 3",190,Dec 7 1989,11,29,24,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,-1.6,$16500000,,hendrky01
Porter Hodge,23,us US,R,R,6' 4",230,Feb 21 2001,1st,39,0,1,39,39,0,0,0,0,0,0,0,0,0,0,0,0,1.3,$740000,,hodgepo01
Nico Hoerner,27,us US,R,R,6' 1",200,May 13 1997,6,151,149,151,150,0,0,0,144,0,10,0,0,0,0,0,0,1,3.7,$11500000,,hoernni01
