Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPSplus,rOBA,Rbatplus,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Yasmani Grandal#,35,C,0.6,72,243,215,26,49,10,0,9,27,1,0,24,46,.228,.304,.400,.704,95,.327,105,86,7,0,3,1,0,2/H3,,grandya01
2,Rowdy Tellez*,29,1B,-0.4,131,421,383,38,93,18,0,13,56,1,0,31,89,.243,.299,.392,.691,91,.305,90,150,12,2,0,5,0,*3H/1,,tellero01
3,Nick Gonzales,25,2B,0.9,94,387,359,42,97,19,3,7,49,5,3,18,74,.270,.311,.398,.709,96,.316,98,143,8,5,1,4,1,4/6H5,,gonzani01
4,Oneil Cruz*,25,SS,2.5,146,599,541,72,140,34,3,21,76,22,1,51,181,.259,.324,.449,.773,113,.340,110,243,8,3,0,4,5,*68H/D,,cruzon01
5,Ke'Bryan Hayes,27,3B,0.8,96,396,365,38,85,9,0,4,25,11,2,23,75,.233,.283,.290,.573,61,.267,60,106,12,4,0,4,1,5/H,,hayeske01
6,Bryan Reynolds#,29,LF,3.7,156,692,622,73,171,29,3,24,88,10,2,57,156,.275,.344,.447,.791,119,.355,125,278,7,10,0,3,3,*7D9,AS,reynobr01
7,Michael A. Taylor,33,CF,0.9,113,300,269,35,52,9,1,5,21,12,1,23,105,.193,.253,.290,.543,52,.255,47,78,3,0,4,4,0,8H/7D,,taylomi02
8,Bryan De La Cruz,27,RF,-1.2,44,168,160,17,32,6,0,3,17,2,1,4,52,.200,.220,.294,.514,42,.238,42,47,2,1,0,3,0,9/7H,,delacbr01
9,Andrew McCutchen,37,DH,0.8,120,515,448,66,104,18,1,20,50,3,2,58,133,.232,.328,.411,.739,105,.332,110,184,9,7,0,2,1,*D/9H,,mccutan01
10,Jared Triolo,26,IF,1.3,125,446,394,41,85,10,1,9,46,8,1,42,118,.216,.296,.315,.611,71,.286,74,124,5,5,0,5,0,54/36H9,,triolja01
11,Connor Joe,31,UT,0.6,123,416,364,49,83,22,1,9,36,2,2,44,91,.228,.320,.368,.688,92,.306,92,134,7,6,0,2,1,39H/7D,,joeco01
12,Joey Bart,27,C,2.2,80,282,253,38,67,11,0,13,45,0,0,22,73,.265,.337,.462,.799,120,.349,121,117,8,6,0,1,0,2D/H,,bartjo01
13,Jack Suwinski*,25,OF,-1.8,88,277,247,29,45,8,0,9,26,9,1,27,79,.182,.264,.324,.588,63,.277,66,80,3,1,1,1,2,879H,,suwinja01
14,Isiah Kiner-Falefa,29,SS,0.4,50,215,208,21,50,10,2,1,10,8,1,3,41,.240,.265,.322,.587,63,.270,60,67,3,4,0,0,0,64/5H,,kineris01
15,Edward Olivares,28,RF,-0.7,55,196,174,22,39,4,0,5,23,1,0,16,37,.224,.291,.333,.624,74,.285,75,58,3,2,0,4,0,9/DH7,,olivaed02
16,Henry Davis,24,C,-0.6,37,122,104,9,15,4,0,1,5,0,0,13,45,.144,.242,.212,.453,28,.226,32,22,1,1,1,2,0,2/HD,,davishe01
17,Alika Williams,25,MI,-0.2,37,96,87,13,18,4,2,0,5,1,0,3,22,.207,.242,.299,.541,50,.249,45,26,0,1,5,0,0,46/H,,willial04
18,Ji Hwan Bae*,24,OF,-0.4,29,81,74,11,14,2,0,0,6,6,2,6,24,.189,.247,.216,.463,31,.228,31,16,0,0,0,1,0,89/HD4,,baeji01
19,Joshua Palacios*,28,OF,-0.1,23,78,67,10,15,2,0,2,9,1,0,10,12,.224,.333,.343,.677,90,.308,90,23,1,1,0,0,0,9/78H,,palacjo01
20,Billy Cook,25,UT,0.6,16,49,49,5,11,2,0,3,8,1,0,0,19,.224,.224,.449,.673,82,.287,73,22,0,0,0,0,0,/3897,,cookbi01
21,Nick Yorke,22,UT,-0.2,11,42,37,4,8,0,0,2,5,2,0,4,12,.216,.286,.378,.664,84,.299,78,14,0,0,0,1,0,/4957,,yorkeni01
22,Billy McKinney*,29,OF,0.0,10,28,25,4,5,1,0,0,2,0,0,2,13,.200,.286,.240,.526,49,.247,48,6,1,1,0,0,0,/79H8,,mckinbi01
23,Jason Delay,29,C,0.1,7,19,15,1,3,3,0,0,6,0,0,3,0,.200,.333,.400,.733,104,.322,102,6,0,0,1,0,0,/2DH,,delayja01
24,Liover Peguero,23,SS,-0.1,3,10,10,0,2,1,0,0,2,0,0,0,3,.200,.200,.300,.500,37,.204,17,3,0,0,0,0,0,/6,,pegueli01
25,Grant Koch,27,C,-0.1,3,8,7,1,0,0,0,0,0,0,0,1,6,.000,.125,.000,.125,-61,.086,-69,0,0,0,0,0,0,/2H,,kochgr01
,Team Totals,,,9.7,162,6086,5477,665,1283,236,17,160,643,106,19,485,1506,.234,.301,.371,.672,87,.305,88,2033,100,60,16,47,14,,,-9999
