Name,Age,Yrs,Acquired,SrvTm,Agent,Contract-Status,2024,2025,2026,2027,2028,2029,2030,2031,Name-additional
Bryan Reynolds,29,6,Traded,4.163,CAA Sports,8 yrs/$106.75M (23-30) & 31 team option,$10.25M,$12.25M,$14.25M,$15.25M,$15.25M,$15.25M,$15.25M,$2M [FA-*],reynobr01
Mitch Keller,28,6,Amateur Draft,4.026,Excel Sports Mana...,5 yrs/$77M (24-28),$5.85M,$15.41M,$16.91M,$18.41M,$20.41M,FA,,,kellemi03
Ke'Bryan Hayes,27,5,Amateur Draft,3.075,Ballengee Group,8 yrs/$70M (22-29) & 30 team option,$7M,$7M,$7M,$7M,$8M,$8M,$6M [FA-*],FA,hayeske01
Marco Gonzales,32,10,Traded,6.102,CAA Sports,4 yrs/$30M (21-24) & 25 team option,$12.25M,$0 [FA-*],FA,,,,,,gonzama02
Isiah Kiner-Falefa,29,7,Traded,6.000,ALIGND Sports Age...,2 yrs/$15M (24-25),$7.5M,$7.5M,FA,,,,,,kineris01
Aroldis Chapman,36,15,Free Agency,13.009,Wasserman,1 yr/$10.5M (24),$10.5M,FA,,,,,,,chapmar01
Andrew McCutchen,37,16,Free Agency,14.123,Aegis Sports Mana...,1 yr/$5M (24),$5M,FA,,,,,,,mccutan01
David Bednar,29,6,Traded,3.076,Ballengee Group,1 yr/$4.15M (24),$4.15M,Arb,Arb,FA,,,,,bednada01
Yasmani Grandal,35,13,Free Agency,11.115,GSE Worldwide,1 yr/$2.5M (24),$2.5M,FA,,,,,,,grandya01
Connor Joe,31,5,Traded,2.136,John Boggs & Asso...,1 yr/$2.13M (24),$2.12M,Arb,Arb,Arb,FA,,,,joeco01
Jalen Beeks,30,6,Traded,5.003,Frontline,1 yr/$1.68M (24),$1.68M,FA,,,,,,,beeksja02
Ryan Borucki,30,7,Free Agency,5.006,ISE Baseball,1 yr/$1.6M (24),$1.6M,FA,,,,,,,borucry01
Jack Suwinski,25,3,Traded,1.118,,1 yr/$755k (24),$755k,Pre-Arb,Arb,Arb,Arb,FA,,,suwinja01
Jason Delay,29,3,Amateur Draft,1.095,,1 yr/$755k (24),$755k,Pre-Arb,Arb,Arb,Arb,FA,,,delayja01
Ji Hwan Bae,24,3,Free Agency,1.013,,1 yr/$755k (24),$755k,Pre-Arb,Arb,Arb,Arb,FA,,,baeji01
Alika Williams,25,2,Traded,0.069,,1 yr/$745k (24),$745k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,willial04
Edward Olivares,28,5,Traded,3.055,The MAS+ Agency,1 yr/$1.35M (24),$1.35M,Arb,Arb,FA,,,,,olivaed02
