Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fldpct,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,PB,WP,SB,CS,CSpct,lgCSpct,PO,Pos-Summary,Name-additional
Ji Hwan Bae,24,24,21,16,191.2,59,58,1,0,1,1,-3,-19,-1,-6,0,2.77,1.84,,,,,,,,CF-RF-2B-DH,baeji01
Joey Bart,27,69,62,56,545,525,498,23,4,3,0.992,-2,-5,-4,-9,-1,8.6,6.51,4,17,67,15,0.18,0.20,0,C-DH,bartjo01
David Bednar,29,62,0,0,57.2,6,4,2,0,0,1,,,-3,-10,0,0.94,0.1,,,14,0,0.00,0.20,0,P,bednada01
Jalen Beeks,30,26,0,0,20.2,4,1,2,1,1,0.75,,,-1,-10,0,1.31,0.12,,,1,0,0.00,0.20,0,P,beeksja02
Ryan Borucki,30,14,0,0,11,8,1,5,2,1,0.75,,,1,18,0,4.91,0.43,,,1,0,0.00,0.20,0,P,borucry01
Justin Bruihl,27,7,0,0,5.2,0,0,0,0,0,,,,0,0,,0,0,,,1,0,0.00,0.20,0,P,bruihju01
Mike Burrows,24,1,0,0,3.1,1,1,0,0,0,1,,,0,0,0,2.7,1,,,0,0,,,0,P,burromi01
Aroldis Chapman,36,68,0,0,61.2,9,2,7,0,0,1,,,0,0,0,1.31,0.13,,,11,3,0.21,0.20,5,P,chapmar01
Roansy Contreras,24,12,0,0,16.1,2,2,0,0,0,1,,,0,0,0,1.1,0.17,,,3,1,0.25,0.20,0,P,contrro01
Billy Cook,25,16,14,11,120,59,56,2,1,4,0.983,2,24,6,60,0,4.35,3.41,,,,,,,,1B-CF-RF-LF,cookbi01
Oneil Cruz,25,135,129,123,1153.1,451,194,231,26,53,0.942,-2,-3,-12,-12,-3,3.32,2.99,,,,,,,,SS-CF-DH,cruzon01
Henry Davis,24,34,31,27,271.1,271,260,9,2,3,0.993,-2,-7,-4,-18,-1,8.92,7.69,3,10,20,5,0.20,0.20,0,C-DH,davishe01
Bryan De La Cruz,27,44,41,40,361.2,87,82,2,3,1,0.966,-1,-2,-4,-13,-3,2.09,1.91,,,,,,,,RF-LF,delacbr01
Jason Delay,29,6,5,4,46,44,42,2,0,0,1,1,24,0,0,0,8.61,6.29,0,2,1,1,0.50,0.21,0,C-DH,delayja01
Bailey Falter,27,28,28,0,142.1,17,6,11,0,0,1,,,-1,-1,0,1.07,0.61,,,18,5,0.22,0.20,0,P,falteba01
Brady Feigl,33,1,0,0,1.2,2,0,2,0,1,1,,,0,0,0,10.8,2,,,0,0,,,0,P,feiglbr01
Josh Fleming,28,25,3,0,31.1,13,3,10,0,3,1,,,4,26,0,3.73,0.52,,,2,2,0.50,0.20,1,P,flemijo01
Domingo Germán,31,7,2,0,20.2,3,2,1,0,0,1,,,-1,-10,0,1.31,0.43,,,7,0,0.00,0.20,0,P,germado01
Marco Gonzales,32,7,7,0,33.2,5,1,4,0,1,1,,,1,6,0,1.34,0.71,,,2,0,0.00,0.21,0,P,gonzama02
Nick Gonzales,25,93,91,87,806.1,401,153,241,7,64,0.983,-1,-1,-5,-7,-2,4.4,4.15,,,,,,,,2B-SS-3B,gonzani01
Yasmani Grandal,35,71,62,54,563.1,589,572,10,7,1,0.988,-4,-8,0,0,0,9.3,7.97,5,8,66,6,0.08,0.20,0,C-1B,grandya01
Ke'Bryan Hayes,27,96,93,92,829.2,265,75,185,5,28,0.981,8,11,10,14,0,2.82,2.71,,,,,,,,3B,hayeske01
Ben Heller,32,8,0,0,12,1,1,0,0,0,1,,,0,0,0,0.75,0.13,,,4,1,0.20,0.20,0,P,hellebe01
Jose Hernandez,26,7,0,0,5.1,0,0,0,0,0,,,,0,0,,0,0,,,0,0,,,0,P,hernajo03
Colin Holderman,28,55,0,0,51.1,9,5,4,0,0,1,,,-1,-4,0,1.58,0.16,,,9,3,0.25,0.20,0,P,holdeco01
Brent Honeywell Jr.,29,2,0,0,3.1,0,0,0,0,0,,,,0,0,,0,0,,,2,0,0.00,0.21,0,P,honeybr01
Daulton Jefferies,28,4,0,0,10,0,0,0,0,0,,,,0,0,,0,0,,,0,0,,,0,P,jeffeda01
Connor Joe,31,113,90,51,816.2,500,457,39,4,46,0.992,-7,-10,4,6,0,5.47,3.76,,,,,,,,1B-RF-LF-DH,joeco01
Jared Jones,22,22,22,0,121.2,18,9,8,1,0,0.944,,,1,2,0,1.26,0.77,,,5,2,0.29,0.20,1,P,jonesja09
Mitch Keller,28,31,31,1,178,31,10,21,0,3,1,,,-1,-1,0,1.57,1,,,33,1,0.03,0.20,0,P,kellemi03
Isiah Kiner-Falefa,29,50,48,42,418.1,167,54,111,2,22,0.988,-5,-14,3,9,1,3.55,3.11,,,,,,,,SS-2B-3B,kineris01
Grant Koch,27,2,2,1,16,17,17,0,0,0,1,0,-2,0,0,0,9.56,8.5,0,1,0,0,,,0,C,kochgr01
Isaac Mattson,28,3,0,0,5.1,1,0,1,0,0,1,,,0,0,0,1.69,0.33,,,0,0,,,0,P,mattsis01
Andrew McCutchen,37,5,2,1,21,6,6,0,0,0,1,0,-3,0,0,0,2.57,0.05,,,,,,,,RF-DH,mccutan01
Billy McKinney,29,10,6,3,53.2,9,8,1,0,0,1,-2,-48,1,22,0,1.51,0.82,,,,,,,,LF-RF-CF,mckinbi01
Carmen Mlodzinski,25,40,4,0,50.2,9,8,1,0,0,1,,,-1,-4,0,1.6,0.23,,,6,0,0.00,0.20,0,P,mlodzca01
Kyle Nicolas,25,51,0,0,54.2,5,2,3,0,1,1,,,1,4,0,0.82,0.1,,,0,2,1.00,0.21,0,P,nicolky01
Edward Olivares,28,45,41,18,330.2,79,76,2,1,0,0.987,-10,-36,-6,-22,-1,2.12,1.42,,,,,,,,RF-LF-DH,olivaed02
Luis Ortiz,25,37,15,0,135.2,21,7,10,4,0,0.81,,,0,0,0,1.13,0.46,,,7,1,0.13,0.20,1,P,ortizlu03
Joshua Palacios,28,20,19,14,163,28,27,1,0,0,1,0,-3,-2,-15,0,1.55,1.17,,,,,,,,RF-LF-CF,palacjo01
Liover Peguero,23,3,3,3,26,11,4,6,1,2,0.909,0,-15,0,0,0,3.46,3.33,,,,,,,,SS,pegueli01
Martín Pérez,33,16,16,0,83,11,6,5,0,1,1,,,3,7,0,1.19,0.69,,,2,4,0.67,0.20,0,P,perezma02
Quinn Priester,23,10,6,0,44.2,10,4,4,2,0,0.8,,,-1,-4,0,1.61,0.8,,,4,0,0.00,0.20,0,P,priesqu01
Bryan Reynolds,29,133,133,121,1173.2,254,241,11,2,2,0.992,-14,-14,-5,-5,1,1.93,1.55,,,,,,,,LF-RF-DH,reynobr01
Ryder Ryan,29,15,0,0,20.2,1,1,0,0,0,1,,,0,0,0,0.44,0.07,,,3,0,0.00,0.20,0,P,ryanry01
Dennis Santana,28,39,0,0,44.1,8,4,4,0,1,1,,,2,9,0,1.62,0.21,,,5,1,0.17,0.20,0,P,santade01
Paul Skenes,22,23,23,0,133,26,7,17,2,1,0.923,,,1,2,0,1.62,1.04,,,6,1,0.14,0.20,3,P,skenepa01
Hunter Stratton,27,36,0,0,37.2,6,2,2,2,0,0.667,,,0,0,0,0.96,0.11,,,2,0,0.00,0.21,0,P,strathu01
Jack Suwinski,25,85,67,45,617.2,178,177,0,1,0,0.994,3,5,-15,-29,-1,2.58,1.77,,,,,,,,CF-LF-RF,suwinja01
Michael A. Taylor,33,106,80,72,735.2,235,229,3,3,0,0.987,13,22,11,18,2,2.84,2.17,,,,,,,,CF-LF-DH,taylomi02
Rowdy Tellez,29,125,105,72,908,803,740,61,2,76,0.998,1,1,-3,-1,-1,7.94,6.31,,,0,0,,,0,1B-P,tellero01
