Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,number,Thr,Opp-Starter-GmeSc
1,1,Mar 28,@,MIA,W6-5,52,44,6,9,2,0,3,6,8,2,17,0,0,0,1,0,0,0,.205,.327,.455,.781,13,11,L,J.Luzardo(61)
2,2,Mar 29,@,MIA,W7-2,43,34,7,10,3,0,0,7,7,0,9,0,0,2,0,0,0,0,.244,.358,.423,.781,9,11,L,A.Puk(29)
3,3,Mar 30,@,MIA,W9-3,48,43,9,16,5,0,0,8,4,0,9,1,0,0,0,1,0,0,.289,.385,.446,.831,12,10,L,R.Weathers(39)
4,4,Mar 31,@,MIA,W9-7,50,41,9,11,0,1,1,9,7,0,13,0,2,0,0,0,2,0,.284,.382,.432,.814,12,11,L,T.Rogers(39)
5,5,Apr 1,@,WSN,W8-4,50,40,8,15,6,0,0,8,6,0,9,2,1,1,0,0,0,0,.302,.400,.450,.850,15,11,L,M.Gore(50)
6,6,Apr 3,@,WSN,L3-5,36,32,3,4,1,0,1,3,4,0,13,0,0,0,1,0,0,0,.278,.377,.423,.800,6,9,R,T.Williams(57)
7,7,Apr 4,@,WSN,W7-4,44,35,7,11,2,0,1,7,7,1,7,0,0,2,0,1,0,0,.283,.381,.428,.809,10,9,R,J.Gray(25)
8,8,Apr 5,,BAL,L2-5,35,33,2,6,0,0,2,2,2,0,12,0,0,0,0,0,0,0,.272,.366,.421,.787,6,9,R,G.Rodriguez(58)
9,9,Apr 6,,BAL,W5-4,46,42,5,11,2,0,1,5,4,0,9,0,0,0,0,0,2,0,.270,.362,.416,.777,12,11,R,T.Wells(43)
10,10,Apr 7,,BAL,W3-2,34,32,3,7,1,0,0,2,1,0,6,0,0,1,0,0,0,0,.266,.352,.402,.753,5,9,R,D.Kremer(71)
11,11,Apr 8,,DET,W7-4,40,34,7,12,2,0,1,7,4,0,5,2,0,0,0,2,0,0,.273,.360,.410,.770,9,10,R,R.Olson(21)
12,12,Apr 9,,DET,L3-5,36,34,3,8,1,0,2,3,2,0,4,0,0,0,0,1,0,0,.270,.354,.412,.766,6,11,R,C.Mize(50)
13,13,Apr 11,@,PHI,L1-5,36,34,1,7,0,0,0,1,2,0,14,0,0,0,0,0,0,0,.266,.347,.397,.745,8,10,L,R.Suárez(74)
14,14,Apr 12,@,PHI,W5-2,42,37,5,9,1,0,0,4,5,0,8,0,0,0,2,1,2,0,.264,.346,.388,.735,10,11,L,C.Sánchez(61)
15,15,Apr 13,@,PHI,L3-4,36,31,3,5,1,0,1,3,5,0,10,0,0,0,0,1,1,0,.258,.342,.383,.725,6,9,R,S.Turnbull(41)
16,16,Apr 14,@,PHI,W9-2,44,38,9,10,1,0,3,7,6,0,15,0,0,0,1,0,2,0,.259,.344,.392,.736,8,9,R,Z.Wheeler(46)
17,17,Apr 15,@,NYM,L3-6,37,29,3,3,0,0,0,3,7,0,10,0,0,1,0,0,0,0,.251,.340,.378,.718,7,9,R,A.Houser(56)
18,18,Apr 16,@,NYM,L1-3,35,31,1,5,1,0,0,1,4,0,13,0,0,0,0,1,1,0,.247,.336,.370,.706,7,11,L,J.Quintana(56)
19,19,Apr 17,@,NYM,L1-9,33,29,1,5,0,0,0,1,3,0,7,0,0,0,0,3,0,0,.244,.332,.361,.694,5,9,R,L.Severino(61)
20,20,Apr 19,,BOS,L1-8,34,32,1,4,1,1,0,1,2,0,10,0,0,0,1,0,0,0,.238,.326,.355,.681,6,11,R,B.Bello(75)
21,21,Apr 20,,BOS,L2-4,37,34,2,9,1,0,1,2,3,0,10,0,0,0,0,2,1,0,.240,.326,.356,.682,8,11,R,K.Crawford(57)
22,22,Apr 21,,BOS,L1-6,33,31,1,7,1,0,0,1,1,0,5,0,0,1,0,0,0,0,.239,.323,.352,.675,5,9,R,J.Winckowski(51)
23,23,Apr 22,,MIL,W4-2,36,31,4,9,1,0,1,3,4,1,7,0,1,0,1,1,0,1,.241,.325,.355,.679,8,10,R,J.Ross(53)
24,24,Apr 23,,MIL,W2-1,31,29,2,7,0,0,1,2,2,0,6,0,0,0,0,1,0,1,.241,.323,.354,.678,5,10,R,T.Myers(58)
25,25,Apr 24,,MIL,L2-3,36,32,2,4,1,0,1,2,4,0,8,0,0,0,2,1,0,0,.237,.320,.350,.670,7,11,R,B.Wilson(49)
26,26,Apr 25,,MIL,L5-7,41,33,5,8,2,0,1,5,7,0,9,0,1,0,0,1,1,0,.237,.322,.352,.674,9,10,R,F.Peralta(34)
27,27,Apr 26,@,SFG,L0-3,38,35,0,8,2,0,0,0,2,0,11,1,0,0,1,1,1,0,.237,.321,.349,.670,11,12,L,K.Harrison(69)
28,28,Apr 27,@,SFG,W4-3,41,39,4,11,1,0,2,4,1,0,13,0,0,1,1,2,1,0,.238,.320,.354,.674,8,12,R,J.Hicks(67)
29,29,Apr 28,@,SFG,L2-3,36,31,2,5,2,0,0,2,3,0,7,2,0,0,0,1,1,0,.236,.318,.350,.668,7,11,R,K.Winn(66)
30,30,Apr 29,@,OAK,L1-5,31,26,1,2,0,0,0,0,5,0,7,0,0,0,0,3,0,0,.232,.316,.343,.659,3,9,R,J.Boyle(61)
31,31,Apr 30,@,OAK,L2-5,36,30,2,5,0,0,1,2,4,0,12,0,1,1,0,0,0,0,.230,.314,.341,.655,7,11,L,A.Wood(46)
32,32,May 1,@,OAK,L0-4,37,33,0,4,1,0,0,0,4,0,5,0,0,0,2,0,0,0,.227,.311,.335,.646,10,10,R,R.Stripling(68)
33,33,May 3,,COL,L2-3,33,30,2,4,0,0,1,2,2,0,12,1,0,0,0,1,0,0,.224,.309,.332,.641,4,10,R,C.Quantrill(82)
34,34,May 4,,COL,W1-0,36,31,1,6,1,0,0,1,5,1,7,0,0,0,0,0,0,0,.223,.309,.330,.638,9,10,L,A.Gomber(65)
35,35,May 5,,COL,W5-3,33,33,5,9,2,1,1,5,0,0,6,0,0,0,0,0,0,0,.225,.308,.334,.642,4,10,R,R.Feltner(36)
36,36,May 6,,LAA,W4-1,32,29,4,6,3,0,1,4,3,0,6,0,0,0,0,0,1,1,.224,.307,.336,.643,4,11,L,T.Anderson(47)
37,37,May 7,,LAA,L0-9,31,30,0,3,1,0,0,0,1,0,8,0,0,0,1,1,0,0,.221,.303,.331,.634,4,11,L,P.Sandoval(77)
38,38,May 8,,LAA,L4-5,35,33,4,6,3,0,0,4,2,0,13,0,0,0,0,0,0,0,.220,.301,.329,.631,4,9,R,J.Soriano(40)
39,39,May 10,,CHC,L2-7,38,35,2,7,2,0,0,2,3,0,12,0,0,0,2,1,0,1,.220,.300,.327,.628,9,9,R,J.Assad(51)
40,40,May 11,,CHC,W10-9,39,34,10,11,2,0,5,10,5,0,7,0,0,0,0,1,0,0,.222,.303,.340,.643,5,11,L,J.Steele(27)
41,41,May 12,,CHC,L4-5,44,36,4,8,1,0,2,4,7,1,10,0,0,1,0,0,3,1,.222,.304,.342,.646,11,13,R,K.Hendricks(60)
42,42,May 13,@,MIL,W8-6,43,39,8,13,3,0,3,8,3,0,8,0,1,0,0,0,1,0,.226,.306,.350,.656,8,9,R,C.Rea(52)
43,43,May 14,@,MIL,L3-4,32,31,3,3,1,0,2,3,1,0,13,0,0,0,1,0,0,0,.223,.303,.350,.652,2,9,R,J.Ross(60)
