Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,number,Umpire,Pitchers-Used-Rest-GameScore-Dec
1,1,Mar 28,@,MIA,W6-5,12.0,8,5,4,1,4,7,0,2,3.00,48,138,103,3,0,1,0,41,2,0,2,0,1,0,3,7,Chris Guccione,M.Keller (99-38) J.Fleming (99) H.Stratton (99) R.Borucki (99) A.Chapman (99) L.Ortiz (99-W) J.Hernandez (99-Sv)
2,2,Mar 29,@,MIA,W7-2,9.0,9,2,2,0,4,7,0,0,2.57,37,166,101,2,0,0,0,33,1,0,0,0,0,1,4,3,Brian Knight,M.Pérez (99-46) R.Ryan (99-W) J.Fleming (0-Sv)
3,3,Mar 30,@,MIA,W9-3,9.0,5,3,3,0,2,13,0,0,2.70,35,127,89,2,1,0,0,33,1,0,0,0,0,1,0,5,Gabe Morales,J.Jones (99-59-W) R.Borucki (1-H) H.Stratton (1) J.Hernandez (1) D.Bednar (99)
4,4,Mar 31,@,MIA,W9-7,10.0,7,7,7,0,4,11,3,0,3.60,41,144,91,0,0,0,0,37,1,0,0,0,0,0,0,6,Ryan Additon,B.Falter (99-27) L.Ortiz (2) R.Borucki (0-H) A.Chapman (2-H) D.Bednar (0-BW) H.Stratton (0-Sv)
5,5,Apr 1,@,WSN,W8-4,9.0,8,4,4,0,4,8,1,0,3.67,38,152,102,4,0,2,0,34,0,0,0,0,0,0,1,4,Andy Fletcher,M.Gonzales (99-55) R.Contreras (99-BW) R.Ryan (2-H) A.Chapman (0-Sv)
6,6,Apr 3,@,WSN,L3-5,8.0,10,5,4,1,2,8,1,0,3.79,35,119,75,1,0,1,0,32,5,0,0,0,0,0,1,3,Mike Muchlinski,M.Keller (5-37-L) H.Stratton (2) J.Fleming (4)
7,7,Apr 4,@,WSN,W7-4,9.0,8,4,4,0,4,10,1,0,3.82,39,140,93,4,0,0,0,35,1,0,0,0,0,1,1,4,Jansen Visconti,M.Pérez (5-58-W) L.Ortiz (3) A.Chapman (2-H) D.Bednar (3-Sv)
8,8,Apr 5,,BAL,L2-5,9.0,12,5,5,0,0,10,3,1,3.96,40,130,96,2,1,0,0,39,2,1,0,0,0,0,0,4,Brock Ballou,J.Jones (5-59-L) R.Borucki (4) H.Stratton (1) R.Contreras (3)
9,9,Apr 6,,BAL,W5-4,11.0,4,4,3,1,3,6,0,0,3.77,42,159,103,1,0,3,0,37,2,0,0,0,2,0,0,6,Ben May,B.Falter (5-70) R.Ryan (4-H) A.Chapman (1-H) D.Bednar (1-BSv) L.Ortiz (1) J.Fleming (2-W)
10,10,Apr 7,,BAL,W3-2,9.0,6,2,2,0,0,6,0,0,3.60,32,105,76,0,0,0,0,32,3,0,0,0,0,0,1,3,Dan Iassogna,M.Gonzales (5-58) R.Contreras (1) J.Hernandez (7-W)
11,11,Apr 8,,DET,W7-4,9.0,9,4,3,1,4,12,0,0,3.55,40,146,93,3,0,2,0,35,2,0,0,0,1,1,0,4,Mark Carlson,M.Keller (4-60-W) J.Fleming (1) A.Chapman (1-H) R.Ryan (1)
12,12,Apr 9,,DET,L3-5,9.0,9,5,5,0,1,8,0,2,3.66,38,130,83,2,0,0,0,35,1,0,0,0,0,0,1,3,Dan Merzel,M.Pérez (4-73) D.Bednar (2-BL) R.Contreras (1)
13,13,Apr 11,@,PHI,L1-5,8.0,7,5,4,1,0,10,3,0,3.72,31,107,76,0,0,0,0,31,0,0,0,0,0,1,1,3,Hunter Wendelstedt,J.Jones (5-57-L) C.Holderman (99) H.Stratton (5)
14,14,Apr 12,@,PHI,W5-2,9.0,7,2,2,0,3,7,0,0,3.60,36,148,95,4,1,0,0,33,2,0,0,0,0,0,1,6,John Tumpane,B.Falter (5-58-W) J.Hernandez (4-H) L.Ortiz (5-H) J.Fleming (3-H) A.Chapman (3-H) D.Bednar (2-Sv)
15,15,Apr 13,@,PHI,L3-4,8.1,9,4,3,1,7,9,1,0,3.58,41,148,96,4,1,0,0,34,1,0,1,0,0,0,0,6,Nick Mahrley,M.Gonzales (5-54) A.Chapman (0-BSv) C.Holderman (1) H.Stratton (1) J.Hernandez (0-L) R.Contreras (3)
16,16,Apr 14,@,PHI,W9-2,9.0,8,2,2,0,0,6,1,0,3.48,33,112,77,0,0,1,0,33,0,1,0,0,0,1,3,3,Marvin Hudson,M.Keller (5-57-W) J.Fleming (1) R.Ryan (5)
17,17,Apr 15,@,NYM,L3-6,8.0,8,6,6,0,4,6,0,2,3.65,39,141,86,3,2,3,0,33,4,0,0,0,0,0,1,5,Edwin Moscoso,M.Pérez (5-44) H.Stratton (1-BSv) C.Holderman (1) A.Chapman (1-L) R.Contreras (1)
18,18,Apr 16,@,NYM,L1-3,8.0,4,3,3,0,3,9,0,0,3.64,31,117,85,2,2,0,0,28,3,0,1,0,0,0,0,4,Adam Hamari,J.Jones (4-72) L.Ortiz (3-BL) J.Hernandez (2) R.Ryan (1)
19,19,Apr 17,@,NYM,L1-9,8.0,10,9,9,0,3,8,2,0,3.94,38,138,95,3,2,2,0,34,1,0,0,1,0,0,0,5,Vic Carapazza,B.Falter (4-54-L) H.Stratton (1) R.Ryan (0) D.Bednar (4) J.Fleming (2)
20,20,Apr 19,,BOS,L1-8,9.0,12,8,7,1,3,5,4,1,4.09,42,158,99,0,0,1,0,38,4,0,0,0,0,0,0,4,Paul Clemons,Q.Priester (99-32-L) J.Fleming (1) R.Contreras (3) H.Stratton (1)
21,21,Apr 20,,BOS,L2-4,9.0,6,4,4,0,7,8,1,0,4.09,40,152,94,0,0,0,0,33,1,1,0,0,0,1,1,3,D.J. Reyburn,M.Keller (5-46-L) L.Ortiz (3) C.Holderman (4)
22,22,Apr 21,,BOS,L1-6,9.0,8,6,4,2,6,14,0,2,4.08,45,180,115,2,2,2,0,35,3,0,0,1,0,1,0,5,Brennan Miller,M.Pérez (5-37-L) R.Ryan (3) J.Fleming (1) A.Chapman (5) D.Bednar (3)
23,23,Apr 22,,MIL,W4-2,9.0,5,2,2,0,5,10,1,0,3.99,37,147,91,3,1,0,0,32,1,0,0,0,0,0,0,5,Jeremie Rehak,J.Jones (5-65-W) C.Holderman (1-H) A.Chapman (0-H) H.Stratton (2-H) D.Bednar (0-Sv)
24,24,Apr 23,,MIL,W2-1,9.0,3,1,1,0,3,11,1,0,3.87,32,115,79,0,0,2,0,29,0,0,0,0,0,0,1,3,Clint Vondrak,B.Falter (5-73-W) C.Holderman (0-H) D.Bednar (0-Sv)
25,25,Apr 24,,MIL,L2-3,9.0,7,3,0,3,5,8,0,2,3.71,40,159,96,2,2,0,2,32,0,0,0,1,0,2,1,4,Mark Wegner,J.Fleming (2-50-L) L.Ortiz (3) R.Contreras (4) H.Stratton (1)
26,26,Apr 25,,MIL,L5-7,9.0,12,7,7,0,5,10,2,1,3.84,44,188,116,1,0,3,0,38,1,0,0,0,0,0,0,5,Tom Hanahan,M.Keller (4-44) R.Ryan (3-H) C.Holderman (1-H) A.Chapman (2-BL) R.Contreras (0)
27,27,Apr 26,@,SFG,L0-3,8.0,6,3,3,0,4,7,1,0,3.83,33,128,82,0,0,0,1,29,0,0,0,0,0,0,0,4,Gabe Morales,Q.Priester (6-71) H.Stratton (1) A.Chapman (0) D.Bednar (2-L)
28,28,Apr 27,@,SFG,W4-3,10.0,7,3,1,2,2,8,1,0,3.71,37,136,93,0,0,0,0,35,1,0,0,0,0,1,2,5,Nic Lentz,M.Pérez (5-64) C.Holderman (1) J.Fleming (2) H.Stratton (0-W) D.Bednar (0-Sv)
29,29,Apr 28,@,SFG,L2-3,8.0,8,3,3,0,1,8,2,0,3.70,31,132,87,0,0,0,1,29,1,0,0,0,1,0,1,3,Emil Jimenez,J.Jones (5-45-L) L.Ortiz (3) K.Nicolas (99)
30,30,Apr 29,@,OAK,L1-5,8.0,8,5,5,0,4,10,1,0,3.76,36,136,90,0,0,2,0,28,4,0,1,1,3,0,0,3,Dan Bellino,B.Falter (5-40-L) R.Contreras (3) K.Nicolas (0)
