Rk,Pos,Name,Age,W,L,W-Lpct,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERAplus,FIP,WHIP,H9,HR9,BB9,SO9,SO-W,Name-additional
1,SP,Mitch Keller,28,11,12,0.478,4.25,31,31,0,1,0,0,178,182,90,84,23,50,0,166,15,2,1,773,99,4.08,1.303,9.2,1.2,2.5,8.4,3.32,kellemi03
2,SP,Bailey Falter*,27,8,9,0.471,4.43,28,28,0,0,0,0,142.1,138,72,70,17,45,0,97,0,0,0,589,95,4.31,1.286,8.7,1.1,2.8,6.1,2.16,falteba01
3,SP,Paul Skenes,22,11,3,0.786,1.96,23,23,0,0,0,0,133,94,31,29,10,32,0,170,6,1,2,514,214,2.45,0.947,6.4,0.7,2.2,11.5,5.31,skenepa01
4,SP,Jared Jones,22,6,8,0.429,4.14,22,22,0,0,0,0,121.2,106,60,56,18,39,1,132,5,0,3,504,101,4.01,1.192,7.8,1.3,2.9,9.8,3.38,jonesja09
5,SP,Martín Pérez*,33,2,5,0.286,5.2,16,16,0,0,0,0,83,105,51,48,13,32,0,63,3,1,2,373,81,4.95,1.651,11.4,1.4,3.5,6.8,1.97,perezma02
6,CL,David Bednar,29,3,8,0.273,5.77,62,0,45,0,0,23,57.2,54,40,37,9,28,3,58,3,0,2,262,73,4.8,1.422,8.4,1.4,4.4,9.1,2.07,bednada01
7,RP,Aroldis Chapman*,36,5,5,0.5,3.79,68,0,18,0,0,14,61.2,44,31,26,5,39,0,98,2,2,4,265,111,3.04,1.346,6.4,0.7,5.7,14.3,2.51,chapmar01
8,RP,Kyle Nicolas,25,2,2,0.5,3.95,51,0,20,0,0,0,54.2,51,30,24,4,31,1,55,4,1,7,243,106,4.03,1.5,8.4,0.7,5.1,9.1,1.77,nicolky01
9,RP,Colin Holderman,28,3,6,0.333,3.16,55,0,5,0,0,0,51.1,42,23,18,6,25,0,56,5,0,2,223,133,4.26,1.305,7.4,1.1,4.4,9.8,2.24,holdeco01
10,RP,Carmen Mlodzinski,25,5,5,0.5,3.38,40,4,5,0,0,0,50.2,41,22,19,3,19,1,46,2,0,1,209,125,3.36,1.184,7.3,0.5,3.4,8.2,2.42,mlodzca01
11,,Luis Ortiz,25,7,6,0.538,3.32,37,15,2,0,0,1,135.2,109,56,50,16,42,3,107,9,1,2,556,126,4.25,1.113,7.2,1.1,2.8,7.1,2.55,ortizlu03
12,,Quinn Priester,23,2,6,0.25,5.04,10,6,1,0,0,0,44.2,52,29,25,7,13,0,31,2,0,1,201,84,4.82,1.455,10.5,1.4,2.6,6.2,2.38,priesqu01
13,,Dennis Santana,28,1,1,0.5,2.44,39,0,13,0,0,1,44.1,30,14,12,2,11,0,50,3,0,0,172,173,2.45,0.925,6.1,0.4,2.2,10.2,4.55,santade01
14,,Hunter Stratton,27,2,1,0.667,3.58,36,0,8,0,0,1,37.2,37,17,15,3,7,0,33,3,0,2,158,118,3.25,1.168,8.8,0.7,1.7,7.9,4.71,strathu01
15,,Marco Gonzales*,32,1,1,0.5,4.54,7,7,0,0,0,0,33.2,43,17,17,5,11,0,23,0,0,0,151,93,4.71,1.604,11.5,1.3,2.9,6.1,2.09,gonzama02
16,,Josh Fleming*,28,1,1,0.5,4.02,25,3,9,0,0,1,31.1,34,18,14,3,14,0,17,1,0,1,138,105,4.76,1.532,9.8,0.9,4,4.9,1.21,flemijo01
17,,Jake Woodford,27,0,4,0,7.09,7,5,1,0,0,0,26.2,33,27,21,4,4,0,19,2,0,2,121,60,4.37,1.388,11.1,1.4,1.4,6.4,4.75,woodfja01
18,,Jalen Beeks*,30,1,0,1,3.92,26,0,6,0,0,1,20.2,28,13,9,0,9,1,17,2,0,2,101,109,3.12,1.79,12.2,0,3.9,7.4,1.89,beeksja02
19,,Ryder Ryan,29,1,0,1,5.66,15,0,5,0,0,0,20.2,21,14,13,2,9,0,17,3,0,0,93,75,4.52,1.452,9.1,0.9,3.9,7.4,1.89,ryanry01
20,,Domingo Germán,31,0,1,0,7.84,7,2,3,0,0,0,20.2,25,19,18,4,13,1,18,2,1,2,100,54,6.12,1.839,10.9,1.7,5.7,7.8,1.38,germado01
21,,Roansy Contreras,24,1,0,1,4.41,12,0,6,0,0,0,16.1,19,8,8,3,8,2,16,0,0,0,74,97,5.06,1.653,10.5,1.7,4.4,8.8,2,contrro01
