Name,Age,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWLpct,162WLpct,oWAR,dWAR,oRAR,Salary,Acquired,Pos-Summary,Name-additional
Ji Hwan Bae*,24,29,81,-6,1,1,-1,0,-6,-0.7,3,-3,-0.4,.477,.496,-0.3,-0.2,-2,$755000,Free Agency,89/HD4,baeji01
Joey Bart,27,80,282,7,0,0,1,4,12,1.2,10,22,2.2,.516,.508,2.1,0.5,21,$770000,Traded,2D/H,bartjo01
Billy Cook,25,16,49,-1,0,0,6,0,4,0.5,2,6,0.6,.529,.503,0.0,0.6,0,,Traded,/3897,cookbi01
Oneil Cruz*,25,146,599,7,2,2,-12,7,5,0.5,20,26,2.5,.504,.503,3.8,-0.5,38,$755000,Traded,*68H/D,cruzon01
Henry Davis,24,37,122,-9,-1,0,-2,2,-10,-1.0,4,-6,-0.6,.472,.494,-0.4,0.0,-4,$747500,Amateur Draft,2/HD,davishe01
Bryan De La Cruz,27,44,168,-11,-1,1,-4,-1,-17,-1.8,6,-11,-1.2,.460,.489,-0.8,-0.6,-7,,Traded,9/7H,delacbr01
Jason Delay,29,7,19,0,0,0,0,0,0,0.0,1,1,0.1,.503,.500,0.1,0.0,1,$755000,Amateur Draft,/2DH,delayja01
Nick Gonzales,25,94,387,-1,0,-1,-5,3,-3,-0.3,13,10,0.9,.497,.498,1.4,-0.2,15,$740000,Amateur Draft,4/6H5,gonzani01
Yasmani Grandal#,35,72,243,1,-1,-2,-5,4,-1,-0.1,8,7,0.6,.498,.499,1.2,-0.1,12,$2500000,Free Agency,2/H3,grandya01
Ke'Bryan Hayes,27,96,396,-18,2,-1,10,3,-4,-0.5,14,9,0.8,.495,.497,-0.2,1.3,-1,$7000000,Amateur Draft,5/H,hayeske01
Connor Joe,31,123,416,-4,0,-1,4,-6,-7,-0.8,14,7,0.6,.494,.495,0.2,-0.2,3,$2125000,Traded,39H/7D,joeco01
Isiah Kiner-Falefa,29,50,215,-10,1,1,3,3,-2,-0.3,7,5,0.4,.495,.498,0.1,0.6,2,,Traded,64/5H,kineris01
Grant Koch,27,3,8,-2,0,0,0,0,-2,-0.2,0,-1,-0.1,.448,.499,-0.1,0.0,-1,,Amateur Draft,/2H,kochgr01
Andrew McCutchen,37,120,515,6,-2,-1,0,-10,-8,-0.8,17,10,0.8,.493,.495,0.8,-1.0,10,$5000000,Free Agency,*D/H9,mccutan01
Billy McKinney*,29,10,28,-2,0,0,1,0,-1,-0.1,1,0,0.0,.487,.499,-0.2,0.1,-1,,Purchased,/7H98,mckinbi01
Edward Olivares,28,55,196,-6,1,0,-6,-2,-13,-1.3,7,-6,-0.7,.476,.492,-0.1,-0.9,0,$1350000,Traded,9/DH7,olivaed02
Joshua Palacios*,28,23,78,-1,0,1,-2,-1,-3,-0.3,3,0,-0.1,.486,.498,0.1,-0.3,2,$740000,Waivers,9/87H,palacjo01
Liover Peguero,23,3,10,-1,0,0,0,0,-1,-0.1,0,-1,-0.1,.471,.499,-0.1,0.0,0,$740000,Traded,/6,pegueli01
Bryan Reynolds#,29,156,692,19,4,2,-5,-6,14,1.4,23,37,3.6,.509,.509,4.1,-1.2,42,$10250000,Traded,*7D9,reynobr01
Jack Suwinski*,25,88,277,-11,0,1,-15,-1,-25,-2.6,9,-16,-1.7,.470,.484,-0.2,-1.6,-1,$755000,Traded,879H,suwinja01
Michael A. Taylor,33,113,300,-18,3,1,11,2,-1,-0.1,10,9,0.9,.499,.499,-0.3,1.4,-2,$4000000,Free Agency,8H/7D,taylomi02
Rowdy Tellez*,29,131,421,-5,-2,-1,-3,-5,-16,-1.7,14,-1,-0.4,.487,.490,0.0,-0.8,2,$3200000,Free Agency,*3H/1,tellero01
Jared Triolo,26,125,446,-13,1,1,7,3,-1,-0.1,15,14,1.3,.499,.499,0.6,1.1,7,$745000,Amateur Draft,54/36H9,triolja01
Alika Williams,25,37,96,-6,0,1,-1,1,-4,-0.5,3,-1,-0.2,.488,.497,0.0,0.1,0,$745000,Traded,46/H,willial04
Nick Yorke,22,11,42,-1,0,0,-3,0,-3,-0.3,1,-2,-0.2,.469,.498,0.1,-0.3,1,,Traded,/4957,yorkeni01
Team Total,28.6,1669,6086,-85,9,4,-21,1,-93,-9.9,206,114,9.6,.494,.498,11.8,-2.1,135,$43672500,,,-9999
