Name,Age,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,RA9extras,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWLpct,162WLpct,Salary,Acquired,Name-additional
David Bednar,29,57.2,62,0,40,6.24,4.59,-0.08,-0.31,0.29,100.5,4.67,-10,-1.1,1.40,-0.4,-0.9,-5,.483,.493,$4150000,Traded,bednada01
Jalen Beeks*,30,20.2,26,0,13,5.66,4.80,-0.09,-0.32,0.00,100.2,4.58,-3,-0.3,.97,-0.1,-0.1,-1,.490,.498,,Traded,beeksja02
Ryan Borucki*,30,11.0,14,0,10,8.18,4.31,-0.08,-0.29,0.00,105.5,4.32,-5,-0.5,.79,0.0,-0.4,-4,.466,.497,$1600000,Free Agency,borucry01
Justin Bruihl*,27,5.2,7,0,6,9.53,4.18,-0.09,-0.28,0.00,111.3,4.45,-3,-0.3,1.05,0.0,-0.3,-3,.454,.498,,Free Agency,bruihju01
Mike Burrows,24,3.1,1,0,2,5.40,4.83,-0.07,-0.32,0.00,104.0,4.76,0,0.0,1.08,0.0,0.0,0,.474,.500,,Amateur Draft,burromi01
Aroldis Chapman*,36,61.2,68,0,31,4.52,4.51,-0.05,-0.30,0.18,101.3,4.51,0,0.0,1.67,-0.2,0.4,6,.500,.500,$10500000,Free Agency,chapmar01
Roansy Contreras,24,16.1,12,0,8,4.41,4.58,-0.08,-0.31,0.00,99.6,4.34,0,0.0,.98,0.0,0.1,1,.498,.500,,Traded,contrro01
Bailey Falter*,27,142.1,28,28,72,4.55,4.54,-0.08,0.21,0.00,100.7,4.87,4,0.5,,-0.1,1.7,18,.517,.503,$755000,Traded,falteba01
Brady Feigl*,33,1.2,1,0,6,32.40,4.99,-0.17,-0.33,0.00,102.0,4.92,-5,-0.3,.01,0.2,-0.2,-5,.166,.498,,Free Agency,feiglbr01
Josh Fleming*,28,31.1,25,3,18,5.17,4.36,-0.09,-0.19,0.00,104.8,4.46,-3,-0.3,.73,0.0,0.0,0,.489,.498,$850000,Free Agency,flemijo01
Domingo Germán,31,20.2,7,2,19,8.27,5.05,-0.08,-0.09,0.00,96.1,4.85,-8,-0.8,.48,0.1,-0.5,-6,.393,.495,,Free Agency,germado01
Marco Gonzales*,32,33.2,7,7,17,4.54,4.80,-0.09,0.22,0.00,100.1,5.11,2,0.2,,0.0,0.5,5,.531,.501,,Traded,gonzama02
Ben Heller,32,12.0,8,0,16,12.00,4.73,-0.08,-0.32,0.47,99.4,4.93,-9,-0.9,.84,0.0,-0.7,-8,.389,.494,,Free Agency,hellebe01
Jose Hernandez*,26,5.1,7,0,2,3.38,4.60,-0.08,-0.31,1.06,102.5,5.58,1,0.1,1.83,0.0,0.2,2,.519,.501,,Waivers,hernajo03
Colin Holderman,28,51.1,55,0,23,4.03,4.45,-0.07,-0.30,0.22,101.2,4.49,2,0.3,1.57,-0.1,0.7,7,.505,.502,$755000,Traded,holdeco01
Brent Honeywell Jr.,29,3.1,2,0,1,2.70,4.82,-0.09,-0.32,0.00,102.0,4.69,1,0.1,.09,0.0,0.1,1,.539,.500,,Free Agency,honeybr01
Daulton Jefferies,28,10.0,4,0,7,6.30,4.23,-0.08,-0.28,0.00,103.8,4.18,-2,-0.2,.15,0.1,-0.1,-1,.441,.499,$740000,Traded,jeffeda01
Jared Jones,22,121.2,22,22,60,4.44,4.61,-0.07,0.21,0.00,101.9,4.98,7,0.7,,-0.1,1.8,19,.533,.505,$740000,Amateur Draft,jonesja09
Mitch Keller,28,178.0,31,31,90,4.55,4.44,-0.08,0.20,0.00,101.5,4.79,4,0.4,,-0.1,2.0,21,.514,.503,$5854000,Amateur Draft,kellemi03
Isaac Mattson,28,5.1,3,0,3,5.06,4.40,-0.05,-0.29,0.00,105.2,4.38,0,0.0,.51,0.0,0.0,0,.486,.500,,Free Agency,mattsis01
Carmen Mlodzinski,25,50.2,40,4,22,3.91,4.36,-0.07,-0.27,0.33,102.6,4.60,4,0.4,1.06,-0.1,0.8,9,.510,.502,$747500,Amateur Draft,mlodzca01
Kyle Nicolas,25,54.2,51,0,30,4.94,4.56,-0.07,-0.30,0.20,102.4,4.64,-2,-0.2,.74,-0.1,0.2,3,.496,.499,$740000,Traded,nicolky01
Luis Ortiz,25,135.2,37,15,56,3.71,4.46,-0.08,0.07,0.17,102.5,4.90,17,1.9,1.21,-0.1,3.0,31,.551,.512,$747500,Free Agency,ortizlu03
Martín Pérez*,33,83.0,16,16,51,5.53,4.38,-0.09,0.20,0.00,100.4,4.69,-8,-0.8,,-0.1,-0.1,0,.450,.495,$8000000,Free Agency,perezma02
