Name,Age,Birth,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,,Name-additional
Ji Hwan Bae,24,kr KR,L,R,5' 11",185,Jul 26 1999,3,29,21,29,24,0,0,0,1,0,0,0,15,12,23,4,1,6,-0.4,$755000,,baeji01
Joey Bart,27,us US,R,R,6' 2",238,Dec 15 1996,5,80,72,80,69,0,69,0,0,0,0,0,0,0,0,11,4,0,2.2,$770000,,bartjo01
David Bednar,29,us US,L,R,6' 0",225,Oct 10 1994,6,62,0,0,62,62,0,0,0,0,0,0,0,0,0,0,0,0,-0.9,$4150000,,bednada01
Jalen Beeks,30,us US,L,L,5' 11",215,Jul 10 1993,6,26,0,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,,beeksja02
Ryan Borucki,30,us US,L,L,6' 4",210,Mar 31 1994,7,14,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,$1600000,,borucry01
Justin Bruihl,27,us US,L,L,6' 2",215,Jun 26 1997,4,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,,,bruihju01
Mike Burrows,24,us US,R,R,6' 1",190,Nov 8 1999,1st,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,burromi01
Aroldis Chapman,36,cu CU,L,L,6' 4",235,Feb 28 1988,15,68,0,0,68,68,0,0,0,0,0,0,0,0,0,0,0,0,0.4,$10500000,,chapmar01
Roansy Contreras,24,do DO,R,R,6' 1",205,Nov 7 1999,4,12,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,,contrro01
Billy Cook,25,us US,R,R,5' 11",205,Jan 7 1999,1st,16,14,16,16,0,0,5,0,0,0,3,5,4,12,0,0,0,0.6,,,cookbi01
Oneil Cruz,25,do DO,L,R,6' 7",215,Oct 4 1998,4,146,136,146,135,0,0,0,0,0,112,0,23,0,23,7,9,1,2.5,$755000,,cruzon01
Henry Davis,24,us US,R,R,6' 0",210,Sep 21 1999,2,37,32,37,34,0,34,0,0,0,0,0,0,0,0,1,1,1,-0.6,$747500,,davishe01
Bryan De La Cruz,27,do DO,R,R,6' 2",175,Dec 16 1996,4,44,41,44,44,0,0,0,0,0,0,5,0,39,44,0,2,1,-1.2,,,delacbr01
Jason Delay,29,us US,R,R,5' 11",190,Mar 7 1995,3,7,5,7,6,0,6,0,0,0,0,0,0,0,0,1,1,0,0.1,$755000,,delayja01
Bailey Falter,27,us US,R,L,6' 4",205,Apr 24 1997,4,28,28,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,1.7,$755000,,falteba01
Brady Feigl,33,us US,R,L,6' 4",195,Dec 27 1990,1st,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,,feiglbr01
Josh Fleming,28,us US,L,L,6' 2",220,May 18 1996,5,25,3,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0.0,$850000,,flemijo01
Domingo Germán,31,do DO,R,R,6' 2",181,Aug 4 1992,7,7,2,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,,,germado01
Marco Gonzales,32,us US,L,L,6' 1",205,Feb 16 1992,10,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0.5,,,gonzama02
Nick Gonzales,25,us US,R,R,5' 9",190,May 27 1999,2,94,91,94,93,0,0,0,85,2,8,0,0,0,0,0,2,1,0.9,$740000,,gonzani01
Yasmani Grandal,35,cu CU,B,R,6' 2",225,Nov 8 1988,13,72,62,72,71,0,71,2,0,0,0,0,0,0,0,0,3,0,0.6,$2500000,,grandya01
Ke'Bryan Hayes,27,us US,R,R,5' 11",195,Jan 28 1997,5,96,93,96,96,0,0,0,0,96,0,0,0,0,0,0,3,0,0.8,$7000000,,hayeske01
Ben Heller,32,us US,R,R,6' 3",210,Aug 5 1991,6,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,,,hellebe01
Jose Hernandez,26,do DO,L,L,6' 3",205,Dec 31 1997,2,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,,hernajo03
