Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPSplus,rOBA,Rbatplus,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Tyler Stephenson,27,C,2.4,138,515,457,69,118,26,1,19,66,1,0,48,117,.258,.338,.444,.782,112,.345,114,203,9,8,0,2,2,*2HD,,stephty01
2,Ty France,29,1B,-0.4,52,195,179,18,45,10,0,5,20,1,0,10,31,.251,.292,.391,.683,85,.302,83,70,5,2,0,4,0,3/DH,,francty01
3,Jonathan India,27,2B,1.7,151,637,533,84,132,28,2,15,58,13,2,80,125,.248,.357,.392,.750,105,.340,108,209,16,15,2,7,0,*4D/H,,indiajo01
4,Elly De La Cruz#,22,SS,5.2,160,696,618,105,160,36,10,25,76,67,16,69,218,.259,.339,.471,.809,119,.367,122,291,12,6,2,1,2,*6/H,AS,delacel01
5,Santiago Espinal,29,3B,-0.4,118,391,357,32,88,12,0,9,45,11,1,24,54,.246,.295,.356,.650,77,.294,73,127,7,2,4,4,1,54HD/679,,espinsa01
6,Spencer Steer,26,LF,1.5,158,656,574,74,129,34,4,20,92,25,3,72,137,.225,.319,.402,.721,96,.331,99,231,5,8,0,2,1,73/4D9H6,,steersp01
7,TJ Friedl*,28,CF,0.5,85,341,297,35,67,5,1,13,55,9,1,26,52,.226,.310,.380,.690,88,.313,88,113,1,12,2,4,0,8/HD,,friedtj01
8,Jake Fraley*,29,RF,0.3,116,382,350,44,97,19,2,5,26,20,5,26,70,.277,.330,.386,.716,95,.319,92,135,6,3,0,3,0,9H/D78,,fraleja01
9,Jeimer Candelario#,30,DH,-0.6,112,463,427,47,96,23,2,20,56,4,3,27,114,.225,.279,.429,.707,90,.306,87,183,7,6,0,3,1,53D/H,,candeje01
10,Will Benson*,26,OF,-1.4,128,388,343,41,64,19,2,14,43,16,7,40,154,.187,.274,.376,.650,76,.285,70,129,3,2,1,2,0,*798H/D,,bensowi01
11,Noelvi Marté,22,3B,-1.8,66,242,229,24,48,9,0,4,18,9,3,9,75,.210,.248,.301,.549,49,.244,40,69,1,3,0,1,0,5D/H4,,marteno01
12,Stuart Fairchild,28,CF,1.0,94,233,209,33,45,8,0,8,30,13,1,17,60,.215,.286,.368,.654,77,.314,83,77,1,4,2,1,0,8H97/D,,faircst01
13,Nick Martini*,34,DH,-0.4,52,163,146,23,31,4,2,5,24,1,3,9,38,.212,.272,.370,.641,73,.293,82,54,1,4,0,3,0,D9/7H,,martini02
14,Luke Maile,33,C,-0.4,53,154,135,8,24,4,0,2,8,2,0,13,52,.178,.268,.252,.520,44,.250,43,34,4,4,1,1,0,2/1HD,,mailelu01
15,Christian Encarnacion-Strand,24,1B,-1.0,29,123,116,13,22,6,0,2,16,0,0,4,35,.190,.220,.293,.513,39,.222,25,34,4,1,0,2,0,3,,encarch01
16,Jacob Hurtubise*,26,LF,-0.1,29,68,54,7,10,1,1,0,4,2,0,6,18,.185,.297,.241,.538,50,.275,55,13,0,3,4,1,0,7/HD9,,hurtuja01
17,Mike Ford*,31,DH,-0.7,17,62,60,2,9,0,1,1,4,0,0,2,15,.150,.177,.233,.411,11,.181,-4,14,1,0,0,0,0,D/3H,,fordmi01
18,Amed Rosario,28,UT,-0.6,22,59,57,6,9,0,0,1,4,3,0,1,23,.158,.186,.211,.397,9,.221,16,12,1,1,0,0,0,D/9H4,,rosaram01
19,Rece Hinds,23,RF,0.7,24,51,46,9,12,4,1,5,11,2,0,4,16,.261,.333,.717,1.051,176,.435,173,33,0,1,0,0,0,9/H78D,,hindsre01
20,Blake Dunn,25,OF,-0.2,19,29,26,8,4,1,0,1,1,2,0,2,11,.154,.241,.308,.549,49,.263,44,8,1,1,0,0,0,7/H89D,,dunnbl01
