Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fldpct,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,PB,WP,SB,CS,CSpct,lgCSpct,PO,Pos-Summary,Name-additional
Andrew Abbott,25,25,25,0,138,14,6,8,0,0,1,,,1,1,0,0.91,0.56,,,10,4,0.29,0.20,2,P,abbotan01
Julian Aguiar,23,7,7,0,31.2,6,2,4,0,0,1,,,0,0,0,1.71,0.86,,,1,0,0.00,0.20,0,P,aguiaju01
Tejay Antone,30,4,0,0,2,0,0,0,0,0,,,,-1,-100,0,0,0,,,0,1,1.00,0.20,0,P,antonte01
Graham Ashcraft,26,15,15,0,77.1,21,10,8,3,0,0.857,,,-1,-3,0,2.09,1.2,,,4,1,0.20,0.20,0,P,ashcrgr01
Will Benson,26,118,101,52,884,233,226,5,2,0,0.991,-6,-8,-6,-8,-1,2.35,1.54,,,,,,,,LF-RF-CF-DH,bensowi01
David Buchanan,35,1,0,0,3.1,0,0,0,0,0,,,,0,0,,0,0,,,0,0,,,0,P,buchada01
Alan Busenitz,33,3,0,0,4,0,0,0,0,0,,,,0,0,,0,0,,,0,0,,,0,P,busenal01
Jeimer Candelario,30,80,79,68,689.2,327,220,96,11,26,0.966,-9,-16,-10,-17,-1,4.12,2.68,,,,,,,,3B-1B-DH,candeje01
Conner Capel,27,1,1,0,6,2,2,0,0,0,1,1,124,0,0,0,3,0.4,,,,,,,,LF-DH,capelco01
Fernando Cruz,34,69,3,0,66.2,9,2,7,0,0,1,,,1,3,0,1.22,0.13,,,11,1,0.08,0.20,0,P,cruzfe01
Elly De La Cruz,22,160,159,155,1391,636,247,360,29,70,0.954,-1,-1,-2,-2,2,3.93,3.79,,,,,,,,SS,delacel01
Alexis Díaz,27,60,0,0,56.1,6,4,2,0,1,1,,,0,0,0,0.96,0.1,,,7,3,0.30,0.20,2,P,diazal03
Blake Dunn,25,17,7,3,75,18,18,0,0,0,1,2,30,0,0,0,2.16,1,,,,,,,,LF-CF-RF-DH,dunnbl01
Christian Encarnacion-Strand,24,29,29,28,255,215,196,19,0,13,1,1,3,-1,-5,0,7.59,7.41,,,,,,,,1B,encarch01
Santiago Espinal,29,105,90,79,816.2,253,85,162,6,20,0.976,-2,-2,-5,-7,0,2.72,1.98,,,,,,,,3B-2B-SS-LF-RF-DH,espinsa01
Stuart Fairchild,28,84,54,39,526,171,170,1,0,1,1,5,11,6,14,3,2.93,1.73,,,,,,,,CF-RF-LF-DH,faircst01
Buck Farmer,33,61,1,0,71,6,3,3,0,0,1,,,-1,-3,0,0.76,0.1,,,12,2,0.14,0.20,0,P,farmebu01
Mike Ford,31,2,2,2,17,17,15,2,0,1,1,1,65,1,71,0,9,1.13,,,,,,,,1B-DH,fordmi01
Jake Fraley,29,100,91,71,776.2,199,193,4,2,0,0.99,5,8,-1,-2,0,2.28,1.76,,,,,,,,RF-LF-CF-DH,fraleja01
Ty France,29,46,42,39,370,293,262,30,1,28,0.997,1,4,-2,-6,0,7.1,5.62,,,,,,,,1B-DH,francty01
TJ Friedl,28,83,80,69,678,198,192,3,3,1,0.985,2,3,-5,-9,-1,2.59,2.32,,,,,,,,CF-DH,friedtj01
Ian Gibaut,30,2,0,0,2,0,0,0,0,0,,,,0,0,,0,0,,,1,0,0.00,0.20,0,P,gibauia01
Hunter Greene,24,26,26,0,150.1,14,5,9,0,0,1,,,-1,-1,0,0.84,0.54,,,14,3,0.18,0.20,2,P,greenhu01
Rece Hinds,23,22,10,10,115,33,33,0,0,0,1,4,40,1,10,0,2.58,1.43,,,,,,,,RF-CF-LF-DH,hindsre01
