Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,number,Thr,Opp-Starter-GmeSc
1,1,Mar 28,,WSN,W8-2,37,34,8,10,3,0,2,8,2,0,9,1,0,0,0,0,3,0,.294,.351,.559,.910,5,9,R,J.Gray(22)
2,2,Mar 30,,WSN,L6-7,37,34,6,10,2,0,2,6,3,0,8,0,0,0,0,0,2,2,.294,.351,.544,.895,4,13,L,P.Corbin(34)
3,3,Mar 31,,WSN,W6-5,39,36,6,14,3,1,2,6,3,0,7,0,0,0,0,3,1,1,.327,.381,.596,.977,7,11,R,J.Irvin(43)
4,4,Apr 1,@,PHI,W6-3,42,37,6,8,1,1,1,6,5,0,17,0,0,0,0,0,5,0,.298,.361,.539,.900,7,11,L,C.Sánchez(56)
5,5,Apr 2,@,PHI,L4-9,37,36,4,8,4,0,0,3,0,0,11,0,0,1,2,0,0,0,.282,.333,.497,.831,6,9,R,S.Turnbull(66)
6,6,Apr 3,@,PHI,W4-1,36,34,4,7,4,1,0,4,1,0,15,1,0,0,1,0,0,1,.270,.320,.479,.799,5,12,R,Z.Wheeler(65)
7,7,Apr 5,,NYM,L2-3,41,34,2,7,2,0,1,2,6,0,9,0,0,1,1,0,0,0,.261,.320,.461,.781,12,13,L,J.Quintana(55)
8,8,Apr 6,,NYM,W9-6,40,33,9,8,1,1,1,8,5,0,11,1,0,1,1,0,3,0,.259,.324,.457,.780,7,12,R,L.Severino(60)
9,9,Apr 7,,NYM,L1-3,36,28,1,3,0,0,0,1,5,0,12,2,0,1,0,1,4,0,.245,.319,.425,.744,8,12,L,S.Manaea(61)
10,10,Apr 8,,MIL,W10-8,40,36,10,10,3,0,3,8,3,0,6,0,1,0,2,0,4,0,.249,.320,.444,.765,6,9,L,A.Ashby(25)
11,11,Apr 9,,MIL,L5-9,40,38,5,10,4,0,0,5,2,0,12,0,0,0,1,0,1,0,.250,.318,.437,.755,8,10,R,J.Ross(59)
12,12,Apr 10,,MIL,L2-7,31,28,2,4,1,0,1,2,2,0,2,1,0,0,0,2,0,0,.243,.312,.426,.739,2,9,L,W.Miley(54)
13,13,Apr 12,@,CHW,W11-1,47,36,11,12,2,1,2,11,9,0,7,0,0,2,0,1,1,0,.250,.325,.441,.766,9,10,R,C.Flexen(21)
14,14,Apr 13,@,CHW,W5-0,34,29,5,4,2,0,0,5,4,0,15,1,0,0,0,1,1,1,.243,.321,.427,.748,2,9,L,G.Crochet(43)
15,15,Apr 14,@,CHW,W11-4,47,37,11,10,0,0,2,11,8,0,7,0,0,2,2,0,6,1,.245,.326,.427,.753,9,9,R,M.Soroka(32)
16,16,Apr 15,@,SEA,L3-9,33,33,3,7,4,0,2,3,0,0,10,0,0,0,0,0,1,1,.243,.320,.433,.753,3,9,R,G.Kirby(60)
17,17,Apr 16,@,SEA,L1-3,34,30,1,4,0,0,0,1,4,0,9,0,0,0,1,0,2,1,.237,.315,.417,.732,6,11,R,L.Gilbert(69)
18,18,Apr 17,@,SEA,L1-5,29,28,1,1,0,0,1,1,1,0,12,0,0,0,0,0,0,0,.228,.305,.404,.709,1,9,R,B.Miller(72)
19,19,Apr 19,,LAA,W7-1,36,28,7,5,0,0,2,5,6,0,3,1,1,0,0,0,3,0,.226,.307,.404,.711,5,9,L,T.Anderson(64)
20,20,Apr 20,,LAA,W7-5,39,31,7,9,2,0,1,7,8,0,13,0,0,0,0,0,1,2,.229,.313,.406,.719,8,11,L,P.Sandoval(23)
21,21,Apr 21,,LAA,W3-0,34,29,3,5,1,1,0,3,4,0,10,1,0,0,1,0,0,0,.226,.313,.401,.713,7,10,R,J.Soriano(64)
22,22,Apr 22,,PHI,L0-7,29,27,0,2,0,0,0,0,1,0,9,0,1,0,0,0,1,0,.221,.306,.388,.694,2,9,L,R.Suárez(77)
23,23,Apr 23,,PHI,W8-1,39,35,8,9,1,0,2,6,3,0,6,1,0,0,2,0,1,0,.222,.307,.391,.698,7,9,L,C.Sánchez(39)
24,24,Apr 24,,PHI,W7-4,41,32,7,10,2,0,1,7,7,0,13,0,0,2,0,0,5,0,.226,.312,.395,.706,10,10,R,S.Turnbull(62)
25,25,Apr 25,,PHI,L0-5,34,29,0,3,0,0,0,0,5,0,13,0,0,0,0,1,0,0,.222,.309,.384,.693,7,9,R,Z.Wheeler(74)
26,26,Apr 26,@,TEX,L1-2,35,30,1,3,0,0,0,0,5,0,12,0,0,0,0,0,4,0,.217,.306,.374,.680,7,10,R,N.Eovaldi(65)
27,27,Apr 27,@,TEX,W8-4,39,33,8,10,0,0,2,8,2,0,6,2,0,2,0,1,0,1,.221,.308,.378,.686,4,12,R,M.Lorenzen(42)
28,28,Apr 28,@,TEX,L3-4,35,33,3,6,1,0,0,2,1,0,15,1,0,0,0,0,3,0,.219,.305,.372,.678,5,10,R,D.Dunning(66)
29,29,Apr 29,@,SDP,W5-2,36,33,5,8,4,0,1,4,1,0,6,0,0,1,0,0,0,0,.220,.304,.375,.679,4,10,R,M.Waldron(48)
30,30,Apr 30,@,SDP,L4-6,35,35,4,8,1,0,2,4,0,0,9,0,0,0,0,0,2,0,.220,.301,.377,.678,4,9,R,Y.Darvish(64)
31,31,May 1,@,SDP,L2-6,33,30,2,4,2,0,1,2,2,0,12,1,0,0,0,1,1,0,.218,.299,.375,.674,4,9,R,J.Musgrove(65)
32,32,May 3,,BAL,L0-3,29,29,0,2,1,0,0,0,0,0,8,0,0,0,0,0,1,0,.214,.293,.367,.660,2,12,L,C.Irvin(73)
33,33,May 4,,BAL,L1-2,33,31,1,6,1,0,0,1,2,0,10,0,0,0,0,1,1,0,.213,.292,.363,.655,5,13,L,J.Means(79)
34,34,May 5,,BAL,L1-11,33,30,1,3,0,0,0,1,3,0,8,0,0,0,0,0,0,0,.210,.289,.356,.645,5,9,R,D.Kremer(75)
35,35,May 7,,ARI,L2-6,33,29,2,3,0,0,2,2,4,0,8,0,0,0,0,1,1,0,.207,.287,.355,.642,4,9,R,Z.Gallen(73)
36,36,May 8,,ARI,L3-4,37,34,3,9,2,0,0,3,3,0,4,0,0,0,0,1,4,0,.209,.288,.354,.642,7,12,L,J.Montgomery(55)
37,37,May 9,,ARI,L4-5,37,33,4,9,1,0,1,4,3,0,6,1,0,0,0,0,2,2,.211,.290,.355,.645,6,11,R,S.Cecconi(57)
38,38,May 10,@,SFG,W4-2,37,33,4,9,2,0,1,4,4,0,6,0,0,0,0,2,2,1,.212,.291,.357,.648,6,10,R,L.Webb(55)
39,39,May 11,@,SFG,L1-5,37,31,1,8,0,0,1,1,3,0,7,3,0,0,0,1,1,0,.213,.294,.357,.650,9,12,R,M.Black(51)
