Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,number,Umpire,Pitchers-Used-Rest-GameScore-Dec
1,1,Mar 28,,WSN,W8-2,9.0,6,2,2,0,0,9,1,0,2.00,32,136,89,0,0,0,0,32,0,0,0,0,0,0,0,3,Dan Iassogna,F.Montas (99-68-W) E.Pagán (99) B.Suter (99)
2,2,Mar 30,,WSN,L6-7,9.0,11,7,7,0,6,14,1,1,4.50,44,183,112,6,1,5,0,35,2,1,0,0,2,0,1,6,CB Bucknor,H.Greene (99-49) J.Wilson (99) F.Cruz (99-H) L.Sims (99-BSv) A.Díaz (99-BL) B.Suter (1)
3,3,Mar 31,,WSN,W6-5,9.0,9,5,5,0,4,7,2,2,4.67,42,161,106,3,1,2,0,34,2,0,0,1,1,0,0,6,Adam Beck,N.Martinez (99-45) E.Pagán (2) B.Farmer (99) T.Antone (99) F.Cruz (0) L.Sims (0-W)
4,4,Apr 1,@,PHI,W6-3,10.0,7,3,2,1,4,10,0,0,3.89,39,158,100,2,0,2,2,35,1,0,0,0,0,0,0,6,Bill Miller,A.Abbott (99-56) E.Pagán (0) J.Wilson (1) B.Suter (1) A.Díaz (1-W) T.Antone (0)
5,5,Apr 2,@,PHI,L4-9,8.0,9,9,7,2,3,6,4,0,4.60,38,136,87,0,0,0,0,35,0,0,0,0,0,1,0,3,Doug Eddings,G.Ashcraft (99-58-L) B.Suter (0) B.Farmer (1)
6,6,Apr 3,@,PHI,W4-1,9.0,6,1,1,0,4,10,1,0,4.00,36,155,100,3,0,0,1,32,0,0,0,0,0,0,0,5,Chad Whitson,F.Montas (5-57-W) J.Wilson (1-H) L.Sims (2-H) F.Cruz (2-H) A.Díaz (1-Sv)
7,7,Apr 5,,NYM,L2-3,9.0,4,3,3,0,5,10,1,2,3.86,38,158,101,0,0,1,1,30,0,0,0,0,1,0,0,4,Dan Merzel,H.Greene (5-67) F.Cruz (1-L) E.Pagán (3) T.Antone (3)
8,8,Apr 6,,NYM,W9-6,9.0,11,6,6,0,2,7,0,1,4.12,41,148,93,0,0,2,0,38,2,0,0,0,0,0,0,4,Jordan Baker,N.Martinez (5-36) B.Farmer (3) E.Pagán (0-W) A.Díaz (2)
9,9,Apr 7,,NYM,L1-3,9.0,9,3,2,1,2,5,1,1,3.89,38,143,88,0,0,0,0,35,2,0,0,0,0,0,1,4,Stu Scheurwater,A.Abbott (5-45-L) T.Antone (1) B.Suter (4) B.Farmer (0)
10,10,Apr 8,,MIL,W10-8,9.0,12,8,7,1,2,11,2,1,4.20,42,157,106,1,0,0,0,39,2,0,0,0,0,0,0,5,Brian O'Nora,G.Ashcraft (5-34-W) J.Wilson (4-H) L.Sims (4-H) F.Cruz (2-H) A.Díaz (1-Sv)
