Name,Age,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWLpct,162WLpct,oWAR,dWAR,oRAR,Salary,Acquired,Pos-Summary,Name-additional
Will Benson*,26,128,388,-13,-3,0,-6,-3,-25,-2.6,13,-12,-1.4,.480,.484,-0.7,-1.0,-6,$750000,Traded,*798H/D,bensowi01
Jeimer Candelario#,30,112,463,-7,-2,1,-10,-3,-21,-2.2,16,-5,-0.7,.480,.486,0.4,-1.3,5,$13000000,Free Agency,53D/H,candeje01
Conner Capel*,27,5,8,-1,0,0,0,0,-1,-0.1,0,-1,-0.1,.482,.499,-0.1,0.0,-1,$740000,Free Agency,/DH7,capelco01
Fernando Cruz#,34,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$750000,Free Agency,1,cruzfe01
Elly De La Cruz#,22,160,696,18,4,0,-2,10,30,3.0,23,53,5.2,.519,.519,5.4,0.8,55,$742500,Free Agency,*6/H,delacel01
Alexis Díaz,27,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$760000,Amateur Draft,1,diazal03
Blake Dunn,25,19,29,-2,0,0,0,0,-3,-0.3,1,-2,-0.2,.486,.498,-0.2,-0.1,-2,$740000,Amateur Draft,7/H8D9,dunnbl01
Christian Encarnacion-Strand,24,29,123,-11,0,0,-1,-1,-13,-1.4,4,-9,-1.0,.451,.491,-0.9,-0.3,-8,$740000,Traded,3,encarch01
Santiago Espinal,29,118,391,-12,0,-1,-5,2,-16,-1.7,13,-3,-0.4,.486,.490,0.1,-0.3,2,$2725000,Traded,54HD/769,espinsa01
Stuart Fairchild,28,94,233,-4,1,0,6,-1,2,0.2,8,10,1.0,.503,.501,0.4,0.6,4,$750000,Waivers,8H97/D,faircst01
Buck Farmer*,33,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$2250000,Free Agency,1,farmebu01
Mike Ford*,31,17,62,-7,0,0,1,-1,-8,-0.9,2,-6,-0.7,.450,.495,-0.8,0.0,-7,$1300000,Free Agency,D/3H,fordmi01
Jake Fraley*,29,116,382,-4,-2,2,-1,-4,-9,-0.9,13,4,0.3,.492,.494,0.4,-0.5,5,$2150000,Traded,9H/D78,fraleja01
Ty France,29,52,195,-4,0,-1,-2,-3,-10,-1.0,7,-3,-0.4,.480,.494,-0.2,-0.5,-1,,Traded,3/DH,francty01
TJ Friedl*,28,85,341,-5,0,1,-5,2,-6,-0.6,12,6,0.5,.493,.496,1.0,-0.3,11,$750000,Amateur Free Agent,8/HD,friedtj01
Rece Hinds,23,24,51,4,0,0,1,-1,5,0.5,2,7,0.7,.523,.503,0.6,0.0,6,,Amateur Draft,9/H87D,hindsre01
Jacob Hurtubise*,26,29,68,-3,0,0,1,-1,-3,-0.4,2,-1,-0.1,.488,.498,-0.2,0.0,-2,$740000,Free Agency,7/HD9,hurtuja01
Jonathan India,27,151,637,6,-1,-2,-10,3,-4,-0.4,22,18,1.7,.497,.497,2.7,-0.7,28,$3800000,Amateur Draft,*4D/H,indiajo01
Levi Jordan,28,7,11,-2,0,0,0,0,-2,-0.2,0,-2,-0.2,.469,.499,-0.2,0.0,-2,,Rule 5 Draft,/7H94,jordale01
Luke Maile,33,53,154,-10,-1,0,0,3,-8,-0.8,5,-3,-0.4,.485,.495,-0.4,0.3,-3,$3000000,Free Agency,2/1HD,mailelu01
Noelvi Marte,22,66,242,-17,0,0,-8,1,-24,-2.6,8,-16,-1.8,.461,.484,-0.9,-0.8,-8,$740000,Traded,5D/H4,marteno01
