Name,Age,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,RA9extras,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWLpct,162WLpct,Salary,Acquired,Name-additional
Andrew Abbott*,25,138.0,25,25,60,3.91,4.47,-0.23,0.21,0.00,106.0,5.21,19,2.1,,-0.1,3.3,33,.586,.513,$742500,Amateur Draft,abbotan01
Julian Aguiar,23,31.2,7,7,22,6.25,4.41,-0.25,0.20,0.00,104.8,5.09,-4,-0.4,,0.0,-0.1,-1,.441,.497,,Amateur Draft,aguiaju01
Tejay Antone,30,2.0,4,0,2,9.00,6.59,-0.19,-0.44,2.80,104.7,9.57,0,0.0,.68,0.0,0.0,0,.503,.500,$830000,Amateur Draft,antonte01
Graham Ashcraft,26,77.1,15,15,50,5.82,4.69,-0.26,0.22,0.00,104.8,5.41,-4,-0.4,,-0.1,0.3,4,.474,.498,$750000,Amateur Draft,ashcrgr01
David Buchanan,35,3.1,1,0,1,2.70,4.57,-0.26,-0.31,0.00,112.0,5.06,1,0.1,.53,0.0,0.1,1,.596,.501,,Purchased,buchada01
Alan Busenitz,33,4.0,3,0,7,15.75,4.06,-0.35,-0.27,0.00,108.2,4.48,-5,-0.5,.21,0.2,-0.3,-5,.349,.497,,Free Agency,busenal01
Fernando Cruz,34,66.2,69,3,36,4.86,4.53,-0.16,-0.26,0.00,106.1,4.70,-1,-0.1,1.43,-0.2,0.3,5,.498,.499,$750000,Free Agency,cruzfe01
Alexis Díaz,27,56.1,60,0,31,4.95,4.63,-0.20,-0.31,0.40,104.1,5.13,1,0.1,1.51,-0.1,0.5,6,.502,.501,$760000,Amateur Draft,diazal03
Buck Farmer,33,71.0,61,1,25,3.17,4.56,-0.21,-0.29,0.08,106.6,4.85,13,1.4,.72,-0.4,1.7,20,.523,.509,$2250000,Free Agency,farmebu01
Ian Gibaut,30,2.0,2,0,1,4.50,4.78,-0.30,-0.32,0.00,97.0,4.62,0,0.0,1.18,0.0,0.0,0,.501,.500,$760000,Waivers,gibauia01
Hunter Greene,24,150.1,26,26,47,2.81,4.72,-0.19,0.22,0.00,105.5,5.40,43,5.0,,-0.1,6.3,57,.691,.531,$3333334,Amateur Draft,greenhu01
Jakob Junis,31,41.0,14,5,13,2.85,4.39,-0.22,0.01,0.00,106.4,4.91,9,1.0,.39,-0.2,1.2,13,.572,.506,,Traded,junisja01
Casey Kelly,34,5.1,2,0,3,5.06,4.01,-0.23,-0.27,0.00,107.7,4.28,0,0.0,.40,0.0,0.0,0,.475,.500,,Free Agency,kellyca01
Evan Kravetz*,27,0.2,1,0,0,0.00,3.94,-0.24,-0.26,0.00,112.0,4.40,0,0.0,.46,0.0,0.0,0,.535,.500,,Amateur Draft,kraveev01
Casey Legumina,27,9.1,6,0,11,10.61,4.33,-0.30,-0.29,0.00,110.7,4.81,-6,-0.6,.14,0.2,-0.3,-5,.404,.496,$740000,Traded,legumca01
Brandon Leibrandt*,31,6.1,2,0,7,9.95,4.17,-0.30,-0.28,0.00,112.0,4.70,-4,-0.3,.22,0.1,-0.2,-3,.335,.498,,Free Agency,leibrbr01
Nick Lodolo*,26,115.1,21,21,62,4.84,4.32,-0.21,0.20,0.00,105.7,4.99,2,0.2,,-0.1,1.2,13,.508,.501,$760000,Amateur Draft,lodolni01
Rhett Lowder,22,30.2,6,6,4,1.17,4.48,-0.23,0.21,0.00,106.3,5.22,14,1.6,,0.0,1.9,17,.773,.510,,Amateur Draft,lowderh01
Luke Maile,33,3.2,3,0,6,14.73,4.25,-0.38,-0.28,0.00,108.0,4.70,-4,-0.4,.00,0.2,-0.2,-4,.373,.498,$3000000,Free Agency,mailelu01
Nick Martinez,33,142.1,42,16,56,3.54,4.59,-0.23,0.06,0.00,106.2,5.19,26,2.8,1.06,-0.2,4.0,39,.567,.517,$14000000,Free Agency,martini01
Sam Moll*,32,37.2,48,0,16,3.82,4.62,-0.20,-0.31,0.15,107.8,5.03,5,0.5,1.16,-0.1,0.8,9,.511,.503,$760000,Traded,mollsa01
Frankie Montas,31,93.1,19,19,56,5.40,4.57,-0.24,0.19,0.00,104.5,5.23,-2,-0.2,,-0.1,0.6,7,.488,.499,$14000000,Free Agency,montafr02
Emilio Pagán,33,38.0,38,1,20,4.74,4.65,-0.21,-0.28,0.15,104.6,4.93,1,0.1,1.11,-0.1,0.4,4,.502,.500,$8000000,Free Agency,paganem01
Lyon Richardson,24,0.2,1,0,2,27.00,4.98,-0.34,-0.34,0.00,112.0,5.58,-2,-0.1,.43,0.0,-0.1,-2,.356,.499,$740000,Amateur Draft,richaly01
Tony Santillan,27,30.0,29,1,11,3.30,4.41,-0.17,-0.29,0.00,105.6,4.53,4,0.4,1.43,0.0,0.7,7,.515,.503,,Free Agency,santito01
Lucas Sims,30,35.1,43,0,14,3.57,4.60,-0.20,-0.31,0.00,104.8,4.71,4,0.5,1.48,0.0,0.8,8,.511,.503,$2850000,Traded,simslu01
Carson Spiers,26,90.2,22,10,59,5.86,4.54,-0.25,0.02,0.00,106.5,5.12,-8,-0.8,.74,-0.1,0.0,1,.465,.495,$740000,Free Agency,spierca01
Brent Suter*,34,65.2,47,3,25,3.43,4.49,-0.24,-0.29,0.09,107.2,4.86,10,1.1,.64,-0.4,1.4,17,.523,.507,$2500000,Free Agency,suterbr01
Brandon Williamson*,26,14.1,4,3,7,4.40,4.69,-0.21,0.22,0.00,102.4,5.24,1,0.1,.60,0.0,0.3,3,.535,.501,$742500,Traded,willibr02
Justin Wilson*,36,46.2,60,0,30,5.79,4.53,-0.23,-0.30,0.12,106.3,4.87,-5,-0.5,1.17,-0.2,-0.2,0,.492,.497,$1500000,Free Agency,wilsoju10
Alex Young*,30,2.0,3,0,0,0.00,4.32,-0.30,-0.29,0.00,110.0,4.77,1,0.1,.29,0.0,0.1,1,.538,.501,$1160000,Free Agency,youngal01
Yosver Zulueta,26,16.1,12,0,10,5.51,4.29,-0.19,-0.29,0.35,111.1,5.05,-1,-0.1,.16,0.0,0.1,1,.492,.499,,Waivers,zulueyo01
Team Total,28.8,1428.0,696,162,694,4.37,4.54,-0.22,0.00,0.04,105.9,5.09,108,12.7,1.08,-1.7,24.5,246,.518,.504,$61668334,,-9999
