Name,Age,Birth,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,,Name-additional
Andrew Abbott,25,us US,L,L,6' 0",192,Jun 1 1999,2,25,25,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,3.3,$742500,,abbotan01
Julian Aguiar,23,us US,L,R,6' 3",180,Jun 4 2001,1st,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,,aguiaju01
Tejay Antone,30,us US,R,R,6' 4",230,Dec 5 1993,4,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,$830000,,antonte01
Graham Ashcraft,26,us US,L,R,6' 2",248,Feb 11 1998,3,15,15,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.3,$750000,,ashcrgr01
Will Benson,26,us US,L,L,6' 5",230,Jun 16 1998,3,128,103,128,118,0,0,0,0,0,0,55,43,45,118,7,11,3,-1.4,$750000,,bensowi01
David Buchanan,35,us US,R,R,6' 3",200,May 11 1989,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,,buchada01
Alan Busenitz,33,us US,R,R,6' 1",180,Aug 22 1990,4,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,,,busenal01
Jeimer Candelario,30,us US,B,R,6' 2",222,Nov 24 1993,9,112,111,112,80,0,0,32,0,54,0,0,0,0,0,32,1,0,-0.7,$13000000,,candeje01
Conner Capel,27,us US,L,L,6' 0",185,May 19 1997,3,5,3,5,1,0,0,0,0,0,0,1,0,0,1,4,1,1,-0.1,$740000,,capelco01
Fernando Cruz,34,pr PR,B,R,6' 2",237,Mar 28 1990,3,69,3,1,69,69,0,0,0,0,0,0,0,0,0,0,0,0,0.3,$750000,,cruzfe01
Elly De La Cruz,22,do DO,B,R,6' 5",200,Jan 11 2002,2,160,159,160,160,0,0,0,0,0,160,0,0,0,0,0,1,0,5.2,$742500,All-Star,delacel01
Alexis Díaz,27,pr PR,R,R,6' 2",224,Sep 28 1996,3,60,0,1,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0.5,$760000,,diazal03
Blake Dunn,25,us US,R,R,5' 10",210,Sep 5 1998,1st,19,7,19,17,0,0,0,0,0,0,14,2,1,17,1,4,5,-0.2,$740000,,dunnbl01
Christian Encarnacion-Strand,24,us US,R,R,6' 0",224,Dec 1 1999,2,29,29,29,29,0,0,29,0,0,0,0,0,0,0,0,0,0,-1.0,$740000,,encarch01
