Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPSplus,rOBA,Rbatplus,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Travis d'Arnaud,35,C,1.1,99,341,307,40,73,16,0,15,48,1,0,24,89,.238,.302,.436,.739,103,.320,101,134,8,6,0,4,0,2H,,darnatr01
2,Matt Olson*,30,1B,4.0,162,685,600,78,148,37,1,29,98,0,0,71,170,.247,.333,.457,.790,118,.342,117,274,15,9,0,5,5,*3,,olsonma02
3,Ozzie Albies#,27,2B,1.6,99,435,399,52,100,29,1,10,53,8,1,27,65,.251,.303,.404,.707,95,.313,93,161,6,5,0,4,0,4,,albieoz01
4,Orlando Arcia,29,SS,0.6,157,602,551,50,120,24,0,17,46,2,0,41,128,.218,.271,.354,.625,73,.278,70,195,16,2,1,7,1,*6,,arciaor01
5,Austin Riley,27,3B,2.9,110,469,425,63,109,26,2,19,56,0,0,37,118,.256,.322,.461,.783,115,.343,117,196,6,5,0,2,0,*5,,rileyau01
6,Jarred Kelenic*,24,LF,0.4,131,449,412,49,95,18,2,15,45,7,2,32,133,.231,.286,.393,.679,87,.301,86,162,5,1,1,3,1,*78H/9,,kelenja01
7,Michael Harris II*,23,CF,3.1,110,470,440,58,116,14,3,16,48,10,6,23,94,.264,.304,.418,.722,99,.320,102,184,6,4,0,3,1,*8,,harrimi04
8,Ronald Acuña Jr.,26,RF,0.0,49,222,192,38,48,8,1,4,15,16,3,27,53,.250,.351,.365,.716,101,.343,110,70,4,3,0,0,0,9,,acunaro01
9,Marcell Ozuna,33,DH,4.3,162,688,606,96,183,31,0,39,104,1,0,74,170,.302,.378,.546,.925,154,.394,154,331,23,3,0,4,2,*D,AS,ozunama01
10,Adam Duvall,35,OF,-1.4,104,330,303,29,55,10,0,11,30,0,0,21,99,.182,.245,.323,.569,57,.262,59,98,6,5,0,1,0,79H/D,,duvalad01
11,Sean Murphy,29,C,1.3,72,264,233,19,45,5,1,10,25,0,0,27,67,.193,.284,.352,.636,76,.293,81,82,7,3,0,1,1,2/H,,murphse01
12,Ramón Laureano,29,OF,1.3,67,226,216,28,64,13,1,10,29,5,2,8,64,.296,.327,.505,.832,128,.370,136,109,4,2,0,0,0,97/H8,,laurera01
13,Jorge Soler,32,RF,0.1,49,182,152,27,37,11,0,9,24,0,0,24,44,.243,.356,.493,.849,134,.364,133,75,0,3,0,1,0,9/7H,,solerjo01
14,Whit Merrifield,35,2B,0.2,42,161,137,23,34,5,2,1,4,6,2,20,33,.248,.348,.336,.684,93,.323,101,46,5,1,3,0,0,4/H5,,merriwh01
15,Gio Urshela,32,3B,0.9,36,136,132,9,35,9,0,4,15,0,0,4,23,.265,.287,.424,.711,95,.304,89,56,1,0,0,0,0,5/6,,urshegi01
16,Eddie Rosario*,32,LF,-0.4,24,84,78,7,12,1,0,3,9,1,0,3,23,.154,.181,.282,.463,27,.202,13,22,0,0,1,2,0,7/H,,rosared01
17,Zack Short,29,IF,0.2,30,69,54,9,8,3,0,0,5,2,0,12,16,.148,.313,.204,.517,49,.276,63,11,0,1,2,0,0,56/H4D,,shortza01
18,Chadwick Tromp,29,C,0.2,19,54,52,3,13,6,0,0,6,0,0,1,17,.250,.259,.365,.625,72,.282,73,19,2,0,0,1,0,2,,trompch01
19,Luke Williams,27,UT,0.2,34,52,46,8,9,3,0,0,4,3,0,4,13,.196,.275,.261,.535,51,.277,59,12,1,1,1,0,0,H/45D716,,willilu01
20,Eli White,30,UT,0.3,35,42,39,9,11,1,1,1,4,3,1,1,12,.282,.333,.436,.769,113,.330,105,17,1,2,0,0,0,9H/78D4,,whiteel04
21,Forrest Wall*,28,LF,0.0,13,32,29,3,7,0,0,0,1,3,3,3,6,.241,.313,.241,.554,58,.222,49,7,0,0,0,0,0,7/9H,,wallfo01
22,Nacho Alvarez Jr.,21,IF,-0.5,8,32,30,1,3,0,0,0,0,0,0,0,10,.100,.156,.100,.256,-26,.129,-37,3,1,2,0,0,0,/45,,alvarna01
23,Luis Guillorme*,29,MI,-0.2,9,21,20,2,3,2,0,0,3,0,0,1,5,.150,.190,.250,.440,22,.189,6,5,1,0,0,0,0,/416H,,guilllu01
24,J.P. Martínez*,28,OF,0.0,7,10,10,2,2,1,0,0,0,1,0,0,4,.200,.200,.300,.500,37,.328,89,3,0,0,0,0,0,/H798D,,martijp01
25,David Fletcher,30,2B,0.0,5,9,8,0,2,0,0,0,2,0,0,0,1,.250,.222,.250,.472,32,.188,6,2,0,0,0,1,0,/4,,fletcda02
26,Cavan Biggio*,29,2B,-0.2,4,5,5,1,1,0,0,0,0,0,0,0,2,.200,.200,.200,.400,12,.179,-2,1,0,0,0,0,0,/4H,,biggica01
27,Brian Anderson,31,UT,-0.2,3,5,5,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,.000,-132,0,1,0,0,0,0,/95,,anderbr06
,Team Totals,,,19.8,162,6075,5481,704,1333,273,15,213,674,69,20,485,1461,.243,.309,.415,.724,100,.321,101,2275,119,58,9,39,11,,,-9999
