Name,Age,Yrs,Acquired,SrvTm,Agent,Contract-Status,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,Name-additional
Austin Riley,27,6,Amateur Draft,4.138,ALIGND Sports Age...,10 yrs/$212M (23-32) & 33 team option,$21M,$22M,$22M,$22M,$22M,$22M,$22M,$22M,$22M,$0 [FA-*],rileyau01
Matt Olson,30,9,Traded,6.103,Wasserman,8 yrs/$168M (22-29) & 30 team option,$22M,$22M,$22M,$22M,$22M,$22M,$0 [FA-*],FA,,,olsonma02
Ronald Acuña Jr.,26,7,Amateur Free Agent,5.159,Rep 1 Baseball,8 yrs/$100M (19-26) & 27-28 team option,$17M,$17M,$17M,$10M [FA-*],$0 [FA-*],FA,,,,,acunaro01
Spencer Strider,25,4,Amateur Draft,2.003,Frontline,6 yrs/$75M (23-28) & 29 team option,$1M,$4M,$20M,$22M,$22M,$5M [FA-*],FA,,,,stridsp01
Sean Murphy,29,6,Traded,4.029,Rowley Sports Man...,6 yrs/$73M (23-28) & 29 team option,$9M,$15M,$15M,$15M,$15M,$0 [FA-*],FA,,,,murphse01
Michael Harris II,23,3,Amateur Draft,2.000,,8 yrs/$72M (23-30) & 31-32 team option,$5M,$8M,$8M,$9M,$10M,$10M,$12M,$5M [FA-*],$0 [FA-*],FA,harrimi04
Marcell Ozuna,33,12,Free Agency,10.124,CAA Sports,4 yrs/$65M (21-24) & 25 team option,$18M,$1M [FA-*],FA,,,,,,,,ozunama01
Raisel Iglesias,34,10,Traded,8.154,Magnus Sports,4 yrs/$58M (22-25),$16M,$16M,FA,,,,,,,,iglesra01
Jorge Soler,32,11,Traded,8.143,MVP Sports Group,3 yrs/$42M (24-26),$10M,$16M,$16M,FA,,,,,,,solerjo01
Charlie Morton,40,17,Free Agency,15.010,Wasserman,2 yrs/$40M (23-24),$20M,FA,,,,,,,,,mortoch02
Chris Sale,35,14,Traded,13.061,Wasserman,2 yrs/$38M (24-25) & 26 team option,$16M,$22M,$0 [FA-*],FA,,,,,,,salech01
Ozzie Albies,27,8,Amateur Free Agent,6.062,SportsMeter,7 yrs/$35M (19-25) & 26-27 team option,$7M,$7M,$4M [FA-*],$0 [FA-*],FA,,,,,,albieoz01
Reynaldo López,30,9,Free Agency,6.004,CAA Sports,3 yrs/$30M (24-26) & 27 team option,$4M,$11M,$11M,$4M [FA-*],FA,,,,,,lopezre01
Joe Jiménez,29,8,Traded,6.061,ISE Baseball,3 yrs/$26M (24-26),$8M,$9M,$9M,FA,,,,,,,jimenjo02
David Fletcher,30,7,Traded,4.168,Ballengee Group,5 yrs/$26M (21-25) & 26-27 team option,$6M,$6.5M,$1.5M [FA-*],$0 [FA-*],FA,,,,,,fletcda02
Aaron Bummer,30,8,Traded,5.150,O'Connell Sports ...,5 yrs/$16M (20-24) & 25-26 team option,$5.5M,$1.25M [FA-*],$0 [FA-*],FA,,,,,,,bummeaa01
Max Fried,30,8,Traded,5.148,CAA Sports,1 yr/$15M (24),$15M,FA,,,,,,,,,friedma01
Pierce Johnson,33,7,Traded,4.137,John Boggs & Asso...,2 yrs/$14.25M (24-25) & 26 team option,$7M,$7M,$250k [FA-*],FA,,,,,,,johnspi01
Luke Jackson,32,9,Traded,7.019,Beverly Hills Spo...,2 yrs/$11.5M (23-24) & 25 team option,$6.5M,$2M [FA-*],FA,,,,,,,,jackslu01
John Brebbia,34,7,Free Agency,6.078,Icon Sports Manag...,1 yr/$5.5M (24) & 25 team option,$4M,$1.5M [FA-*],FA,,,,,,,,brebbjo01
Cavan Biggio,29,6,Traded,4.129,Excel Sports Mana...,1 yr/$4.21M (24),$4.21M,Arb,FA,,,,,,,,biggica01
Travis d'Arnaud,35,12,Free Agency,10.044,Wasserman,1 yr/$8M (24) & 25 team option,$8M,$0 [FA-*],FA,,,,,,,,darnatr01
Whit Merrifield,35,9,Free Agency,7.101,Warner Sports Man...,1 yr/$8M (24) & 25 team option,$7M,$1M [FA-*],FA,,,,,,,,merriwh01
Orlando Arcia,29,9,Traded,6.114,MVP Sports Group,3 yrs/$7.3M (23-25) & 26 team option,$2M,$2M,$1M [FA-*],FA,,,,,,,arciaor01
A.J. Minter,30,8,Amateur Draft,5.154,Excel Sports Mana...,1 yr/$6.22M (24),$6.22M,FA,,,,,,,,,minteaj01
Ramón Laureano,29,7,Free Agency,4.165,Octagon,1 yr/$5.15M (24),$5.15M,Arb,FA,,,,,,,,laurera01
Harold Ramírez,29,6,,4.124,MVP Sports Group,1 yr/$3.8M (24),$3.8M,Arb,FA,,,,,,,,ramirha02
Tyler Matzek,33,6,Free Agency,5.019,PSI Sports Manage...,2 yrs/$3.1M (23-24) & 25 team option,$1.9M,$0 [FA-*],FA,,,,,,,,matzety01
Adam Duvall,35,11,Free Agency,7.151,CAA Sports,1 yr/$3M (24),$3M,FA,,,,,,,,,duvalad01
