Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fldpct,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,PB,WP,SB,CS,CSpct,lgCSpct,PO,Pos-Summary,Name-additional
Ronald Acuña Jr.,26,49,49,47,428,102,98,2,2,0,0.98,-4,-10,-7,-20,0,2.1,2.08,,,,,,,,RF,acunaro01
Ozzie Albies,27,99,99,98,875.2,395,153,239,3,57,0.992,1,1,1,1,1,4.03,3.96,,,,,,,,2B,albieoz01
Nacho Alvarez Jr.,21,8,8,8,70.2,21,8,13,0,3,1,0,-3,-1,-17,0,2.67,2.63,,,,,,,,2B-3B,alvarna01
Brian Anderson,31,3,2,0,14,3,3,0,0,0,1,1,57,0,0,0,1.93,1,,,,,,,,RF-3B,anderbr06
Orlando Arcia,29,157,156,150,1381.1,572,168,393,11,87,0.981,-3,-3,-1,-1,2,3.66,3.57,,,,,,,,SS,arciaor01
Cavan Biggio,29,4,1,1,13,7,3,4,0,2,1,-1,-120,-1,-92,0,4.85,1.75,,,,,,,,2B,biggica01
John Brebbia,34,5,0,0,6.2,1,0,1,0,0,1,,,0,0,0,1.35,0.2,,,0,0,,,0,P,brebbjo01
Aaron Bummer,30,56,0,0,55.1,12,1,10,1,0,0.917,,,-4,-14,0,1.79,0.2,,,13,5,0.28,0.20,3,P,bummeaa01
Jesse Chavez,40,46,0,0,63.1,11,2,8,1,0,0.909,,,0,0,0,1.42,0.22,,,8,0,0.00,0.20,0,P,chaveje01
Travis d'Arnaud,35,89,79,74,706.2,744,716,25,3,3,0.996,3,5,-6,-10,1,9.44,8.33,2,18,55,13,0.19,0.20,0,C,darnatr01
Dylan Dodd,26,1,0,0,2,0,0,0,0,0,,,,0,0,,0,0,,,0,1,1.00,0.20,0,P,dodddy01
Parker Dunshee,29,1,0,0,2.1,0,0,0,0,0,,,,0,0,,0,0,,,0,0,,,0,P,dunshpa01
Adam Duvall,35,91,74,68,685,157,151,4,2,0,0.987,-6,-10,-3,-5,-1,2.04,1.57,,,,,,,,RF-LF-DH,duvalad01
Bryce Elder,25,10,10,0,49.2,9,6,3,0,2,1,,,-2,-8,0,1.63,0.9,,,9,1,0.10,0.20,0,P,elderbr01
David Fletcher,30,5,3,1,28,20,6,14,0,4,1,1,57,1,43,0,6.43,4,,,,,,,,2B,fletcda02
Max Fried,30,29,29,2,174.1,27,10,17,0,0,1,,,0,0,-1,1.39,0.93,,,13,2,0.13,0.20,2,P,friedma01
Luis Guillorme,29,9,6,3,54,24,7,17,0,3,1,2,48,0,0,0,4,2.67,,,0,0,,,0,2B-SS-P,guilllu01
Michael Harris II,23,110,109,106,960.2,235,232,1,2,0,0.991,5,6,11,14,1,2.18,2.12,,,,,,,,CF,harrimi04
Jimmy Herget,30,8,0,0,12.1,1,0,0,1,0,0,,,-1,-16,0,0,0,,,2,0,0.00,0.21,0,P,hergeji01
Daysbel Hernández,27,16,0,0,18,2,1,1,0,0,1,,,0,0,0,1,0.13,,,1,0,0.00,0.20,0,P,hernada03
Grant Holmes,28,26,7,0,68.1,9,3,6,0,1,1,,,-1,-3,0,1.19,0.35,,,7,0,0.00,0.20,0,P,holmegr01
Raisel Iglesias,34,66,0,0,69.1,15,4,11,0,1,1,,,2,6,0,1.95,0.23,,,2,0,0.00,0.21,0,P,iglesra01
Luke Jackson,32,16,0,0,18,1,1,0,0,0,1,,,-1,-11,0,0.5,0.06,,,1,0,0.00,0.20,0,P,jackslu01
Joe Jiménez,29,69,0,0,68.2,6,2,3,1,0,0.833,,,0,0,0,0.66,0.07,,,4,0,0.00,0.20,0,P,jimenjo02
