Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,number,Thr,Opp-Starter-GmeSc
1,1,Mar 29,@,PHI,W9-3,45,40,9,13,6,0,0,8,5,0,10,0,0,0,1,0,1,1,.325,.400,.475,.875,9,11,R,Z.Wheeler(67)
2,2,Mar 30,@,PHI,W12-4,45,42,12,18,4,0,4,12,3,0,5,0,0,0,1,3,1,0,.378,.433,.646,1.080,6,9,R,A.Nola(17)
3,3,Mar 31,@,PHI,L4-5,34,33,4,7,2,0,1,4,1,0,14,0,0,0,0,0,0,0,.330,.379,.565,.944,3,11,L,R.Suárez(55)
4,4,Apr 1,@,CHW,W9-0,40,35,9,11,5,0,1,8,5,0,4,0,0,0,0,0,0,0,.327,.384,.560,.944,7,9,R,C.Flexen(33)
5,5,Apr 2,@,CHW,L2-3,36,31,2,5,0,0,2,2,5,0,9,0,0,0,0,1,0,0,.298,.365,.525,.890,7,11,L,G.Crochet(74)
6,6,Apr 5,,ARI,W6-5,45,41,6,12,5,0,1,6,3,0,8,1,0,0,1,0,0,0,.297,.363,.518,.881,13,11,L,T.Henry(50)
7,7,Apr 6,,ARI,W9-8,42,40,9,15,4,1,1,9,2,0,10,0,0,0,1,0,0,0,.309,.369,.531,.900,9,9,R,B.Pfaadt(39)
8,8,Apr 7,,ARI,W5-2,32,31,5,7,1,0,3,5,0,0,10,0,0,1,1,0,0,0,.300,.354,.532,.887,3,9,R,R.Nelson(52)
9,9,Apr 8,,NYM,L7-8,44,37,7,12,3,0,1,7,7,0,12,0,0,0,0,1,1,0,.303,.364,.527,.891,10,9,R,J.Teheran(31)
10,10,Apr 9,,NYM,W6-5,37,33,6,11,1,0,0,6,2,0,5,2,0,0,0,1,3,0,.306,.368,.512,.880,7,9,R,A.Houser(30)
11,11,Apr 11,,NYM,L4-16,40,37,4,10,2,1,0,3,3,0,7,0,0,0,0,0,0,0,.303,.364,.500,.864,9,10,L,J.Quintana(48)
12,12,Apr 12,@,MIA,W8-1,44,39,8,14,5,0,1,8,4,0,7,1,0,0,0,2,2,0,.308,.370,.506,.876,9,9,L,T.Rogers(47)
13,13,Apr 13,@,MIA,L1-5,33,32,1,6,2,1,0,1,0,0,10,1,0,0,1,2,0,0,.299,.360,.493,.852,5,9,R,M.Meyer(63)
14,14,Apr 14,@,MIA,W9-7,42,37,9,12,2,0,2,8,3,0,10,1,0,1,0,1,2,0,.301,.361,.496,.857,6,10,L,J.Luzardo(36)
15,15,Apr 15,@,HOU,W6-1,43,37,6,11,3,0,0,5,5,0,10,1,0,0,0,1,0,0,.301,.364,.488,.852,10,11,R,S.Arrighetti(49)
16,16,Apr 16,@,HOU,W6-2,40,34,6,11,4,0,1,6,4,0,5,1,0,1,0,1,1,2,.302,.366,.491,.857,7,9,R,H.Brown(54)
17,17,Apr 17,@,HOU,W5-4,43,39,5,7,2,0,2,5,3,1,13,0,0,1,2,0,0,0,.294,.358,.484,.841,9,11,R,J.France(54)
18,18,Apr 19,,TEX,W8-3,35,30,8,6,0,0,4,8,5,0,7,0,0,0,0,0,0,0,.290,.356,.489,.845,3,9,L,A.Heaney(52)
19,19,Apr 20,,TEX,W5-2,39,29,5,8,1,0,1,5,7,0,10,2,0,1,0,1,2,0,.290,.360,.486,.846,10,9,R,N.Eovaldi(46)
20,20,Apr 21,,TEX,L4-6,36,33,4,5,0,0,1,4,3,0,9,0,0,0,1,0,0,0,.283,.353,.475,.828,5,11,R,M.Lorenzen(58)
21,21,Apr 22,,MIA,W3-0,37,32,3,8,1,0,1,3,5,0,4,0,0,0,0,0,3,0,.282,.353,.470,.824,10,11,L,R.Weathers(43)
22,22,Apr 23,,MIA,W5-0,38,33,5,10,3,0,1,5,2,0,6,1,0,2,0,0,1,0,.283,.353,.471,.824,9,11,L,T.Rogers(42)
23,23,Apr 24,,MIA,W4-3,38,33,4,10,3,0,0,3,4,0,10,1,0,0,0,3,1,1,.283,.355,.468,.822,8,13,R,S.Sánchez(38)
24,24,Apr 26,,CLE,W6-2,37,31,6,8,3,0,1,6,4,0,9,2,0,0,0,1,0,0,.282,.356,.467,.823,7,9,L,L.Allen(41)
