Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,number,Umpire,Pitchers-Used-Rest-GameScore-Dec
1,1,Mar 29,@,PHI,W9-3,9.0,5,3,3,0,3,15,1,0,3.00,35,144,96,0,0,2,0,32,0,0,0,0,0,0,0,5,Mark Wegner,S.Strider (99-59) J.Jiménez (99) P.Johnson (99-W) A.Minter (99) A.Bummer (99)
2,2,Mar 30,@,PHI,W12-4,9.0,8,4,4,0,5,4,1,0,3.50,37,139,86,3,0,2,0,32,1,0,0,0,0,0,2,6,Bruce Dreckman,M.Fried (99-34) J.Chavez (99-W) T.Matzek (99-H) P.Johnson (0) D.Lee (99) R.Iglesias (99)
3,3,Mar 31,@,PHI,L4-5,8.0,9,5,5,0,3,9,1,1,4.15,35,126,85,2,1,1,0,31,0,0,0,0,0,0,1,4,Jeremie Rehak,C.Sale (99-55) J.Jiménez (1-H) A.Bummer (1-BL) A.Minter (1)
4,4,Apr 1,@,CHW,W9-0,8.0,3,0,0,0,3,11,0,1,3.18,30,129,82,0,0,0,1,26,1,0,0,0,0,0,0,3,Erich Bacchus,C.Morton (99-67-W) D.Lee (1) T.Matzek (1)
5,5,Apr 2,@,CHW,L2-3,8.0,7,3,3,0,3,7,1,0,3.21,33,119,73,0,0,0,0,30,1,0,0,0,0,0,1,3,Tom Hanahan,R.López (99-63) A.Minter (1-L) P.Johnson (2)
6,6,Apr 5,,ARI,W6-5,10.0,9,5,5,0,6,8,1,0,3.46,45,171,112,0,0,0,0,39,2,0,0,0,0,0,0,6,Alex MacKay,S.Strider (6-29) J.Chavez (5) J.Jiménez (4) A.Bummer (4) R.Iglesias (5) P.Johnson (2-W)
7,7,Apr 6,,ARI,W9-8,9.0,12,8,7,1,2,6,1,1,3.98,43,163,115,2,1,0,0,39,2,0,1,1,0,0,0,4,Mark Ripperger,M.Fried (6-17) D.Lee (4) A.Minter (3-W) R.Iglesias (0-Sv)
8,8,Apr 7,,ARI,W5-2,9.0,5,2,2,0,1,8,0,0,3.73,33,148,106,0,0,0,0,31,0,0,0,1,0,0,0,4,Adam Hamari,C.Sale (6-58-W) J.Jiménez (1-H) T.Matzek (5-H) P.Johnson (1-Sv)
9,9,Apr 8,,NYM,L7-8,9.0,11,8,8,0,7,8,3,0,4.22,42,177,113,3,1,0,1,35,0,0,0,0,0,0,2,5,Junior Valentine,C.Morton (6-42) A.Bummer (2) A.Minter (1-BSv) P.Johnson (0-L) J.Chavez (2)
10,10,Apr 9,,NYM,W6-5,9.0,12,5,5,0,3,8,1,0,4.30,40,164,107,1,0,0,0,37,2,0,0,0,0,1,2,5,Carlos Torres,R.López (6-69-W) A.Bummer (0) T.Matzek (1) J.Jiménez (1-H) R.Iglesias (2-Sv)
11,11,Apr 11,,NYM,L4-16,9.0,16,16,12,4,4,3,2,0,5.01,48,158,97,0,0,1,0,44,3,1,0,0,0,2,1,4,Charlie Ramos,A.Winans (99-24-L) D.Lee (4) T.Matzek (1) L.Guillorme (99)
12,12,Apr 12,@,MIA,W8-1,9.0,6,1,1,0,1,7,0,1,4.67,34,124,78,2,1,0,0,32,0,0,0,0,0,0,1,4,Brennan Miller,M.Fried (5-64-W) P.Johnson (3) A.Minter (3) A.Bummer (2)
13,13,Apr 13,@,MIA,L1-5,8.0,8,5,5,0,3,7,1,0,4.74,34,122,82,0,0,0,0,31,1,0,0,0,0,0,1,2,Brian O'Nora,C.Sale (5-49-L) J.Chavez (4)
14,14,Apr 14,@,MIA,W9-7,9.0,9,7,7,0,2,14,2,0,4.90,37,131,91,1,1,0,0,35,3,0,0,0,0,0,1,5,Paul Clemons,C.Morton (5-38) D.Lee (2) J.Jiménez (4) A.Minter (1-W) R.Iglesias (4-Sv)
15,15,Apr 15,@,HOU,W6-1,9.0,7,1,1,0,4,7,0,0,4.64,36,157,99,4,0,2,1,32,0,0,0,0,0,0,1,5,Tony Randazzo,D.Vines (99-53) A.Bummer (2-W) P.Johnson (2-H) A.Minter (0-H) J.Chavez (1)
16,16,Apr 16,@,HOU,W6-2,9.0,7,2,2,0,2,10,1,0,4.47,36,148,95,2,0,0,0,34,3,0,0,0,0,0,0,5,Alex Tosi,R.López (6-70-W) T.Matzek (4-H) J.Jiménez (1-H) A.Bummer (0) R.Iglesias (1-Sv)
17,17,Apr 17,@,HOU,W5-4,10.0,9,4,4,0,6,7,2,0,4.41,42,174,101,0,0,1,0,36,1,0,0,0,0,0,3,6,Dan Bellino,M.Fried (4-39) J.Chavez (1) P.Johnson (1) J.Jiménez (0) A.Minter (1-W) R.Iglesias (0-Sv)
18,18,Apr 19,,TEX,W8-3,9.0,6,3,3,0,1,9,1,0,4.33,34,118,89,0,0,0,0,33,1,0,0,0,0,0,0,3,Adam Beck,C.Sale (5-61-W) T.Matzek (2) P.Johnson (1)
19,19,Apr 20,,TEX,W5-2,9.0,5,2,2,0,2,9,0,0,4.21,34,132,81,0,0,1,0,32,1,0,0,0,0,0,0,4,Dan Iassogna,C.Morton (5-58-W) J.Jiménez (2-H) A.Minter (2-H) R.Iglesias (2-Sv)
20,20,Apr 21,,TEX,L4-6,9.0,11,6,6,0,1,7,3,0,4.30,37,135,88,1,0,0,2,36,1,0,0,0,0,0,0,4,Brock Ballou,D.Vines (5-39-L) D.Lee (6) T.Matzek (1) A.Bummer (4)
21,21,Apr 22,,MIA,W3-0,9.0,8,0,0,0,0,7,0,1,4.09,33,109,70,1,0,0,0,32,1,0,0,0,0,0,2,4,James Hoye,B.Elder (99-62-W) P.Johnson (2-H) A.Minter (1-H) R.Iglesias (1-Sv)
22,22,Apr 23,,MIA,W5-0,9.0,3,0,0,0,0,6,0,0,3.90,29,92,69,,,0,0,29,0,0,0,0,0,1,2,1,Rob Drake,M.Fried (5-87-W)
23,23,Apr 24,,MIA,W4-3,10.0,7,3,2,1,3,9,1,0,3.80,39,132,89,0,0,1,0,36,1,0,0,0,0,1,2,4,Jonathan Parra,R.López (7-71) J.Jiménez (3-H) R.Iglesias (1-BSv) A.Minter (1-W)
24,24,Apr 26,,CLE,W6-2,9.0,5,2,2,0,1,9,1,0,3.73,34,139,100,2,1,2,0,33,1,0,0,0,0,1,0,4,Chris Guccione,C.Sale (6-74-W) P.Johnson (3) T.Matzek (4) A.Minter (1)
