Rk,Pos,Name,Age,W,L,W-Lpct,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERAplus,FIP,WHIP,H9,HR9,BB9,SO9,SO-W,Name-additional
1,SP,Chris Sale*,35,18,3,.857,2.38,29,29,0,0,0,0,177.2,141,48,47,9,39,0,225,8,1,4,702,174,2.09,1.013,7.1,0.5,2.0,11.4,5.77,salech01
2,SP,Max Fried*,30,11,10,.524,3.25,29,29,0,2,1,0,174.1,146,71,63,13,57,0,166,7,0,6,714,128,3.33,1.164,7.5,0.7,2.9,8.6,2.91,friedma01
3,SP,Charlie Morton,40,8,10,.444,4.19,30,30,0,0,0,0,165.1,154,85,77,23,65,1,167,18,1,2,701,99,4.46,1.325,8.4,1.3,3.5,9.1,2.57,mortoch02
4,SP,Reynaldo López,30,8,5,.615,1.99,26,25,0,0,0,0,135.2,108,32,30,10,42,0,148,2,1,2,543,208,2.92,1.106,7.2,0.7,2.8,9.8,3.52,lopezre01
5,SP,Spencer Schwellenbach,24,8,7,.533,3.35,21,21,0,0,0,0,123.2,106,49,46,14,23,1,127,6,0,3,500,124,3.29,1.043,7.7,1.0,1.7,9.2,5.52,schwesp01
6,CL,Raisel Iglesias,34,6,2,.750,1.95,66,0,52,0,0,34,69.1,38,19,15,4,13,3,68,3,0,1,259,214,2.65,0.736,4.9,0.5,1.7,8.8,5.23,iglesra01
7,RP,Joe Jiménez,29,1,5,.167,2.62,69,0,7,0,0,3,68.2,45,22,20,2,23,1,82,4,0,0,277,159,2.34,0.990,5.9,0.3,3.0,10.7,3.57,jimenjo02
8,RP,Dylan Lee*,29,4,2,.667,2.11,52,0,8,0,0,0,59.2,49,19,14,7,17,4,76,0,0,0,240,197,3.00,1.106,7.4,1.1,2.6,11.5,4.47,leedy01
9,RP,Pierce Johnson,33,6,6,.500,3.67,58,0,12,0,0,2,56.1,48,25,23,6,25,1,67,2,0,2,236,113,3.61,1.296,7.7,1.0,4.0,10.7,2.68,johnspi01
10,RP,Aaron Bummer*,30,4,3,.571,3.58,56,0,13,0,0,0,55.1,61,24,22,2,18,2,69,2,0,2,244,116,2.23,1.428,9.9,0.3,2.9,11.2,3.83,bummeaa01
11,,Grant Holmes,28,2,1,.667,3.56,26,7,7,0,0,0,68.1,66,27,27,7,15,2,70,2,0,2,282,117,3.20,1.185,8.7,0.9,2.0,9.2,4.67,holmegr01
12,,Jesse Chavez,40,2,2,.500,3.13,46,0,16,0,0,0,63.1,60,27,22,10,19,1,55,1,1,0,264,133,4.43,1.247,8.5,1.4,2.7,7.8,2.89,chaveje01
13,,Bryce Elder,25,2,5,.286,6.52,10,10,0,0,0,0,49.2,64,37,36,8,17,0,46,2,0,3,226,64,4.56,1.631,11.6,1.4,3.1,8.3,2.71,elderbr01
14,,A.J. Minter*,30,5,4,.556,2.62,39,0,10,0,0,1,34.1,24,10,10,6,11,1,35,1,0,0,134,160,4.45,1.019,6.3,1.6,2.9,9.2,3.18,minteaj01
15,,Ray Kerr*,29,1,2,.333,5.64,10,2,3,0,0,0,22.1,29,14,14,4,7,0,27,3,0,2,103,75,4.42,1.612,11.7,1.6,2.8,10.9,3.86,kerrra01
16,,Luke Jackson,32,0,1,.000,4.50,16,0,7,0,0,0,18.0,17,11,9,2,11,0,26,1,0,2,84,94,3.72,1.556,8.5,1.0,5.5,13.0,2.36,jackslu01
17,,Daysbel Hernández,27,3,0,1.000,2.50,16,0,6,0,0,0,18.0,10,6,5,0,10,1,26,1,0,1,74,169,2.11,1.111,5.0,0.0,5.0,13.0,2.60,hernada03
18,,Darius Vines,26,0,1,.000,8.56,4,2,1,0,0,0,13.2,21,14,13,4,4,0,9,1,0,0,66,50,6.75,1.829,13.8,2.6,2.6,5.9,2.25,vinesda01
19,,Jimmy Herget,30,0,1,.000,4.38,8,0,7,0,0,0,12.1,13,6,6,2,3,0,15,0,0,0,52,97,3.57,1.297,9.5,1.5,2.2,10.9,5.00,hergeji01
20,,Tyler Matzek*,33,0,0,,9.90,11,0,1,0,0,0,10.0,16,11,11,3,3,0,10,0,0,2,48,43,5.97,1.900,14.4,2.7,2.7,9.0,3.33,matzety01
21,,Spencer Strider,25,0,0,,7.00,2,2,0,0,0,0,9.0,10,7,7,2,5,0,12,0,0,0,42,62,5.06,1.667,10.0,2.0,5.0,12.0,2.40,stridsp01
22,,Allan Winans,28,0,2,.000,15.26,2,2,0,0,0,0,7.2,14,14,13,3,4,0,4,0,0,0,41,28,8.78,2.348,16.4,3.5,4.7,4.7,1.00,winanal01
23,,Hurston Waldrep,22,0,1,.000,16.71,2,2,0,0,0,0,7.0,9,13,13,3,8,0,3,1,0,0,36,26,11.74,2.429,11.6,3.9,10.3,3.9,0.38,waldrhu01
24,,John Brebbia,34,0,0,,2.70,5,0,2,0,0,0,6.2,4,2,2,2,2,0,9,0,0,0,26,162,5.27,0.900,5.4,2.7,2.7,12.2,4.50,brebbjo01
25,,AJ Smith-Shawver,21,0,0,,0.00,1,1,0,0,0,0,4.1,3,0,0,0,2,0,4,0,0,0,18,,2.71,1.154,6.2,0.0,4.2,8.3,2.00,smithaj01
26,,Luke Williams,27,0,0,,4.50,3,0,3,0,0,0,4.0,5,2,2,0,1,0,0,1,0,0,19,100,4.67,1.500,11.3,0.0,2.3,0.0,0.00,willilu01
27,,Jackson Stephens,30,0,0,,2.70,3,0,3,0,0,0,3.1,5,1,1,1,1,0,2,1,0,0,17,170,7.67,1.800,13.5,2.7,2.7,5.4,2.00,stephja01
28,,Parker Dunshee,29,0,0,,19.29,1,0,0,0,0,0,2.1,4,5,5,2,2,0,3,1,0,0,14,25,15.60,2.571,15.4,7.7,7.7,11.6,1.50,dunshpa01
29,,Dylan Dodd*,26,0,0,,9.00,1,0,1,0,0,0,2.0,4,2,2,0,1,0,2,0,0,0,9,55,2.67,2.500,18.0,0.0,4.5,9.0,2.00,dodddy01
30,,Luis Guillorme,29,0,0,,36.00,1,0,1,0,0,0,1.0,3,4,4,1,1,0,0,0,0,0,7,16,19.17,4.000,27.0,9.0,9.0,0.0,0.00,guilllu01
,,Team Totals,31.5,89,73,.549,3.49,162,162,160,2,1,40,1443.1,1277,607,559,150,449,18,1553,68,4,34,5978,120,3.44,1.196,8.0,0.9,2.8,9.7,3.46,-9999
,,Rank in 15 NL teams,,5,9,,1,,,,2,1,6,4,3,1,1,1,2,,1,,,,,,,,,,,,,-9999
