Name,Age,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWLpct,162WLpct,oWAR,dWAR,oRAR,Salary,Acquired,Pos-Summary,Name-additional
Ronald Acuña Jr.,26,49,222,3,0,-1,-7,-1,-6,-0.6,7,1,0.0,.487,.496,0.7,-0.9,8,$17000000,Amateur Free Agent,9,acunaro01
Ozzie Albies#,27,99,435,-3,1,1,1,3,3,0.3,14,17,1.6,.503,.502,1.5,0.5,16,$7000000,Amateur Free Agent,4,albieoz01
Nacho Alvarez Jr.,21,8,32,-5,0,0,-1,0,-6,-0.6,1,-5,-0.5,.420,.496,-0.4,-0.1,-4,,Amateur Draft,/45,alvarna01
Brian Anderson,31,3,5,-1,0,0,0,0,-2,-0.2,0,-1,-0.2,.442,.499,-0.2,0.0,-1,,Free Agency,/95,anderbr06
Orlando Arcia,29,157,602,-21,-1,0,-1,9,-14,-1.5,21,7,0.5,.491,.491,0.6,0.9,8,$2000000,Traded,*6,arciaor01
Cavan Biggio*,29,4,5,-1,0,0,-1,0,-2,-0.2,0,-2,-0.2,.458,.499,-0.1,-0.1,0,,Traded,/4H,biggica01
Travis d'Arnaud,35,99,341,0,0,-1,-5,6,0,0.0,12,11,1.1,.500,.500,1.6,0.1,16,$8000000,Free Agency,2H,darnatr01
Adam Duvall,35,104,330,-15,-1,0,-3,-4,-23,-2.4,11,-12,-1.4,.477,.485,-1.1,-0.7,-9,$3000000,Free Agency,79H/D,duvalad01
David Fletcher,30,5,9,-1,0,0,1,0,0,0.0,0,0,0.0,.502,.500,-0.1,0.1,-1,$6000000,Traded,/4,fletcda02
Luis Guillorme*,29,9,21,-2,0,0,0,0,-2,-0.2,1,-1,-0.2,.476,.499,-0.2,0.0,-1,$1100000,Free Agency,/41H6,guilllu01
Michael Harris II*,23,110,470,1,-1,2,11,3,16,1.7,16,32,3.2,.515,.510,2.0,1.5,21,$5000000,Amateur Draft,*8,harrimi04
Jarred Kelenic*,24,131,449,-7,0,1,-3,-1,-10,-1.0,15,6,0.4,.492,.494,0.7,-0.4,9,$760000,Traded,*78H/9,kelenja01
Ramón Laureano,29,67,226,9,-2,0,0,-2,5,0.5,8,13,1.3,.508,.503,1.3,-0.2,13,,Free Agency,97/H8,laurera01
J.P. Martínez*,28,7,10,0,0,0,0,0,0,0.0,0,0,0.0,.498,.500,0.0,0.0,0,$740000,Traded,/H798D,martijp01
Whit Merrifield,35,42,161,0,1,-1,-5,1,-3,-0.3,6,2,0.2,.492,.498,0.7,-0.4,7,,Free Agency,4/H5,merriwh01
Sean Murphy,29,72,264,-6,0,0,5,5,4,0.4,9,13,1.3,.506,.502,0.7,1.0,8,$9000000,Traded,2/H,murphse01
Matt Olson*,30,162,685,13,-2,-1,13,-8,16,1.6,23,39,3.8,.510,.510,2.5,0.5,26,$22000000,Traded,*3,olsonma02
Marcell Ozuna,33,162,688,43,-2,-4,0,-16,20,2.1,23,44,4.3,.513,.513,4.3,-1.7,44,$18000000,Free Agency,*D,ozunama01
Austin Riley,27,110,469,9,0,1,0,3,13,1.4,16,29,2.9,.513,.508,2.9,0.3,29,$21000000,Amateur Draft,*5,rileyau01
Eddie Rosario*,32,24,84,-8,1,1,1,-1,-6,-0.7,3,-4,-0.4,.471,.496,-0.5,0.0,-5,,Free Agency,7/H,rosared01
Zack Short,29,30,69,-3,1,0,1,1,0,0.0,2,2,0.2,.499,.500,0.1,0.2,1,$747300,Purchased,56/H4D,shortza01
Jorge Soler,32,49,182,7,-1,0,-10,-1,-5,-0.5,6,1,0.1,.490,.497,1.1,-1.2,11,,Traded,9/7H,solerjo01
Chadwick Tromp,29,19,54,-2,0,0,1,1,0,0.0,2,2,0.2,.500,.500,0.1,0.2,1,$740000,Waivers,2,trompch01
Gio Urshela,32,36,136,-2,0,1,5,1,5,0.6,5,10,1.0,.516,.503,0.5,0.6,5,,Free Agency,5/6,urshegi01
Forrest Wall*,28,13,32,-2,-1,0,2,0,-1,-0.1,1,0,0.0,.493,.499,-0.2,0.2,-2,$750000,Free Agency,7/H9,wallfo01
Eli White,30,35,42,0,0,0,2,-1,1,0.1,1,3,0.3,.504,.501,0.1,0.1,1,,Purchased,9H/78D4,whiteel04
Luke Williams,27,34,52,-2,0,0,3,0,1,0.1,2,2,0.2,.502,.500,-0.1,0.3,-1,$740000,Waivers,H/45D716,willilu01
Team Total,29.3,1640,6075,4,-6,-2,10,-2,4,0.3,206,211,19.8,.500,.501,18.8,0.9,200,$123577300,,,-9999
