Name,Age,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,RA9extras,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWLpct,162WLpct,Salary,Acquired,Name-additional
John Brebbia,34,6.2,5,0,2,2.70,4.35,0.16,-0.29,0.00,99.8,3.88,1,0.1,.14,-0.1,0.1,1,.518,.501,,Free Agency,brebbjo01
Aaron Bummer*,30,55.1,56,0,24,3.90,4.59,0.21,-0.31,0.20,99.2,4.24,2,0.2,.75,-0.2,0.6,7,.504,.501,$5500000,Traded,bummeaa01
Jesse Chavez,40,63.1,46,0,27,3.84,4.69,0.22,-0.31,0.09,99.1,4.20,2,0.2,.68,-0.2,0.7,8,.505,.502,$740000,Free Agency,chaveje01
Dylan Dodd*,26,2.0,1,0,2,9.00,4.57,0.22,-0.31,0.00,100.0,4.05,-1,-0.1,.51,0.0,-0.1,-1,.395,.499,$740000,Amateur Draft,dodddy01
Parker Dunshee,29,2.1,1,0,5,19.29,4.57,0.25,-0.30,0.00,100.0,4.02,-4,-0.3,.08,0.1,-0.1,-4,.212,.498,,Free Agency,dunshpa01
Bryce Elder,25,49.2,10,10,37,6.70,4.61,0.24,0.21,0.00,98.3,4.51,-12,-1.2,,0.0,-0.7,-7,.385,.493,$740000,Amateur Draft,elderbr01
Max Fried*,30,174.1,29,29,71,3.67,4.65,0.20,0.21,0.00,99.6,4.64,18,2.0,,-0.1,3.5,35,.569,.512,$15000000,Traded,friedma01
Luis Guillorme,29,1.0,1,0,4,36.00,5.44,0.43,-0.36,0.00,100.0,4.64,-3,-0.3,.00,0.1,-0.1,-3,.235,.498,$1100000,Free Agency,guilllu01
Jimmy Herget,30,12.1,8,0,6,4.38,4.51,0.20,-0.30,0.00,100.5,4.03,-1,-0.1,.13,0.0,0.1,1,.493,.500,,Purchased,hergeji01
Daysbel Hernández,27,18.0,16,0,6,3.00,4.48,0.15,-0.30,0.31,98.9,4.29,3,0.3,1.14,0.0,0.4,4,.517,.502,$740000,Free Agency,hernada03
Grant Holmes,28,68.1,26,7,27,3.56,4.41,0.21,-0.05,0.00,102.7,4.26,5,0.5,1.11,-0.1,1.1,12,.521,.503,$740000,Free Agency,holmegr01
Raisel Iglesias,34,69.1,66,0,19,2.47,4.61,0.19,-0.31,0.73,99.2,4.81,18,1.9,1.53,0.3,2.9,25,.529,.512,$16000000,Traded,iglesra01
Luke Jackson,32,18.0,16,0,11,5.50,4.42,0.19,-0.29,0.00,102.0,4.01,-3,-0.3,.48,0.0,-0.1,-1,.481,.498,,Traded,jackslu01
Joe Jiménez,29,68.2,69,0,22,2.88,4.68,0.18,-0.31,0.08,99.6,4.25,10,1.1,1.40,0.0,1.8,17,.516,.507,$8000000,Traded,jimenjo02
Pierce Johnson,33,56.1,58,0,25,3.99,4.53,0.19,-0.30,0.40,101.0,4.48,3,0.3,1.32,-0.1,0.7,8,.505,.502,$7000000,Traded,johnspi01
Ray Kerr*,29,22.1,10,2,14,5.64,4.55,0.22,-0.13,0.00,101.2,4.25,-4,-0.4,.32,0.0,-0.1,-1,.464,.498,$740000,Traded,kerrra01
Dylan Lee*,29,59.2,52,0,19,2.87,4.53,0.18,-0.30,0.19,99.4,4.21,9,0.9,.92,-0.2,1.3,14,.518,.506,$760000,Free Agency,leedy01
Reynaldo López,30,135.2,26,25,32,2.12,4.52,0.19,0.20,0.00,98.0,4.44,34,3.9,1.73,-0.1,5.1,48,.652,.524,$4000000,Free Agency,lopezre01
Tyler Matzek*,33,10.0,11,0,11,9.90,4.80,0.26,-0.32,0.00,98.2,4.15,-6,-0.6,.66,0.1,-0.5,-5,.442,.496,$1900000,Free Agency,matzety01
A.J. Minter*,30,34.1,39,0,10,2.62,4.66,0.19,-0.31,0.33,99.7,4.48,7,0.7,1.31,0.0,1.1,10,.519,.505,$6220000,Amateur Draft,minteaj01
Charlie Morton,40,165.1,30,30,85,4.63,4.51,0.20,0.21,0.00,99.7,4.51,-3,-0.3,,-0.1,1.1,13,.490,.498,$20000000,Free Agency,mortoch02
