Name,Age,Birth,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,,Name-additional
Ronald Acuña Jr.,26,ve VE,R,R,6' 0",205,Dec 18 1997,7,49,49,49,49,0,0,0,0,0,0,0,0,49,49,0,0,0,0.0,$17000000,,acunaro01
Ozzie Albies,27,cw CW,B,R,5' 8",165,Jan 7 1997,8,99,99,99,99,0,0,0,99,0,0,0,0,0,0,0,0,0,1.6,$7000000,,albieoz01
Nacho Alvarez Jr.,21,us US,R,R,5' 11",190,Apr 11 2003,1st,8,8,8,8,0,0,0,7,1,0,0,0,0,0,0,0,0,-0.5,,,alvarna01
Brian Anderson,31,us US,R,R,6' 2",215,May 19 1993,8,3,2,3,3,0,0,0,0,1,0,0,0,2,2,0,0,0,-0.2,,,anderbr06
Orlando Arcia,29,ve VE,R,R,6' 0",187,Aug 4 1994,9,157,156,157,157,0,0,0,0,0,157,0,0,0,0,0,0,0,0.5,$2000000,,arciaor01
Cavan Biggio,29,us US,L,R,6' 2",200,Apr 11 1995,6,4,1,4,4,0,0,0,4,0,0,0,0,0,0,0,2,1,-0.2,,,biggica01
John Brebbia,34,us US,L,R,6' 1",205,May 30 1990,7,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,,brebbjo01
Aaron Bummer,30,us US,L,L,6' 3",215,Sep 21 1993,8,56,0,0,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0.6,$5500000,,bummeaa01
Jesse Chavez,40,us US,R,R,6' 1",180,Aug 21 1983,17,46,0,0,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0.7,$740000,,chaveje01
Travis d'Arnaud,35,us US,R,R,6' 2",210,Feb 10 1989,12,99,79,99,89,0,89,0,0,0,0,0,0,0,0,0,15,0,1.1,$8000000,,darnatr01
Dylan Dodd,26,us US,L,L,6' 2",210,Jun 6 1998,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,$740000,,dodddy01
Parker Dunshee,29,us US,R,R,6' 0",215,Feb 12 1995,1st,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,,dunshpa01
Adam Duvall,35,us US,R,R,6' 1",233,Sep 4 1988,11,104,74,104,91,0,0,0,0,0,0,50,0,46,91,4,23,4,-1.4,$3000000,,duvalad01
Bryce Elder,25,us US,R,R,6' 2",220,May 19 1999,3,10,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,$740000,,elderbr01
David Fletcher,30,us US,R,R,5' 9",185,May 31 1994,7,5,3,5,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0.0,$6000000,,fletcda02
Max Fried,30,us US,L,L,6' 4",190,Jan 18 1994,8,29,29,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,3.5,$15000000,All-Star,friedma01
Luis Guillorme,29,ve VE,L,R,5' 10",190,Sep 27 1994,7,10,6,9,9,1,0,0,7,0,1,0,0,0,0,0,1,0,-0.3,$1100000,,guilllu01
Michael Harris II,23,us US,L,L,6' 0",195,Mar 7 2001,3,110,109,110,110,0,0,0,0,0,0,0,110,0,110,0,0,0,3.2,$5000000,,harrimi04
Jimmy Herget,30,us US,R,R,6' 3",170,Sep 9 1993,6,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,,hergeji01
Daysbel Hernández,27,cu CU,R,R,5' 10",220,Sep 15 1996,2,16,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.4,$740000,,hernada03
Grant Holmes,28,us US,L,R,6' 0",226,Mar 22 1996,1st,26,7,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,1.1,$740000,,holmegr01
Raisel Iglesias,34,cu CU,R,R,6' 2",190,Jan 4 1990,10,66,0,0,66,66,0,0,0,0,0,0,0,0,0,0,0,0,2.9,$16000000,,iglesra01
Luke Jackson,32,us US,R,R,6' 2",210,Aug 24 1991,9,16,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,,jackslu01
Joe Jiménez,29,pr PR,R,R,6' 3",277,Jan 17 1995,8,69,0,0,69,69,0,0,0,0,0,0,0,0,0,0,0,0,1.8,$8000000,,jimenjo02
Pierce Johnson,33,us US,R,R,6' 2",202,May 10 1991,7,58,0,0,58,58,0,0,0,0,0,0,0,0,0,0,0,0,0.7,$7000000,,johnspi01
