Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPSplus,rOBA,Rbatplus,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Nick Fortes,27,C,0.0,110,335,308,28,70,16,0,4,29,0,1,11,41,.227,.259,.318,.577,56,.249,44,98,6,4,7,5,0,*2/H,,forteni01
2,Josh Bell#,31,1B,-0.8,104,441,398,38,95,18,1,14,49,0,0,34,88,.239,.305,.394,.699,89,.310,88,157,13,5,0,3,1,3D,,belljo02
3,Otto López,25,2B,2.6,117,434,403,49,109,23,1,6,39,20,4,25,75,.270,.313,.377,.690,87,.320,91,152,13,1,2,2,0,4/6H578,,lopezot01
4,Xavier Edwards#,24,SS,2.0,70,303,265,39,87,12,5,1,26,31,4,33,52,.328,.397,.423,.820,124,.383,128,112,0,0,1,4,1,6/H4,,edwarxa01
5,Jake Burger,28,3B,0.5,137,579,535,68,134,23,1,29,76,1,1,31,150,.250,.301,.460,.760,103,.327,100,246,11,9,0,4,2,35D/H,,burgeja01
6,Nick Gordon*,28,LF,-1.7,95,275,260,29,59,11,1,8,32,5,5,11,67,.227,.258,.369,.627,68,.263,58,96,5,1,0,3,0,7H8/49D,,gordoni01
7,Jazz Chisholm Jr.*,26,CF,1.2,101,430,386,46,96,14,4,13,50,22,8,39,107,.249,.323,.407,.730,97,.323,96,157,4,4,0,1,5,8/D4H,,chishja01
8,Jesús Sánchez*,26,RF,0.7,149,537,489,60,123,25,1,18,64,16,2,41,140,.252,.313,.417,.731,97,.326,96,204,12,4,1,2,2,*9HD7,,sanchje02
9,Bryan De La Cruz,27,DH,-0.2,105,454,424,44,104,19,0,18,51,3,1,25,118,.245,.289,.417,.707,90,.309,87,177,8,2,0,2,1,7D/9H,,delacbr01
10,Vidal Bruján#,26,MI,0.5,102,278,248,32,55,14,2,2,16,5,6,25,54,.222,.303,.319,.622,70,.271,64,79,5,4,1,0,3,46H58/9713,,brujavi01
11,Jonah Bride,28,1B,0.8,71,272,232,30,64,10,0,11,39,0,1,30,55,.276,.357,.461,.818,121,.355,122,107,9,3,0,7,1,3D5/4H,,bridejo01
12,Tim Anderson,31,SS,-1.5,65,241,234,16,50,3,0,0,9,4,4,7,68,.214,.237,.226,.463,27,.204,15,53,6,0,0,0,0,6/H,,anderti01
13,Emmanuel Rivera,28,3B,-0.7,96,229,201,15,43,6,1,1,15,2,0,20,51,.214,.294,.269,.563,55,.263,53,54,5,4,1,3,0,53H/1D,,riverem01
14,Kyle Stowers*,26,LF,-0.7,50,172,156,12,29,7,2,2,15,0,0,13,61,.186,.262,.295,.556,52,.254,48,46,2,3,0,0,0,78/9H,,stoweky01
15,Connor Norby,24,3B,0.2,36,162,146,29,36,8,0,7,17,3,3,15,52,.247,.315,.445,.760,104,.321,100,65,1,0,0,1,0,5/D4,,norbyco01
16,Luis Arráez*,27,2B,0.1,33,148,137,22,41,8,1,0,5,0,0,8,11,.299,.347,.372,.719,96,.326,99,51,5,2,1,0,0,4/3,AS,arraelu01
17,Derek Hill,28,OF,0.1,32,114,107,11,25,4,1,4,18,4,1,2,39,.234,.259,.402,.661,76,.299,77,43,1,2,2,1,0,87/HD,,hillde01
18,Dane Myers,28,RF,0.6,44,108,95,17,25,6,1,3,19,4,1,8,36,.263,.333,.442,.775,109,.346,111,42,0,3,0,2,0,9H8/7D,,myersda01
19,Alí Sánchez,27,C,-0.6,31,96,84,5,14,2,0,0,4,2,1,4,24,.167,.211,.190,.402,11,.194,-1,16,2,1,6,1,0,2/H,,sanchal04
20,Griffin Conine*,26,OF,0.7,30,89,82,14,22,4,1,3,12,0,0,6,28,.268,.326,.451,.777,109,.332,104,37,1,1,0,0,0,9/7HD,,coningr01
21,Christian Bethancourt,32,C,-0.5,38,88,82,9,13,3,0,2,7,0,0,3,22,.159,.198,.268,.466,25,.205,10,22,1,1,2,0,0,2/DH,,bethach01
22,Cristian Pache,25,CF,-0.4,35,64,60,4,11,3,0,1,7,1,0,4,21,.183,.234,.283,.518,40,.235,31,17,1,0,0,0,0,8/HD,,pachecr01
23,David Hensley,28,UT,-0.4,23,58,52,9,11,1,0,1,4,1,0,6,17,.212,.293,.288,.582,60,.262,51,15,0,0,0,0,0,9/H37D15,,henslda01
24,Avisaíl García,33,RF,-0.2,18,51,50,4,12,1,0,2,2,0,0,1,13,.240,.255,.380,.635,70,.269,58,19,4,0,0,0,0,9/H,,garciav01
25,Jhonny Pereda,28,C,-0.1,20,40,39,2,9,0,0,0,4,0,0,0,10,.231,.250,.231,.481,33,.239,37,9,2,1,0,0,0,2/H13,,peredjh01
26,Javier Sanoja,21,UT,0.0,15,36,35,3,8,2,0,0,2,0,0,1,4,.229,.250,.286,.536,46,.235,34,10,2,0,0,0,0,/8H647D,,sanojja01
27,Tristan Gray*,28,3B,-0.1,7,7,7,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,.000,-136,0,0,0,0,0,0,/5H,,graytr01
28,José Devers*,24,2B,0.1,3,4,4,1,1,0,0,0,0,0,0,0,1,.250,.250,.250,.500,37,.224,26,1,0,0,0,0,0,/34H,,deverjo01
29,Forrest Wall*,28,RF,0.0,3,3,3,1,1,0,0,0,0,1,0,0,2,.333,.333,.333,.667,83,.379,82,1,0,0,0,0,0,/H9,,wallfo01
,Team Totals,,,2.0,162,6048,5522,637,1347,243,23,150,611,125,43,403,1410,.244,.300,.378,.678,83,.301,80,2086,119,55,24,41,16,,,-9999
