Name,Age,Yrs,Acquired,SrvTm,Agent,Contract-Status,2024,2025,2026,2027,Name-additional
Sandy Alcántara,28,7,Traded,5.100,CAA Sports,5 yrs/$56M (22-26) & 27 team option,$9.3M,$17.3M,$17.3M,$2M [FA-*],alcansa01
Jesús Luzardo,26,6,Traded,3.165,MVP Sports Group,1 yr/$5.5M (24),$5.5M,Arb,Arb,FA,luzarje01
Jesús Sánchez,26,5,Traded,2.118,,1 yr/$2.1M (24),$2.1M,Arb,Arb,Arb,sanchje02
George Soriano,25,2,Free Agency,0.112,,1 yr/$746k (24),$746k,Pre-Arb,Pre-Arb,Arb,soriage01
David Hensley,28,3,Waivers,0.131,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,henslda01
Nick Gordon,28,4,Traded,2.136,Beverly Hills Spo...,1 yr/$900k (24),$900k,Arb,Arb,Arb,gordoni01
Anthony Bender,29,3,Free Agency,2.153,,1 yr/$770k (24),$770k,Arb,Arb,Arb,bendean01
Braxton Garrett,26,5,Amateur Draft,1.168,Boras Corporation,1 yr/$764k (24),$764k,Arb,Arb,Arb,garrebr01
Edward Cabrera,26,4,Amateur Free Agent,1.147,,1 yr/$761k (24),$761k,Pre-Arb,Arb,Arb,cabreed02
Cristian Pache,25,5,Waivers,2.031,Rep 1 Baseball,1 yr/$761k (24),$760.5k,Arb,Arb,Arb,pachecr01
Jake Burger,28,4,Traded,1.127,The Bledsoe Agenc...,1 yr/$760k (24),$760k,Pre-Arb,Arb,Arb,burgeja01
Nick Fortes,27,4,Amateur Draft,1.149,,1 yr/$759k (24),$759k,Arb,Arb,Arb,forteni01
Andrew Nardi,25,3,Amateur Draft,1.053,,1 yr/$754k (24),$754k,Pre-Arb,Arb,Arb,nardian01
Ryan Weathers,24,4,Traded,1.066,,1 yr/$753k (24),$752.6k,Pre-Arb,Arb,Arb,weathry01
Mike Baumann,28,4,Waivers,1.072,,1 yr/$749k (24),$748.9k,Pre-Arb,Arb,Arb,baumami01
Eury Pérez,21,1st,Free Agency,0.113,,1 yr/$748k (24),$748k,Pre-Arb,Pre-Arb,Arb,perezeu02
Vidal Bruján,26,4,Traded,1.014,,1 yr/$746k (24),$745.8k,Pre-Arb,Arb,Arb,brujavi01
Calvin Faucher,28,3,Traded,0.156,,1 yr/$746k (24),$745.5k,Pre-Arb,Arb,Arb,fauchca01
Jonah Bride,28,3,Purchased,1.039,,1 yr/$745k (24),$745k,Pre-Arb,Arb,Arb,bridejo01
Xzavion Curry,25,3,Waivers,1.003,,1 yr/$744k (24),$744.4k,Pre-Arb,Arb,Arb,curryxz01
Max Meyer,25,2,Amateur Draft,1.082,,1 yr/$743k (24),$743k,Pre-Arb,Arb,Arb,meyerma01
Xavier Edwards,24,2,Traded,0.052,,1 yr/$743k (24),$743k,Pre-Arb,Pre-Arb,Arb,edwarxa01
Declan Cronin,26,2,Waivers,0.066,Gaeta Sports Mana...,1 yr/$742k (24),$742k,Pre-Arb,Pre-Arb,Arb,cronide01
Otto Lopez,25,3,Waivers,0.109,BSE Agency Inc.,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,lopezot01
Kyle Stowers,26,3,Traded,0.077,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,stoweky01
