Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fldpct,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,PB,WP,SB,CS,CSpct,lgCSpct,PO,Pos-Summary,Name-additional
Shaun Anderson,29,4,2,0,13,1,1,0,0,0,1,,,0,0,0,0.69,0.25,,,0,0,,,0,P,andersh01
Tim Anderson,31,63,62,59,537.1,245,66,170,9,34,0.963,-1,-2,0,0,0,3.95,3.75,,,,,,,,SS,anderti01
Matt Andriese,34,4,0,0,6,1,1,0,0,0,1,,,0,0,0,1.5,0.25,,,1,0,0.00,0.20,0,P,andrima01
Luis Arráez,27,33,33,21,290,142,61,77,4,22,0.972,-2,-7,-3,-12,1,4.28,3.37,,,,,,,,2B-1B,arraelu01
Lake Bachar,29,10,0,0,9.1,2,0,2,0,0,1,,,1,21,0,1.93,0.2,,,0,0,,,0,P,bachala01
Mike Baumann,28,11,0,0,13.2,3,2,1,0,0,1,,,0,0,0,1.98,0.27,,,1,1,0.50,0.21,1,P,baumami01
Josh Bell,31,67,67,38,561,511,472,32,7,39,0.986,-5,-10,-7,-15,-1,8.09,4.85,,,,,,,,1B-DH,belljo02
Valente Bellozo,24,13,13,0,68.2,9,4,5,0,0,1,,,1,3,0,1.18,0.69,,,2,1,0.33,0.20,1,P,bellova01
Anthony Bender,29,59,0,0,53,6,4,2,0,0,1,,,-1,-4,0,1.02,0.1,,,7,1,0.13,0.20,0,P,bendean01
Jonathan Bermúdez,28,3,1,0,6.2,0,0,0,0,0,,,,0,0,,0,0,,,1,0,0.00,0.20,0,P,bermujo01
Christian Bethancourt,32,36,25,20,230.1,220,206,10,4,2,0.982,0,2,-3,-16,0,8.44,5.68,1,8,17,6,0.26,0.20,1,C-DH,bethach01
Huascar Brazobán,34,20,0,0,30.2,8,5,3,0,0,1,,,0,0,0,2.35,0.4,,,3,1,0.25,0.20,0,P,brazohu01
Jonah Bride,28,51,45,37,397.2,283,242,38,3,33,0.989,-4,-11,-2,-6,-1,6.34,3.84,,,,,,,,1B-3B-2B-DH,bridejo01
Vidal Bruján,26,87,68,51,630,264,116,139,9,29,0.966,-4,-7,4,8,0,3.64,2.58,,,0,0,,,0,SS-2B-3B-CF-RF-LF-P-1B,brujavi01
Jake Burger,28,110,109,82,949.1,562,416,133,13,40,0.977,-14,-18,-6,-8,0,5.2,3.56,,,,,,,,3B-1B-DH,burgeja01
Edward Cabrera,26,20,20,0,96.1,14,4,6,4,0,0.714,,,-4,-8,0,0.93,0.5,,,20,5,0.20,0.20,0,P,cabreed02
JT Chargois,33,15,0,0,16.2,0,0,0,0,0,,,,0,0,,0,0,,,1,0,0.00,0.20,0,P,chargjt01
Yonny Chirinos,30,6,6,0,30,6,4,2,0,0,1,,,-1,-7,0,1.8,1,,,7,1,0.13,0.20,0,P,chiriyo01
Jazz Chisholm Jr.,26,97,96,86,837.1,234,226,6,2,1,0.991,-6,-8,-4,-6,-2,2.49,2.27,,,,,,,,CF-2B-DH,chishja01
Griffin Conine,26,25,21,17,185,46,41,4,1,2,0.978,1,6,6,39,1,2.19,1.73,,,,,,,,RF-LF-DH,coningr01
Declan Cronin,26,56,0,0,70.1,8,4,3,1,0,0.875,,,-5,-14,-1,0.9,0.13,,,8,2,0.20,0.20,0,P,cronide01
Xzavion Curry,25,9,1,0,18,2,2,0,0,0,1,,,0,0,0,1,0.22,,,1,0,0.00,0.20,0,P,curryxz01
Brett de Geus,26,7,0,0,5.2,1,0,1,0,0,1,,,0,0,0,1.59,0.14,,,0,0,,,0,P,degeubr01
Bryan De La Cruz,27,55,54,46,473,103,96,6,1,1,0.99,-8,-21,-3,-8,1,1.94,0.94,,,,,,,,LF-RF-DH,delacbr01
José Devers,24,2,1,1,9.1,3,0,3,0,0,1,0,-5,1,129,0,2.89,1.5,,,,,,,,2B-1B,deverjo01
Xavier Edwards,24,70,68,65,599,247,91,149,7,32,0.972,-14,-28,-8,-16,-1,3.61,3.43,,,,,,,,SS-2B,edwarxa01
Kent Emanuel,32,12,0,0,17.2,7,2,5,0,0,1,,,1,11,0,3.57,0.58,,,0,0,,,0,P,emanuke01
