Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,number,Thr,Opp-Starter-GmeSc
1,1,Mar 28,,PIT,L5-6,48,41,5,8,2,0,0,5,4,2,7,2,0,1,0,3,1,0,.195,.292,.244,.536,10,13,R,M.Keller(38)
2,2,Mar 29,,PIT,L2-7,37,33,2,9,1,0,0,2,4,0,7,0,0,0,1,4,0,0,.230,.318,.270,.588,8,9,L,M.Pérez(46)
3,3,Mar 30,,PIT,L3-9,35,33,3,5,1,0,0,3,2,0,13,0,0,0,1,0,0,0,.206,.283,.243,.526,5,10,R,J.Jones(59)
4,4,Mar 31,,PIT,L7-9,41,37,7,7,1,0,3,7,4,0,11,0,0,0,0,0,0,0,.201,.280,.299,.578,5,13,L,B.Falter(27)
5,5,Apr 1,,LAA,L4-7,39,34,4,9,2,0,0,4,4,0,9,0,0,0,0,3,0,0,.213,.291,.303,.595,8,11,R,C.Silseth(38)
6,6,Apr 2,,LAA,L1-3,34,31,1,5,1,0,1,1,3,0,6,0,0,0,0,0,0,0,.206,.283,.301,.585,6,10,L,T.Anderson(72)
7,7,Apr 3,,LAA,L2-10,33,30,2,4,1,0,0,2,2,0,9,1,0,0,0,1,0,0,.197,.274,.285,.559,4,11,L,P.Sandoval(58)
8,8,Apr 4,@,STL,L5-8,38,36,5,9,0,0,3,4,2,0,9,0,0,0,0,0,3,0,.204,.276,.313,.589,6,11,R,L.Lynn(38)
9,9,Apr 6,@,STL,L1-3,34,33,1,8,1,0,0,1,1,0,5,0,0,0,0,2,0,0,.208,.275,.308,.584,6,11,L,S.Matz(61)
10,10,Apr 7,@,STL,W10-3,44,40,10,13,1,1,2,10,2,0,8,1,0,1,0,0,0,0,.221,.285,.336,.622,7,11,R,K.Gibson(34)
11,11,Apr 8,@,NYY,L0-7,29,29,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,.210,.270,.316,.586,2,10,L,N.Cortés(84)
12,12,Apr 9,@,NYY,L2-3,34,30,2,5,1,0,0,2,3,0,7,0,0,1,0,1,2,0,.206,.267,.307,.575,5,12,L,C.Rodón(58)
13,13,Apr 10,@,NYY,W5-2,37,30,5,6,0,0,1,5,6,0,8,0,1,0,0,1,2,1,.206,.272,.307,.579,5,10,R,M.Stroman(46)
14,14,Apr 12,,ATL,L1-8,34,32,1,6,0,0,0,1,1,0,7,1,0,0,0,1,0,0,.205,.270,.299,.568,6,11,L,M.Fried(64)
15,15,Apr 13,,ATL,W5-1,34,31,5,8,1,0,1,5,3,0,7,0,0,0,0,1,0,0,.208,.273,.304,.577,5,10,L,C.Sale(49)
16,16,Apr 14,,ATL,L7-9,37,35,7,9,3,0,2,6,2,0,14,0,0,0,0,1,0,0,.211,.275,.318,.593,3,11,R,C.Morton(38)
17,17,Apr 15,,SFG,L3-4,38,36,3,10,1,0,1,3,1,0,5,0,1,0,1,0,1,1,.215,.276,.322,.598,8,12,L,K.Harrison(45)
18,18,Apr 16,,SFG,W6-3,38,32,6,8,3,0,0,6,6,0,7,0,0,0,0,1,3,0,.217,.281,.323,.605,8,10,R,J.Hicks(55)
19,19,Apr 17,,SFG,L1-3,31,30,1,6,0,0,1,1,1,0,6,0,0,0,0,2,0,1,.216,.279,.322,.601,3,12,R,K.Winn(63)
20,20,Apr 19,@,CHC,L3-8,35,34,3,6,1,0,1,3,1,0,9,0,0,0,1,0,0,0,.214,.275,.321,.596,5,11,R,J.Taillon(61)
21,21,Apr 20 (1),@,CHC,W3-2,40,33,3,8,2,0,1,3,5,0,6,1,0,1,0,1,0,0,.216,.279,.324,.603,10,12,R,J.Assad(54)
22,22,Apr 20 (2),@,CHC,L3-5,35,35,3,8,1,0,1,3,0,0,9,0,0,0,1,1,0,0,.216,.277,.325,.602,5,12,L,S.Imanaga(57)
23,23,Apr 21,@,CHC,W6-3,39,37,6,11,2,0,1,6,2,0,9,0,0,0,0,1,0,0,.220,.279,.330,.610,6,10,R,K.Hendricks(39)
24,24,Apr 22,@,ATL,L0-3,33,32,0,8,1,0,0,0,0,0,7,1,0,0,0,2,0,0,.221,.279,.328,.608,6,9,R,B.Elder(62)
25,25,Apr 23,@,ATL,L0-5,29,29,0,3,0,0,0,0,0,0,6,0,0,0,1,2,0,0,.217,.274,.321,.594,2,9,L,M.Fried(87)
26,26,Apr 24,@,ATL,L3-4,39,36,3,7,1,0,1,2,3,0,9,0,0,0,1,2,1,0,.216,.273,.320,.593,7,10,R,R.López(71)
27,27,Apr 26,,WSN,L1-3,33,31,1,6,0,0,0,1,2,0,8,0,0,0,0,0,1,0,.216,.272,.316,.587,5,9,R,T.Williams(52)
28,28,Apr 27,,WSN,L4-11,40,38,4,13,1,1,1,3,2,0,4,0,0,0,0,2,1,0,.221,.276,.323,.599,9,12,L,M.Parker(46)
29,29,Apr 28,,WSN,L9-12,43,38,9,12,3,2,1,9,5,0,8,0,0,0,0,1,0,0,.224,.281,.333,.614,7,11,L,P.Corbin(26)
30,30,Apr 29,,WSN,L2-7,31,31,2,4,1,0,1,2,0,0,5,0,0,0,0,0,0,0,.221,.276,.331,.607,2,11,R,J.Irvin(59)
31,31,Apr 30,,COL,W7-6,39,34,7,9,2,0,0,7,2,1,4,2,0,1,0,1,0,1,.223,.278,.330,.609,5,12,R,R.Feltner(63)
32,32,May 1,,COL,W4-1,37,31,4,7,1,0,0,4,5,0,2,1,0,0,0,0,1,0,.223,.281,.328,.609,9,12,R,D.Hudson(51)
33,33,May 2,,COL,W5-4,41,36,5,9,1,0,1,5,4,0,8,0,0,1,0,1,1,0,.224,.282,.329,.611,8,12,R,P.Lambert(34)
34,34,May 3,@,OAK,L1-3,36,33,1,7,2,1,0,1,2,0,10,1,0,0,0,1,2,0,.223,.282,.330,.611,8,12,L,J.Sears(70)
35,35,May 4,@,OAK,L4-20,35,33,4,7,3,0,2,4,2,0,4,0,0,0,0,1,0,0,.223,.281,.334,.615,4,13,R,P.Blackburn(67)
36,36,May 5,@,OAK,W12-3,45,39,12,14,3,0,1,12,5,0,8,1,0,0,0,1,3,1,.228,.287,.340,.626,6,10,R,J.Boyle(33)
37,37,May 6,@,LAD,L3-6,34,33,3,7,1,0,1,3,0,0,8,1,0,0,1,1,1,1,.227,.285,.339,.625,4,11,R,W.Buehler(42)
38,38,May 7,@,LAD,L2-8,33,33,2,6,1,0,2,2,0,0,6,0,0,0,0,0,0,0,.226,.283,.341,.624,4,9,R,Y.Yamamoto(69)
39,39,May 8,@,LAD,L1-3,32,32,1,6,0,0,1,1,0,0,6,0,0,0,0,1,0,0,.225,.281,.339,.620,4,9,R,G.Stone(65)
40,40,May 10,,PHI,L2-8,34,31,2,5,4,0,0,2,3,0,11,0,0,0,0,1,0,0,.224,.280,.338,.618,5,10,L,R.Suárez(78)
41,41,May 11,,PHI,L3-8,37,35,3,11,1,0,2,3,1,0,8,1,0,0,0,0,0,2,.226,.282,.343,.624,7,9,R,T.Walker(55)
42,42,May 12,,PHI,W7-6,41,33,7,8,2,1,1,7,5,1,9,2,1,0,0,1,0,0,.226,.284,.345,.629,8,13,R,Z.Wheeler(25)
43,43,May 13,@,DET,L5-6,38,37,5,12,2,0,1,5,1,0,11,0,0,0,0,1,1,0,.229,.285,.348,.634,6,10,R,M.Manning(43)
44,44,May 14,@,DET,W1-0,32,32,1,4,0,0,0,1,0,0,8,0,0,0,0,1,0,1,.227,.282,.343,.626,2,12,R,R.Olson(82)
45,45,May 15,@,DET,W2-0,33,31,2,4,0,0,1,2,2,0,8,0,0,0,0,0,0,0,.225,.280,.341,.621,4,12,R,C.Mize(65)
