Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,number,Umpire,Pitchers-Used-Rest-GameScore-Dec
1,1,Mar 28,,PIT,L5-6,12.0,9,6,5,1,8,17,3,0,3.75,52,213,127,4,1,0,0,44,2,0,2,0,0,1,0,7,Chris Guccione,J.Luzardo (99-61) G.Soriano (99-H) A.Nardi (99-H) A.Bender (99-H) S.Sánchez (99-BSv) T.Scott (99) D.Cronin (99-L)
2,2,Mar 29,,PIT,L2-7,9.0,10,7,7,0,7,9,0,0,5.14,43,172,104,2,0,0,0,34,3,0,0,0,2,0,0,4,Brian Knight,A.Puk (99-29-L) B.Hoeing (99) B.Smith (99) G.Soriano (0)
3,3,Mar 30,,PIT,L3-9,9.0,16,9,8,1,4,9,0,1,6.00,48,197,126,0,0,0,0,43,5,0,0,0,0,0,1,5,Gabe Morales,R.Weathers (99-39-L) S.Sánchez (1) A.Nardi (1) D.Cronin (1) A.Bender (1)
4,4,Mar 31,,PIT,L7-9,10.0,11,9,7,2,7,13,1,0,6.08,50,204,125,0,0,2,0,41,0,1,0,2,0,0,0,3,Ryan Additon,T.Rogers (99-39) V.Gutierrez (99-BSv) T.Scott (2-L)
5,5,Apr 1,,LAA,L4-7,9.0,7,7,7,0,6,7,3,0,6.24,39,170,100,1,1,2,1,33,1,1,0,0,0,0,0,6,Jordan Baker,M.Meyer (99-57) G.Soriano (2-BSv) A.Nardi (1) T.Scott (0-L) A.Bender (1) B.Smith (2)
6,6,Apr 2,,LAA,L1-3,9.0,7,3,3,0,3,6,1,0,5.74,34,152,97,1,1,1,1,31,2,0,0,0,0,1,1,2,Stu Scheurwater,J.Luzardo (4-51-L) B.Hoeing (3)
7,7,Apr 3,,LAA,L2-10,9.0,12,10,8,2,8,7,1,1,6.04,47,180,110,0,0,0,0,36,5,0,0,0,2,1,2,3,Mark Carlson,A.Puk (4-42-L) B.Smith (1) K.Emanuel (99)
8,8,Apr 4,@,STL,L5-8,8.0,10,8,3,5,3,9,1,2,5.76,40,164,101,2,2,0,0,35,2,1,0,0,0,1,1,5,Bruce Dreckman,R.Weathers (4-56) A.Bender (2-H) S.Sánchez (4-L) A.Nardi (2-BSv) G.Soriano (2)
9,9,Apr 6,@,STL,L1-3,8.0,8,3,2,1,4,3,0,0,5.42,35,133,83,0,0,0,1,31,3,0,0,0,0,1,1,4,Jeremie Rehak,T.Rogers (5-47-L) B.Hoeing (3) B.Smith (2) T.Scott (4)
10,10,Apr 7,@,STL,W10-3,9.0,5,3,3,0,2,9,2,0,5.18,34,133,86,0,0,0,0,32,1,1,0,0,0,0,0,4,Clint Vondrak,M.Meyer (5-64-W) A.Nardi (2) G.Soriano (2) M.Andriese (99)
11,11,Apr 8,@,NYY,L0-7,8.0,9,7,7,0,5,9,2,0,5.40,37,139,84,2,0,0,0,31,3,0,0,1,0,0,1,3,Todd Tichenor,J.Luzardo (5-19-L) B.Smith (1) M.Andriese (0)
