Rk,Pos,Name,Age,W,L,W-Lpct,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERAplus,FIP,WHIP,H9,HR9,BB9,SO9,SO-W,Name-additional
1,SP,Trevor Rogers*,26,2,9,.182,4.53,21,21,0,0,0,0,105.1,115,58,53,12,46,2,85,3,1,1,472,100,4.43,1.528,9.8,1.0,3.9,7.3,1.85,rogertr01
2,SP,Edward Cabrera,26,4,8,.333,4.95,20,20,0,0,0,0,96.1,82,60,53,15,50,0,107,5,1,1,418,91,4.68,1.370,7.7,1.4,4.7,10.0,2.14,cabreed02
3,SP,Ryan Weathers*,24,5,6,.455,3.63,16,16,0,0,0,0,86.2,78,39,35,11,24,1,80,9,1,2,367,125,4.11,1.177,8.1,1.1,2.5,8.3,3.33,weathry01
4,SP,Roddery Muñoz,24,2,7,.222,6.53,18,17,0,0,0,0,82.2,89,66,60,26,42,0,70,5,1,4,379,69,7.27,1.585,9.7,2.8,4.6,7.6,1.67,munozro01
5,SP,Valente Bellozo,24,3,4,.429,3.67,13,13,0,0,0,0,68.2,69,31,28,15,21,1,44,2,0,0,295,124,5.73,1.311,9.0,2.0,2.8,5.8,2.10,bellova01
6,SP,Jesús Luzardo*,26,3,6,.333,5.00,12,12,0,0,0,0,66.2,61,37,37,9,22,0,58,2,0,3,274,91,4.26,1.245,8.2,1.2,3.0,7.8,2.64,luzarje01
7,CL,Tanner Scott*,29,6,5,.545,1.18,44,0,35,0,0,18,45.2,19,10,6,2,27,2,53,1,0,0,182,384,3.25,1.007,3.7,0.4,5.3,10.4,1.96,scottta01
8,RP,Declan Cronin,26,3,4,.429,4.35,56,0,9,0,0,0,70.1,75,41,34,1,25,3,72,5,0,1,306,104,2.58,1.422,9.6,0.1,3.2,9.2,2.88,cronide01
9,RP,Calvin Faucher,28,2,3,.400,3.19,53,0,18,0,0,6,53.2,49,25,19,0,26,3,63,4,0,5,235,142,2.50,1.398,8.2,0.0,4.4,10.6,2.42,fauchca01
10,RP,Anthony Bender,29,5,2,.714,4.08,59,0,10,0,0,1,53.0,50,25,24,3,18,1,59,4,0,2,228,111,2.92,1.283,8.5,0.5,3.1,10.0,3.28,bendean01
11,RP,Andrew Nardi*,25,3,2,.600,5.07,59,0,4,0,0,0,49.2,44,29,28,7,18,1,70,1,0,1,210,90,3.33,1.248,8.0,1.3,3.3,12.7,3.89,nardian01
12,,Max Meyer,25,3,5,.375,5.68,11,11,0,0,0,0,57.0,62,38,36,14,19,0,46,3,0,0,248,80,5.90,1.421,9.8,2.2,3.0,7.3,2.42,meyerma01
13,,A.J. Puk*,29,4,8,.333,4.30,32,4,4,0,0,1,44.0,36,27,21,3,23,0,45,1,1,2,191,106,3.64,1.341,7.4,0.6,4.7,9.2,1.96,pukaj01
14,,Adam Oller,29,2,4,.333,5.31,8,8,0,0,0,0,42.1,43,25,25,7,22,0,36,2,0,1,189,86,5.32,1.535,9.1,1.5,4.7,7.7,1.64,ollerad01
15,,Braxton Garrett*,26,2,2,.500,5.35,7,7,0,1,1,0,37.0,40,24,22,5,4,0,34,5,0,1,161,85,3.82,1.189,9.7,1.2,1.0,8.3,8.50,garrebr01
16,,Darren McCaughan,28,0,0,,5.75,10,5,4,0,0,2,36.0,44,26,23,7,9,0,27,6,0,1,165,79,5.44,1.472,11.0,1.8,2.3,6.8,3.00,mccauda01
17,,Sixto Sánchez,25,0,3,.000,6.06,14,7,2,0,0,0,35.2,43,29,24,3,14,0,17,3,1,1,162,75,4.74,1.598,10.9,0.8,3.5,4.3,1.21,sanchsi01
18,,Kyle Tyler,27,0,2,.000,5.40,8,7,0,0,0,0,31.2,37,19,19,4,18,0,25,1,0,1,142,84,5.03,1.737,10.5,1.1,5.1,7.1,1.39,tylerky01
19,,Huascar Brazobán,34,1,2,.333,2.93,20,0,1,0,0,0,30.2,20,14,10,1,11,0,34,2,0,1,125,155,2.65,1.011,5.9,0.3,3.2,10.0,3.09,brazohu01
20,,Bryan Hoeing,27,1,2,.333,2.70,16,2,2,0,0,0,30.0,29,10,9,2,9,0,25,0,0,4,124,169,3.27,1.267,8.7,0.6,2.7,7.5,2.78,hoeinbr01
21,,Yonny Chirinos,30,0,2,.000,6.30,6,6,0,0,0,0,30.0,43,21,21,7,13,0,25,3,0,1,144,72,6.13,1.867,12.9,2.1,3.9,7.5,1.92,chiriyo01
22,,Burch Smith,34,2,0,1.000,4.25,25,0,8,0,0,0,29.2,39,15,14,1,9,0,23,1,1,3,135,107,3.07,1.618,11.8,0.3,2.7,7.0,2.56,smithbu03
23,,George Soriano,25,1,1,.500,6.75,22,0,11,0,0,1,29.1,27,23,22,7,13,0,29,4,0,3,131,68,6.03,1.364,8.3,2.1,4.0,8.9,2.23,soriage01
24,,Jesús Tinoco,29,1,0,1.000,2.03,21,0,7,0,0,3,26.2,13,6,6,1,5,1,30,1,0,0,98,226,2.08,0.675,4.4,0.3,1.7,10.1,6.00,tinocje01
25,,Emmanuel Ramirez,29,0,1,.000,6.97,15,0,2,0,0,0,20.2,21,17,16,3,8,0,21,3,0,2,92,66,4.62,1.403,9.1,1.3,3.5,9.1,2.63,ramirem01
26,,Anthony Maldonado,26,1,1,.500,5.68,16,1,6,0,0,1,19.0,21,12,12,1,7,3,11,0,0,1,82,81,3.80,1.474,9.9,0.5,3.3,5.2,1.57,maldoan01
27,,Xzavion Curry,25,2,0,1.000,3.00,9,1,0,0,0,0,18.0,9,6,6,3,2,0,13,0,0,0,64,153,4.22,0.611,4.5,1.5,1.0,6.5,6.50,curryxz01
