Name,Age,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWLpct,162WLpct,oWAR,dWAR,oRAR,Salary,Acquired,Pos-Summary,Name-additional
Tim Anderson,31,65,241,-23,-1,0,0,4,-21,-2.3,8,-13,-1.5,.465,.486,-1.5,0.4,-13,$5000000,Free Agency,6/H,anderti01
Luis Arráez*,27,33,148,0,0,-1,-3,1,-3,-0.4,5,1,0.1,.489,.498,0.4,-0.2,4,$10600000,Traded,4/3,arraelu01
Josh Bell#,31,104,441,-6,-1,-1,-7,-6,-21,-2.3,15,-6,-0.8,.479,.486,-0.1,-1.4,1,$16500000,Traded,3D,belljo02
Christian Bethancourt,32,38,88,-9,0,0,-1,2,-8,-0.8,3,-5,-0.5,.479,.495,-0.4,0.1,-4,$2050000,Purchased,2/DH,bethach01
Jonah Bride,28,71,272,7,-1,-2,-2,-3,-1,-0.1,9,8,0.8,.498,.499,1.0,-0.5,10,$745000,Purchased,3D5/4H,bridejo01
Vidal Bruján#,26,102,278,-11,0,1,4,3,-4,-0.4,10,6,0.5,.496,.497,0.1,0.7,2,$745800,Traded,46H58/9713,brujavi01
Jake Burger,28,137,579,0,-3,0,-6,-4,-13,-1.4,20,7,0.5,.490,.492,1.1,-1.1,13,$760000,Traded,35D/H,burgeja01
Jazz Chisholm Jr.*,26,101,430,-2,1,0,-4,3,-2,-0.2,15,12,1.2,.498,.499,1.6,-0.1,16,$2625000,Traded,8/D4H,chishja01
Griffin Conine*,26,30,89,0,-1,0,6,-1,4,0.5,3,7,0.7,.515,.503,0.1,0.5,1,,Traded,9/7HD,coningr01
Bryan De La Cruz,27,105,454,-7,-1,1,-3,-6,-16,-1.7,15,-1,-0.2,.484,.490,0.1,-1.0,2,$768000,Traded,D7/9H,delacbr01
José Devers*,24,3,4,0,0,0,1,0,1,0.1,0,1,0.1,.528,.501,0.0,0.1,0,,Traded,/34H,deverjo01
Xavier Edwards#,24,70,303,10,2,2,-8,4,10,1.0,10,20,2.0,.514,.506,2.8,-0.4,28,$743000,Traded,6/H4,edwarxa01
Nick Fortes,27,110,335,-21,-1,0,5,7,-10,-1.1,11,1,0.0,.490,.493,-0.5,1.2,-4,$759000,Amateur Draft,*2/H,forteni01
Avisaíl García,33,18,51,-2,0,-1,0,0,-4,-0.4,2,-2,-0.2,.480,.498,-0.2,0.0,-2,$12000000,Free Agency,9/H,garciav01
Nick Gordon*,28,95,275,-13,-3,0,-7,-2,-25,-2.6,9,-15,-1.7,.473,.484,-1.0,-0.9,-8,$900000,Traded,7H8/4D9,gordoni01
Tristan Gray*,28,7,7,-2,0,0,1,0,-1,-0.1,0,-1,-0.1,.487,.499,-0.2,0.1,-2,$740000,Free Agency,/5H,graytr01
David Hensley,28,23,58,-3,0,0,-2,-1,-5,-0.6,2,-3,-0.4,.476,.497,-0.2,-0.3,-1,,Waivers,9/H37D51,henslda01
Derek Hill,28,32,114,-3,0,1,-1,0,-3,-0.3,4,1,0.1,.491,.498,0.2,-0.1,2,,Waivers,87/HD,hillde01
Otto Lopez,25,117,434,-5,4,0,8,4,11,1.2,15,26,2.6,.510,.507,1.7,1.3,18,$740000,Waivers,4/6H578,lopezot01
Dane Myers,28,44,108,1,0,0,1,-1,2,0.2,4,5,0.5,.504,.501,0.4,0.0,4,$740000,Waivers,9H8/7D,myersda01
Connor Norby,24,36,162,0,0,1,-5,1,-3,-0.3,5,2,0.2,.491,.498,0.7,-0.5,7,,Traded,5/D4,norbyco01
Cristian Pache,25,35,64,-5,0,0,-1,0,-5,-0.6,2,-3,-0.4,.484,.497,-0.3,-0.1,-2,,Waivers,8/HD,pachecr01
Jhonny Pereda,28,20,40,-3,0,0,1,1,-2,-0.2,1,-1,-0.1,.490,.499,-0.2,0.2,-1,$740000,Free Agency,2/H31,peredjh01
Emmanuel Rivera,28,96,229,-12,-1,-1,0,1,-13,-1.4,8,-5,-0.7,.486,.491,-0.7,0.1,-5,$765200,Purchased,53H/1D,riverem01
Ali Sánchez,27,31,96,-10,0,0,0,2,-9,-0.9,3,-6,-0.6,.470,.494,-0.6,0.2,-6,,Purchased,2/H,sanchal04
Jesús Sánchez*,26,149,537,-3,1,0,-2,-6,-10,-1.1,18,8,0.7,.493,.494,0.9,-0.8,10,$2100000,Traded,*9HD7,sanchje02
Javier Sanoja,21,15,36,-3,0,0,1,0,-2,-0.2,1,0,0.0,.490,.499,-0.1,0.1,-1,,Free Agency,/8H647D,sanojja01
Kyle Stowers*,26,50,172,-10,1,0,-1,-1,-12,-1.3,6,-6,-0.7,.475,.492,-0.6,-0.2,-5,,Traded,78/H9,stoweky01
Forrest Wall*,28,3,3,0,0,0,0,0,0,0.0,0,0,0.0,.505,.500,0.0,0.0,0,,Waivers,/H9,wallfo01
Team Total,27.2,1740,6048,-136,-4,1,-25,-1,-165,-17.4,205,41,1.9,.490,.495,4.6,-2.7,65,$60021000,,,-9999
