Name,Age,Birth,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,,Name-additional
Shaun Anderson,29,us US,R,R,6' 6",228,Oct 29 1994,5,4,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,,,andersh01
Tim Anderson,31,us US,R,R,6' 1",185,Jun 23 1993,9,65,62,65,63,0,0,0,0,0,63,0,0,0,0,0,1,1,-1.5,$5000000,,anderti01
Matt Andriese,34,us US,R,R,6' 2",215,Aug 28 1989,8,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,,andrima01
Luis Arráez,27,ve VE,L,R,5' 10",175,Apr 9 1997,6,33,33,33,33,0,0,8,33,0,0,0,0,0,0,0,0,0,0.1,$10600000,,arraelu01
Lake Bachar,29,us US,R,R,6' 2",219,Jun 3 1995,1st,10,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,,bachala01
Mike Baumann,28,us US,R,R,6' 4",240,Sep 10 1995,4,11,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,,baumami01
Josh Bell,31,us US,B,R,6' 4",261,Aug 14 1992,9,104,104,104,67,0,0,67,0,0,0,0,0,0,0,37,0,0,-0.8,$16500000,,belljo02
Valente Bellozo,24,mx MX,R,R,5' 10",208,Jan 4 2000,1st,13,13,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,1.5,,,bellova01
Anthony Bender,29,us US,R,R,6' 4",205,Feb 3 1995,3,59,0,0,59,59,0,0,0,0,0,0,0,0,0,0,0,0,0.9,$770000,,bendean01
Jonathan Bermúdez,28,pr PR,L,L,6' 2",226,Oct 16 1995,1st,3,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,,bermujo01
Christian Bethancourt,32,pa PA,R,R,6' 3",205,Sep 2 1991,8,38,25,38,36,0,36,0,0,0,0,0,0,0,0,2,2,0,-0.5,$2050000,,bethach01
Huascar Brazobán,34,do DO,R,R,6' 3",155,Oct 15 1989,3,20,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0.4,$753000,,brazohu01
Jonah Bride,28,us US,R,R,5' 10",200,Dec 27 1995,3,71,64,71,51,0,0,38,3,13,0,0,0,0,0,19,2,1,0.8,$745000,,bridejo01
Vidal Bruján,26,do DO,B,R,5' 10",180,Feb 9 1998,4,102,68,102,87,2,0,1,31,14,28,3,12,8,22,0,20,4,0.2,$745800,,brujavi01
Jake Burger,28,us US,R,R,6' 2",230,Apr 10 1996,4,137,135,137,110,0,0,69,0,59,0,0,0,0,0,26,2,0,0.5,$760000,,burgeja01
Edward Cabrera,26,do DO,R,R,6' 5",217,Apr 13 1998,4,20,20,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0.7,$761000,,cabreed02
JT Chargois,33,us US,B,R,6' 3",200,Dec 3 1990,7,15,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.6,$1285000,,chargjt01
