Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPSplus,rOBA,Rbatplus,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Francisco Alvarez,22,C,0.8,100,342,308,39,73,14,2,11,47,1,1,30,86,.237,.307,.403,.710,101,.319,107,124,7,2,0,2,0,2/HD,,alvarfr01
2,Pete Alonso,29,1B,2.6,162,695,608,91,146,31,0,34,88,3,0,70,172,.240,.329,.459,.788,123,.341,122,279,14,13,0,4,4,*3/DH,AS,alonspe01
3,Jeff McNeil*,32,2B,1.6,129,472,424,57,101,26,0,12,44,5,1,35,68,.238,.308,.384,.692,97,.308,98,163,6,9,1,3,1,*497/H,,mcneije01
4,Francisco Lindor#,30,SS,7.0,152,689,618,107,169,39,1,33,91,29,4,56,127,.273,.344,.500,.844,138,.373,141,309,7,12,0,3,0,*6/DH,,lindofr01
5,Mark Vientos,24,3B,3.2,111,454,413,58,110,22,0,27,71,0,0,33,135,.266,.322,.516,.837,135,.361,137,213,6,3,0,5,0,5/H3D,,vientma01
6,Brandon Nimmo*,31,LF,2.3,151,663,571,88,128,25,3,23,90,15,0,77,158,.224,.327,.399,.727,107,.331,111,228,7,12,0,3,1,*78/DH,,nimmobr01
7,Harrison Bader,30,CF,1.0,143,437,402,57,95,19,0,12,51,17,8,21,95,.236,.284,.373,.657,86,.287,84,150,6,8,0,6,1,*8H/D,,baderha01
8,Starling Marte,35,RF,0.7,94,370,335,46,90,13,3,7,40,16,1,27,81,.269,.327,.388,.715,104,.328,107,130,8,3,3,2,1,9/DH,,martest01
9,J.D. Martinez,36,DH,0.5,120,495,434,46,102,24,1,16,69,0,0,49,141,.235,.320,.406,.725,106,.321,108,176,17,6,0,2,0,*D/H,,martijd02
10,Tyrone Taylor,30,OF,2.0,130,345,319,47,79,22,3,7,35,11,2,19,80,.248,.299,.401,.701,99,.317,102,128,4,5,1,1,1,*98H7/D,,tayloty01
11,Jose Iglesias,34,IF,3.1,85,291,270,39,91,16,1,4,26,6,2,12,39,.337,.381,.448,.830,137,.361,136,121,4,8,0,1,1,45/H6,,iglesjo01
12,DJ Stewart*,30,DH,-0.8,74,194,158,16,28,4,0,5,19,1,0,31,48,.177,.325,.297,.622,81,.296,89,47,5,4,0,1,0,9HD7/3,,stewadj01
13,Brett Baty*,24,3B,0.3,50,171,153,15,35,3,0,4,16,0,0,16,42,.229,.306,.327,.633,82,.287,83,50,3,1,1,0,1,5/H,,batybr01
14,Luis Torrens,28,C,0.7,47,130,118,14,27,8,0,3,15,0,1,9,28,.229,.292,.373,.665,89,.287,86,44,5,2,0,1,0,2/HD1,,torrelu01
15,Jesse Winker*,30,OF,0.1,44,129,115,12,28,5,0,3,13,0,0,10,22,.243,.318,.365,.683,95,.303,95,42,3,3,0,1,0,97HD,,winkeje01
16,Tomás Nido,30,C,0.1,32,90,83,9,19,2,0,3,8,0,0,4,20,.229,.261,.361,.623,76,.278,76,30,0,0,2,1,0,2/H,,nidoto01
17,Omar Narváez*,32,C,-0.9,28,69,65,4,10,2,0,0,5,0,0,3,12,.154,.191,.185,.376,9,.172,-1,12,2,0,1,0,0,2,,narvaom01
18,Luisangel Acuña,22,MI,0.5,14,40,39,6,12,2,1,3,6,0,1,1,6,.308,.325,.641,.966,168,.387,165,25,1,0,0,0,0,6/DH4,,acunajo01
19,Joey Wendle*,34,IF,-0.1,18,37,36,3,8,1,0,0,1,1,0,1,9,.222,.243,.250,.493,42,.225,34,9,0,0,0,0,0,/456,,wendljo01
20,Ben Gamel*,32,OF,0.0,18,30,23,9,5,1,0,0,0,1,0,7,7,.217,.400,.261,.661,96,.360,130,6,0,0,0,0,0,9/7HD,,gamelbe01
21,Zack Short,29,3B,-0.1,10,12,9,2,1,0,0,0,0,0,1,2,4,.111,.273,.111,.384,16,.162,20,1,0,0,1,0,0,/H546D,,shortza01
22,Eddy Alvarez*,34,MI,0.1,12,11,9,2,0,0,0,0,0,0,0,1,2,.000,.182,.000,.182,-41,.128,-31,0,0,1,0,0,0,4/H16,,alvared01
23,Pablo Reyes,30,DH,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/DH,,reyespa01
24,Joe Hudson,33,C,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/2,,hudsojo03
25,Edwin Díaz,30,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,diazed04
26,Jorge López,31,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,lopezjo02
27,Jake Diekman,37,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,diekmja01
,Team Totals,,,24.7,162,6166,5510,768,1357,279,15,207,735,106,22,514,1382,.246,.319,.415,.734,108,.326,110,2287,105,92,10,36,11,,,-9999
