Name,Age,Yrs,Acquired,SrvTm,Agent,Contract-Status,2024,2025,2026,2027,2028,2029,2030,2031,Name-additional
Francisco Lindor,30,10,Traded,8.113,SportsMeter,10 yrs/$341M (22-31),$34.1M,$34.1M,$34.1M,$34.1M,$34.1M,$34.1M,$34.1M,$34.1M,lindofr01
Brandon Nimmo,31,9,Free Agency,7.042,CAA Sports,8 yrs/$162M (23-30),$20.5M,$20.5M,$20.5M,$20.5M,$20.5M,$20.5M,$20.5M,FA,nimmobr01
Starling Marte,35,13,Free Agency,10.162,Rep 1 Baseball,4 yrs/$78M (22-25),$20.75M,$20.75M,FA,,,,,,martest01
Kodai Senga,31,2,Free Agency,1.000,Wasserman,5 yrs/$75M (23-27) & 28 team option,$15M,$15M,$15M,$15M,$0 [Arb-*],FA,,,sengako01
Edwin Díaz,30,8,Hs,7.121,Wasserman,3 yrs/$64M (23-25) & 26-28 player/team option,$21.25M,$21.5M,$0 [FA-*],$0 [FA-*],$0 [FA-*],FA,,,diazed04
Jeff McNeil,32,7,Amateur Draft,5.069,TWC,4 yrs/$50M (23-26) & 27 team option,$10.25M,$15.75M,$15.75M,$2M [FA-*],FA,,,,mcneije01
Jose Quintana,35,13,Free Agency,11.133,Wasserman,2 yrs/$26M (23-24),$13M,FA,,,,,,,quintjo01
Pete Alonso,29,6,Amateur Draft,5.000,Boras Corporation,1 yr/$20.5M (24),$20.5M,FA,,,,,,,alonspe01
Brooks Raley,36,7,Traded,4.045,Vanguard Sports G...,3 yrs/$15.25M (22-24),$6.5M,Arb,FA,,,,,,raleybr01
Sean Manaea,32,9,Free Agency,7.157,Boras Corporation,1 yr/$14.5M (24) & 25 player option,$14.5M,$0 [FA-*],FA,,,,,,manaese01
Luis Severino,30,9,Free Agency,7.170,Rep 1 Baseball,1 yr/$13M (24),$13M,FA,,,,,,,severlu01
J.D. Martinez,36,14,Free Agency,12.036,Boras Corporation,1 yr/$12M (24),$12M,FA,,,,,,,martijd02
Harrison Bader,30,8,Free Agency,6.030,Vayner Sports,1 yr/$10.5M (24),$10.5M,FA,,,,,,,baderha01
Phil Maton,31,8,Purchased,6.047,Paragon Sports In...,1 yr/$6.25M (24) & 25 team option,$6.25M,$0 [FA-*],FA,,,,,,matonph01
Adam Ottavino,38,14,Free Agency,12.087,,1 yr/$4.5M (24),$4.5M,FA,,,,,,,ottavad01
Ryne Stanek,32,8,Traded,6.038,MVP Sports Group,1 yr/$4M (24),$4M,FA,,,,,,,stanery01
Paul Blackburn,30,8,Traded,4.018,Sosnick Cobbe & K...,1 yr/$3.45M (24),$3.45M,Arb,FA,,,,,,blackpa01
Shintaro Fujinami,30,1st,,1.000,,1 yr/$3.35M (24),$3.35M,Pre-Arb,Arb,Arb,Arb,FA,,,fujinsh01
DJ Stewart,30,7,Free Agency,2.168,Boras Corporation,1 yr/$1.38M (24),$1.38M,Arb,Arb,Arb,FA,,,,stewadj01
Alex Young,30,6,Waivers,3.143,Wasserman,1 yr/$1.16M (24),$1.16M,Arb,Arb,FA,,,,,youngal01
Drew Smith,30,6,Traded,5.034,SSG Baseball,1 yr/$2.23M (24),$2.23M,FA,,,,,,,smithdr01
David Peterson,28,5,Amateur Draft,3.089,CAA Sports,1 yr/$2.15M (24),$2.15M,Arb,Arb,FA,,,,,peterda01
Tyrone Taylor,30,6,Traded,3.093,Wasserman,1 yr/$2.03M (24),$2.02M,Arb,Arb,FA,,,,,tayloty01
Jesse Winker,30,8,Traded,6.080,Excel Sports Mana...,1 yr/$2M (24),$2M,FA,,,,,,,winkeje01
Joey Lucchesi,31,6,Traded,4.112,CAA Sports,1 yr/$1.65M (24),$1.65M,Arb,FA,,,,,,lucchjo01
Brett Baty,24,3,Amateur Draft,1.022,,1 yr/$750k (24),$750k,Pre-Arb,Arb,Arb,Arb,FA,,,batybr01
José Azocar,28,3,,1.097,,1 yr/$746k (24),$745.7k,Pre-Arb,Arb,Arb,Arb,FA,,,azocajo01
Grant Hartwig,26,2,Free Agency,0.105,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,hartwgr01
