Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fldpct,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,PB,WP,SB,CS,CSpct,lgCSpct,PO,Pos-Summary,Name-additional
Luisangel Acuña,22,12,10,9,95.2,45,9,35,1,3,0.978,2,30,1,13,-1,4.14,2.93,,,,,,,,SS-2B-DH,acunajo01
Ty Adcock,27,3,0,0,4.1,0,0,0,0,0,,,,0,0,,0,0,,,0,0,,,0,P,adcocty01
Pete Alonso,29,161,159,157,1412.1,1285,1179,99,7,117,0.995,-1,-1,-3,-3,2,8.14,7.89,,,,,,,,1B-DH,alonspe01
Eddy Alvarez,34,12,3,0,38,18,9,9,0,1,1,1,20,1,32,0,4.26,1.38,,,0,0,,,0,2B-SS-P,alvared01
Francisco Alvarez,22,96,82,70,726,806,775,25,6,1,0.993,-6,-11,-1,-2,-8,9.92,8.08,11,40,66,14,0.18,0.20,3,C-DH,alvarfr01
Harrison Bader,30,140,108,97,1025.1,283,278,1,4,0,0.986,14,17,-2,-2,-1,2.45,1.98,,,,,,,,CF-DH,baderha01
Brett Baty,24,47,43,33,380,122,33,87,2,10,0.984,1,2,-1,-3,0,2.84,2.55,,,,,,,,3B,batybr01
Paul Blackburn,30,5,5,0,24.1,8,0,8,0,0,1,,,2,16,0,2.96,1.6,,,1,1,0.50,0.21,3,P,blackpa01
Huascar Brazobán,34,19,0,0,21,4,3,0,1,0,0.75,,,-1,-10,0,1.29,0.16,,,1,0,0.00,0.20,0,P,brazohu01
José Buttó,26,30,7,0,74,10,5,5,0,1,1,,,2,5,0,1.22,0.33,,,3,3,0.50,0.20,0,P,buttojo01
Edwin Díaz,30,55,0,0,53.2,5,1,3,1,0,0.8,,,-5,-19,0,0.67,0.07,,,22,1,0.04,0.20,0,P,diazed04
Jake Diekman,37,43,0,0,32,9,4,3,2,0,0.778,,,-1,-6,0,1.97,0.16,,,5,2,0.29,0.20,2,P,diekmja01
Matt Festa,31,1,0,0,1,0,0,0,0,0,,,,0,0,,0,0,,,0,0,,,0,P,festama01
Ben Gamel,32,15,8,3,75,13,13,0,0,0,1,0,6,-1,-16,0,1.56,0.68,,,,,,,,RF-LF-DH,gamelbe01
Reed Garrett,31,53,0,0,57.1,9,1,7,1,0,0.889,,,1,3,0,1.26,0.15,,,7,2,0.22,0.20,3,P,garrere01
Grant Hartwig,26,4,0,0,6.2,0,0,0,0,0,,,,0,0,,0,0,,,0,0,,,0,P,hartwgr01
Adrian Houser,31,23,7,0,69.1,15,4,11,0,1,1,,,3,9,1,1.95,0.65,,,8,4,0.33,0.20,0,P,housead01
Joe Hudson,33,1,0,0,1,2,2,0,0,0,1,0,24,0,0,0,18,2,0,0,0,0,,,0,C,hudsojo03
Jose Iglesias,34,85,69,47,625,250,91,156,3,38,0.988,0,0,4,8,2,3.56,2.4,,,,,,,,2B-3B-SS,iglesjo01
