Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,number,Thr,Opp-Starter-GmeSc
1,1,Mar 29,,MIL,L1-3,29,27,1,1,0,0,1,1,2,0,10,0,0,0,0,0,0,0,.037,.103,.148,.252,1,9,R,F.Peralta(73)
2,2,Mar 30,,MIL,L6-7,41,38,6,12,0,0,3,6,2,0,6,1,0,0,0,0,0,0,.200,.257,.385,.642,8,11,L,D.Hall(41)
3,3,Mar 31,,MIL,L1-4,36,34,1,7,2,0,0,1,2,0,7,0,0,0,0,0,0,0,.202,.255,.343,.598,8,9,R,C.Rea(53)
4,4,Apr 1,,DET,L0-5,38,34,0,5,1,0,0,0,3,0,8,1,0,0,0,1,0,0,.188,.250,.301,.551,9,11,R,R.Olson(64)
5,5,Apr 4 (1),,DET,L3-6,48,38,3,6,1,0,0,3,8,0,13,2,0,0,0,1,2,0,.181,.271,.275,.546,14,12,R,C.Mize(43)
6,6,Apr 4 (2),,DET,W2-1,33,26,2,3,0,0,1,2,5,0,5,0,2,0,0,0,0,0,.173,.269,.269,.538,6,11,R,M.Manning(68)
7,7,Apr 5,@,CIN,W3-2,38,30,3,4,0,0,1,3,5,0,10,2,0,1,0,0,1,1,.167,.272,.264,.536,8,10,R,H.Greene(67)
8,8,Apr 6,@,CIN,L6-9,41,38,6,11,2,0,0,6,2,0,7,1,0,0,0,0,2,0,.185,.281,.275,.557,8,9,R,N.Martinez(36)
9,9,Apr 7,@,CIN,W3-1,38,35,3,9,2,0,1,2,2,0,5,1,0,0,0,1,0,0,.193,.285,.290,.575,8,9,L,A.Abbott(45)
10,10,Apr 8,@,ATL,W8-7,42,35,8,11,0,0,3,8,7,0,8,0,0,0,0,2,0,1,.206,.301,.319,.620,7,10,R,C.Morton(42)
11,11,Apr 9,@,ATL,L5-6,40,37,5,12,2,0,1,5,3,0,8,0,0,0,1,2,0,0,.218,.308,.333,.641,8,10,R,R.López(69)
12,12,Apr 11,@,ATL,W16-4,48,44,16,16,3,1,2,14,4,0,3,0,0,0,2,1,1,0,.233,.319,.363,.682,5,11,R,A.Winans(24)
13,13,Apr 12,,KCR,W6-1,37,35,6,14,2,0,1,6,2,0,5,0,0,0,0,3,1,0,.246,.327,.377,.704,7,10,R,M.Wacha(34)
14,14,Apr 13,,KCR,L7-11,39,35,7,9,1,0,3,7,3,0,6,0,0,1,0,0,0,0,.247,.326,.389,.715,5,10,R,A.Marsh(42)
15,15,Apr 14,,KCR,W2-1,38,30,2,8,0,0,0,2,6,0,8,1,1,0,0,0,0,0,.248,.331,.382,.713,12,10,L,C.Ragans(69)
