Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,number,Umpire,Pitchers-Used-Rest-GameScore-Dec
1,1,Mar 29,,MIL,L1-3,9.0,8,3,3,0,3,7,1,0,3.00,36,142,81,2,0,1,0,32,1,0,0,0,1,0,2,4,Alfonso Márquez,J.Quintana (99-46-L) D.Smith (99) J.López (99) M.Tonkin (99)
2,2,Mar 30,,MIL,L6-7,9.0,15,7,4,3,1,12,1,0,3.50,45,159,118,1,0,4,0,44,1,0,0,0,0,2,0,6,Lance Barrett,L.Severino (99-33-L) J.Diekman (99) Y.Ramírez (99) J.López (0) A.Ottavino (99) E.Díaz (99)
3,3,Mar 31,,MIL,L1-4,9.0,9,4,3,1,6,10,0,1,3.33,41,160,96,0,0,3,0,33,4,0,1,0,0,0,1,4,Jonathan Parra,T.Megill (99-51-L) Y.Ramírez (0) D.Smith (1) B.Raley (99)
4,4,Apr 1,,DET,L0-5,10.0,4,5,0,5,3,12,1,1,2.43,37,159,98,0,0,0,0,32,0,0,0,0,1,1,1,5,Lance Barksdale,S.Manaea (99-76) J.López (1) B.Raley (0) E.Díaz (1) M.Tonkin (2-L)
5,5,Apr 4(1),,DET,L3-6,11.0,9,6,4,2,5,8,1,1,2.62,47,170,112,4,2,0,0,40,1,0,0,0,1,0,0,8,Angel Hernandez,A.Houser (99-57) B.Raley (2-H) D.Smith (3-H) J.Diekman (4-H) A.Ottavino (4-BSv) E.Díaz (2) J.López (2) M.Tonkin (2-L)
6,6,Apr 4(2),,DET,W2-1,9.0,5,1,1,0,4,10,0,0,2.37,34,135,78,0,0,2,0,30,0,0,0,0,0,0,2,2,Nic Lentz,J.Buttó (99-65) R.Garrett (99-W)
7,7,Apr 5,@,CIN,W3-2,9.0,7,2,1,1,6,9,1,0,2.18,41,153,87,4,0,0,0,34,2,0,0,0,1,1,0,5,Dan Merzel,J.Quintana (6-55) D.Smith (0-W) B.Raley (0-H) A.Ottavino (0-H) E.Díaz (0-Sv)
8,8,Apr 6,@,CIN,L6-9,8.0,8,9,8,1,5,11,1,1,2.92,40,170,106,0,0,3,0,33,1,1,0,0,1,1,0,3,Jordan Baker,L.Severino (6-60) J.Diekman (1-H) Y.Ramírez (5-BL)
9,9,Apr 7,@,CIN,W3-1,9.0,3,1,1,0,5,12,0,2,2.71,36,156,99,0,0,4,0,28,0,0,0,0,1,0,1,5,Stu Scheurwater,S.Manaea (5-61-W) J.López (2-H) B.Raley (1-H) A.Ottavino (1-H) E.Díaz (1-Sv)
10,10,Apr 8,@,ATL,W8-7,9.0,12,7,7,0,7,12,1,0,3.13,44,193,111,4,1,1,0,37,3,0,0,0,0,0,1,6,Junior Valentine,J.Teheran (99-31) R.Garrett (3) C.Sulser (99) J.Diekman (1-W) D.Smith (2-H) J.López (0-Sv)
