Rk,Pos,Name,Age,W,L,W-Lpct,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERAplus,FIP,WHIP,H9,HR9,BB9,SO9,SO-W,Name-additional
1,SP,Luis Severino,30,11,7,.611,3.91,31,31,0,1,1,0,182.0,166,86,79,23,60,0,161,11,2,6,761,101,4.21,1.242,8.2,1.1,3.0,8.0,2.68,severlu01
2,SP,Sean Manaea*,32,12,6,.667,3.47,32,32,0,0,0,0,181.2,134,75,70,21,63,0,184,9,0,4,738,114,3.83,1.084,6.6,1.0,3.1,9.1,2.92,manaese01
3,SP,Jose Quintana*,35,10,10,.500,3.75,31,31,0,0,0,0,170.1,150,73,71,22,63,0,135,11,0,7,717,105,4.56,1.250,7.9,1.2,3.3,7.1,2.14,quintjo01
4,SP,David Peterson*,28,10,3,.769,2.90,21,21,0,0,0,0,121.0,110,44,39,8,46,0,101,7,1,4,510,136,3.67,1.289,8.2,0.6,3.4,7.5,2.20,peterda01
5,SP,Tylor Megill,28,4,5,.444,4.04,16,15,0,0,0,0,78.0,70,39,35,8,32,0,91,4,0,4,337,98,3.55,1.308,8.1,0.9,3.7,10.5,2.84,megilty01
6,CL,Edwin Díaz,30,6,4,.600,3.52,54,0,40,0,0,20,53.2,36,23,21,7,20,0,84,3,0,3,216,112,3.02,1.043,6.0,1.2,3.4,14.1,4.20,diazed04
7,RP,Reed Garrett,31,8,5,.615,3.77,53,0,13,0,0,4,57.1,50,28,24,6,30,1,83,2,0,3,247,105,3.31,1.395,7.8,0.9,4.7,13.0,2.77,garrere01
8,RP,Adam Ottavino,38,2,2,.500,4.34,60,0,9,0,0,1,56.0,49,29,27,6,23,1,70,7,0,5,245,91,3.67,1.286,7.9,1.0,3.7,11.3,3.04,ottavad01
9,RP,Danny Young*,30,4,1,.800,4.54,42,0,13,0,0,0,37.2,29,22,19,3,18,1,48,7,0,5,165,87,3.64,1.248,6.9,0.7,4.3,11.5,2.67,youngda02
10,RP,Jake Diekman*,37,2,3,.400,5.63,43,0,10,0,0,4,32.0,23,24,20,7,24,0,40,4,0,2,145,71,6.14,1.469,6.5,2.0,6.8,11.3,1.67,diekmja01
11,,José Buttó,26,7,3,.700,2.55,30,7,5,0,0,3,74.0,41,21,21,6,38,0,79,5,1,2,294,155,3.83,1.068,5.0,0.7,4.6,9.6,2.08,buttojo01
12,,Adrian Houser,31,1,5,.167,5.84,23,7,9,0,0,1,69.1,74,48,45,8,32,0,45,4,0,2,309,68,4.93,1.529,9.6,1.0,4.2,5.8,1.41,housead01
13,,Christian Scott,25,0,3,.000,4.56,9,9,0,0,0,0,47.1,45,24,24,8,12,0,39,2,0,0,197,87,4.60,1.204,8.6,1.5,2.3,7.4,3.25,scottch01
14,,Dedniel Núñez,28,2,0,1.000,2.31,25,0,3,0,0,1,35.0,24,11,9,3,8,1,48,0,2,1,135,172,2.22,0.914,6.2,0.8,2.1,12.3,6.00,nunezde01
15,,Phil Maton,31,2,1,.667,2.51,31,0,6,0,0,1,28.2,18,8,8,1,6,0,30,4,0,0,113,159,2.57,0.837,5.7,0.3,1.9,9.4,5.00,matonph01
