Name,Age,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWLpct,162WLpct,oWAR,dWAR,oRAR,Salary,Acquired,Pos-Summary,Name-additional
Luisangel Acuña,22,14,40,3,-1,0,1,1,4,0.4,1,5,0.5,.528,.502,0.4,0.2,4,,Traded,6/DH4,acunajo01
Pete Alonso,29,162,695,17,-3,-1,-3,-8,3,0.4,23,27,2.6,.502,.502,2.9,-1.1,30,$20500000,Amateur Draft,*3/DH,alonspe01
Eddy Alvarez*,34,12,11,-2,1,0,1,0,0,0.0,0,1,0.1,.501,.500,-0.1,0.1,-1,,Purchased,4/H16,alvared01
Francisco Alvarez,22,100,342,3,-3,0,-8,6,-3,-0.3,12,9,0.8,.497,.498,1.7,-0.2,17,$762500,Free Agency,2/HD,alvarfr01
Harrison Bader,30,143,437,-8,1,1,-2,3,-5,-0.5,15,10,0.9,.497,.497,1.1,0.1,12,$10500000,Free Agency,*8H/D,baderha01
Brett Baty*,24,50,171,-3,0,1,-1,1,-2,-0.2,6,4,0.3,.496,.499,0.4,0.0,5,$750000,Amateur Draft,5/H,batybr01
Edwin Díaz,30,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$21250000,Hs,1,diazed04
Jake Diekman,37,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$4000000,Free Agency,1,diekmja01
Ben Gamel*,32,18,30,1,0,0,-1,-1,-1,-0.1,1,0,0.0,.496,.500,0.1,-0.2,1,,Free Agency,9/7HD,gamelbe01
Joe Hudson,33,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,$740000,Purchased,/2,hudsojo03
Jose Iglesias,34,85,291,12,0,2,4,3,21,2.1,10,31,3.1,.525,.513,2.7,0.7,27,,Free Agency,45/H6,iglesjo01
Francisco Lindor#,30,152,689,32,5,1,1,9,48,4.8,22,70,6.9,.532,.530,6.8,1.0,69,$34100000,Traded,*6/DH,lindofr01
Jorge López,31,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$2000000,Free Agency,1,lopezjo02
Starling Marte,35,94,370,3,3,-1,-6,-4,-5,-0.5,13,8,0.7,.494,.497,1.3,-1.0,14,$20750000,Free Agency,9/DH,martest01
J.D. Martinez,36,120,495,4,-2,-3,0,-10,-10,-1.1,17,7,0.5,.491,.493,0.6,-1.1,7,$12000000,Free Agency,*D/H,martijd02
Jeff McNeil*,32,129,472,-1,-3,1,1,2,1,0.1,16,17,1.6,.501,.500,1.5,0.4,16,$10250000,Amateur Draft,*497/H,mcneije01
Omar Narváez*,32,28,69,-8,0,0,-4,1,-11,-1.1,2,-9,-0.9,.459,.493,-0.5,-0.3,-5,$7000000,Free Agency,2,narvaom01
Tomás Nido,30,32,90,-2,0,0,-2,2,-2,-0.2,3,1,0.1,.493,.499,0.3,0.0,3,$2100000,Amateur Draft,2/H,nidoto01
Brandon Nimmo*,31,151,663,8,0,1,-3,-4,2,0.2,22,24,2.2,.501,.501,2.6,-0.8,27,$20500000,Free Agency,*78/DH,nimmobr01
Pablo Reyes,30,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.503,.500,0.0,0.0,0,,Purchased,/DH,reyespa01
Zack Short,29,10,12,-1,-1,0,0,0,-2,-0.2,0,-1,-0.1,.484,.499,-0.1,0.0,-1,,Waivers,/H54D6,shortza01
DJ Stewart*,30,74,194,-2,-2,-1,-5,-4,-13,-1.4,7,-7,-0.8,.481,.491,-0.2,-0.9,-2,$1380000,Free Agency,9HD7/3,stewadj01
Tyrone Taylor,30,130,345,1,1,0,10,-3,9,0.9,12,20,2.0,.507,.506,1.0,0.7,10,$2025000,Traded,*98H7/D,tayloty01
Luis Torrens,28,47,130,-2,-1,-1,4,2,3,0.3,4,7,0.7,.507,.502,0.3,0.7,3,,Purchased,2/HD1,torrelu01
Mark Vientos,24,111,454,19,-1,0,-5,3,16,1.7,16,32,3.1,.515,.510,3.7,-0.3,37,$740000,Amateur Draft,5/H3D,vientma01
Joey Wendle*,34,18,37,-3,1,0,-1,1,-2,-0.2,1,-1,-0.1,.487,.499,0.0,-0.1,0,$2000000,Free Agency,/456,wendljo01
Jesse Winker*,30,44,129,-1,0,0,0,-2,-3,-0.3,4,2,0.1,.493,.498,0.1,-0.2,2,,Traded,97HD,winkeje01
Team Total,30,1729,6166,70,-4,1,-19,0,48,4.7,208,255,24.3,.503,.503,26.4,-2.1,274,$173347500,,,-9999
