Name,Age,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,RA9extras,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWLpct,162WLpct,Salary,Acquired,Name-additional
Ty Adcock,27,4.1,3,0,7,14.54,4.46,0.11,-0.30,0.00,97.0,3.94,-5,-0.5,.71,0.1,-0.4,-5,.347,.497,$740000,Waivers,adcocty01
Eddy Alvarez,34,1.0,1,0,0,0.00,5.04,0.09,-0.33,0.00,90.0,4.16,0,0.0,.00,0.0,0.0,1,.550,.500,,Purchased,alvared01
Paul Blackburn,30,24.1,5,5,16,5.92,3.78,0.09,0.17,0.00,102.9,3.98,-5,-0.5,,0.0,-0.3,-3,.398,.497,,Traded,blackpa01
Huascar Brazobán,34,21.0,19,0,12,5.14,4.36,0.08,-0.29,0.00,96.7,3.85,-3,-0.3,.73,0.0,-0.1,-1,.483,.498,,Traded,brazohu01
José Buttó,26,74.0,30,7,21,2.55,4.38,0.07,-0.04,0.08,94.0,4.09,12,1.3,1.75,0.1,2.2,20,.545,.508,$740000,Free Agency,buttojo01
Edwin Díaz,30,53.2,54,0,23,3.86,4.42,0.06,-0.29,0.10,96.1,4.01,1,0.1,1.78,-0.1,0.5,6,.501,.500,$21250000,Hs,diazed04
Jake Diekman*,37,32.0,43,0,24,6.75,4.65,0.07,-0.31,0.35,95.1,4.39,-8,-0.9,1.34,-0.2,-0.8,-5,.480,.495,$4000000,Free Agency,diekmja01
Matt Festa,31,1.0,1,0,5,45.00,4.73,0.18,-0.32,5.56,90.0,8.81,-4,-0.3,3.94,-0.4,-0.7,-4,.209,.498,,Free Agency,festama01
Reed Garrett,31,57.1,53,0,28,4.40,4.50,0.07,-0.30,0.29,94.0,4.16,-2,-0.2,1.49,-0.2,0.2,4,.497,.499,$740000,Waivers,garrere01
Grant Hartwig,26,6.2,4,0,6,8.10,4.69,0.09,-0.31,0.00,99.3,4.26,-3,-0.3,.15,0.1,-0.1,-2,.430,.498,$740000,Free Agency,hartwgr01
Adrian Houser,31,69.1,23,7,48,6.23,4.60,0.10,-0.06,0.00,93.7,4.17,-16,-1.6,.68,0.0,-0.9,-9,.431,.490,$5050000,Traded,housead01
Tyler Jay*,30,4.2,3,0,5,9.64,4.27,0.11,-0.28,1.19,96.0,4.86,-2,-0.2,.09,0.1,-0.1,-2,.419,.499,,Free Agency,jayty01
Jorge López,31,26.1,28,0,13,4.44,4.56,0.09,-0.30,0.85,93.3,4.68,1,0.1,1.29,-0.1,0.3,3,.502,.500,$2000000,Free Agency,lopezjo02
Joey Lucchesi*,31,10.1,2,2,6,5.23,4.62,0.09,0.21,0.00,98.2,4.65,-1,-0.1,,0.0,0.0,0,.465,.500,$1650000,Traded,lucchjo01
Sean Manaea*,32,181.2,32,32,75,3.72,4.49,0.08,0.21,0.00,95.4,4.40,13,1.4,,-0.1,3.0,31,.545,.509,$14500000,Free Agency,manaese01
Phil Maton,31,28.2,31,0,8,2.51,4.29,0.08,-0.29,0.19,95.7,3.94,4,0.5,1.16,0.0,0.7,7,.515,.503,,Purchased,matonph01
Tylor Megill,28,78.0,16,15,39,4.50,4.50,0.08,0.19,0.00,93.5,4.31,-2,-0.2,.33,-0.1,0.5,6,.488,.499,$766250,Amateur Draft,megilty01
Dedniel Núñez,28,35.0,25,0,11,2.83,4.53,0.07,-0.30,0.16,95.5,4.12,5,0.5,1.15,-0.1,0.8,8,.521,.503,$740000,Waivers--return,nunezde01
Eric Orze,26,1.2,2,0,4,21.60,5.12,0.12,-0.34,0.00,93.3,4.34,-3,-0.3,.39,0.1,-0.2,-3,.355,.498,,Amateur Draft,orzeer01
Adam Ottavino,38,56.0,60,0,29,4.66,4.55,0.08,-0.30,0.10,95.1,4.06,-4,-0.4,1.02,-0.2,0.0,2,.493,.497,$4500000,Free Agency,ottavad01
David Peterson*,28,121.0,21,21,44,3.27,4.54,0.09,0.21,0.00,97.1,4.53,16,1.8,,-0.1,2.9,28,.587,.511,$2150000,Amateur Draft,peterda01
Jose Quintana*,35,170.1,31,31,73,3.86,4.56,0.09,0.21,0.00,94.0,4.41,10,1.0,,-0.1,2.5,26,.534,.506,$13000000,Free Agency,quintjo01
Brooks Raley*,36,7.0,8,0,0,0.00,4.28,0.06,-0.29,0.00,95.7,3.77,3,0.3,1.91,0.1,0.5,4,.539,.502,$6500000,Traded,raleybr01
Yohan Ramírez,29,8.1,5,0,7,7.56,4.39,0.09,-0.29,0.00,97.0,3.89,-3,-0.3,.78,0.0,-0.2,-3,.432,.498,,Waivers,ramiryo01
Sean Reid-Foley,28,21.2,23,0,10,4.15,4.61,0.07,-0.31,0.51,92.9,4.41,1,0.1,1.17,-0.1,0.2,3,.502,.500,,Free Agency,reidfse01
