Name,Age,Birth,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,,Name-additional
Luisangel Acuña,22,ve VE,R,R,5' 8",181,Mar 12 2002,1st,14,10,14,12,0,0,0,1,0,12,0,0,0,0,2,0,2,0.5,,,acunajo01
Ty Adcock,27,us US,R,R,6' 0",213,Feb 7 1997,2,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,$740000,,adcocty01
Pete Alonso,29,us US,R,R,6' 3",245,Dec 7 1994,6,162,160,162,161,0,0,161,0,0,0,0,0,0,0,1,1,0,2.6,$20500000,All-Star,alonspe01
Eddy Alvarez,34,us US,L,R,5' 8",178,Jan 30 1990,4,13,3,12,12,1,0,0,11,0,1,0,0,0,0,0,0,2,0.1,,,alvared01
Francisco Alvarez,22,ve VE,R,R,5' 10",233,Nov 19 2001,3,100,85,100,96,0,96,0,0,0,0,0,0,0,0,3,5,0,0.8,$762500,,alvarfr01
Harrison Bader,30,us US,R,R,6' 0",210,Jun 3 1994,8,143,108,143,140,0,0,0,0,0,0,0,140,0,140,1,11,4,0.9,$10500000,,baderha01
Brett Baty,24,us US,L,R,6' 2",210,Nov 13 1999,3,50,43,50,47,0,0,0,0,47,0,0,0,0,0,0,6,1,0.3,$750000,,batybr01
Paul Blackburn,30,us US,R,R,6' 1",196,Dec 4 1993,8,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,,,blackpa01
Huascar Brazobán,34,do DO,R,R,6' 3",155,Oct 15 1989,3,19,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,,brazohu01
José Buttó,26,ve VE,R,R,6' 1",202,Mar 19 1998,3,30,7,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,2.2,$740000,,buttojo01
Edwin Díaz,30,pr PR,R,R,6' 3",165,Mar 22 1994,8,55,0,1,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0.5,$21250000,,diazed04
Jake Diekman,37,us US,R,L,6' 4",195,Jan 21 1987,13,43,0,1,43,43,0,0,0,0,0,0,0,0,0,0,0,0,-0.8,$4000000,,diekmja01
Matt Festa,31,us US,R,R,6' 1",195,Mar 11 1993,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,,,festama01
