Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPSplus,rOBA,Rbatplus,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Keibert Ruiz#,25,C,0.6,127,485,459,46,105,21,0,13,57,3,1,16,54,.229,.260,.359,.619,74,.270,70,165,13,5,0,5,0,*2D/H,,ruizke01
2,Joey Gallo*,30,1B,0.3,76,260,223,24,36,9,0,10,27,3,1,32,102,.161,.277,.336,.613,74,.282,78,75,1,4,0,1,0,3/9HD7,,gallojo01
3,Luis García Jr.*,24,2B,2.2,140,528,500,58,141,25,1,18,70,22,5,27,86,.282,.318,.444,.762,115,.336,114,222,12,0,0,1,2,*4H/D,,garcilu04
4,CJ Abrams*,23,SS,3.4,138,602,541,79,133,29,6,20,65,31,12,40,128,.246,.314,.433,.747,110,.324,108,234,4,16,1,4,3,*6/H,AS,abramcj01
5,Trey Lipscomb,24,3B,-0.1,61,211,190,20,38,3,0,1,10,11,2,16,40,.200,.268,.232,.500,45,.248,48,44,7,2,1,1,0,5/3H4D,,lipsctr01
6,James Wood*,21,LF,1.1,79,336,295,43,78,13,4,9,41,14,8,39,97,.264,.354,.427,.781,122,.343,124,126,1,2,0,0,1,7,,woodja03
7,Jacob Young,24,CF,2.6,150,521,468,75,120,24,1,3,36,33,10,30,102,.256,.316,.331,.648,86,.299,87,155,11,12,9,2,0,*8/HD,,youngja03
8,Lane Thomas,28,RF,0.5,77,341,300,42,76,16,3,8,40,28,12,32,72,.253,.331,.407,.738,109,.334,115,122,4,5,0,4,0,9/8D,,thomala02
9,Jesse Winker*,30,DH,1.9,101,379,315,51,81,18,0,11,45,14,4,53,84,.257,.374,.419,.793,126,.358,131,132,9,7,2,2,2,7D/H9,,winkeje01
10,Joey Meneses,32,1B,-0.5,76,313,281,19,65,11,0,3,42,2,0,21,63,.231,.291,.302,.593,70,.280,76,85,9,5,0,6,1,3D/H,,menesjo01
11,Ildemaro Vargas#,32,IF,-0.5,95,303,272,21,67,16,0,1,30,9,4,19,31,.246,.295,.316,.611,75,.273,72,86,9,2,5,5,0,547H/613D,,vargail01
12,Juan Yepez,26,1B,0.6,62,249,226,32,64,15,0,6,26,2,1,18,42,.283,.335,.429,.764,116,.337,118,97,9,1,1,3,0,3D/H,,yepezju01
13,Nick Senzel,29,3B,-0.7,64,235,206,25,43,10,0,7,18,1,3,27,53,.209,.303,.359,.663,88,.291,89,74,6,1,0,0,1,5D/H,,senzeni01
14,Eddie Rosario*,32,OF,-1.2,67,235,219,26,40,11,0,7,26,8,1,13,54,.183,.226,.329,.555,56,.254,54,72,4,0,1,2,0,97D8/H,,rosared01
15,José Tena*,23,3B,0.3,41,164,157,14,43,5,0,3,15,6,1,7,39,.274,.305,.363,.668,90,.297,86,57,1,0,0,0,0,5/4,,tenajo01
16,Andrés Chaparro,25,DH,-0.1,33,132,121,12,26,12,0,4,15,1,1,7,24,.215,.280,.413,.694,95,.305,97,50,3,4,0,0,0,D3,,chapaan01
17,Dylan Crews,22,RF,0.6,31,132,119,12,26,5,1,3,8,12,3,11,26,.218,.288,.353,.641,82,.296,82,42,4,1,0,1,0,9/8,,crewsdy01
18,Riley Adams,28,C,0.2,41,130,116,10,26,5,1,2,8,1,0,10,35,.224,.292,.336,.629,79,.292,84,39,4,2,0,2,1,2/DH,,adamsri03
19,Alex Call,29,RF,1.5,30,113,99,15,34,9,0,3,14,5,1,12,19,.343,.425,.525,.950,169,.429,181,52,2,2,0,0,0,9/87H,,callal02
20,Nasim Nuñez#,23,SS,0.7,51,78,61,14,15,1,0,0,1,8,2,12,15,.246,.370,.262,.632,85,.331,106,16,1,0,5,0,0,6H/4D,,nunezna01
21,Harold Ramírez,29,DH,-0.2,25,77,74,7,18,4,1,1,16,1,0,2,17,.243,.273,.365,.638,80,.278,74,27,0,1,0,0,0,D/H,,ramirha02
22,Drew Millas#,26,C,0.4,20,62,57,7,14,1,0,1,1,4,0,5,16,.246,.306,.316,.622,78,.302,82,18,1,0,0,0,0,2/HD,,milladr01
23,Víctor Robles,27,OF,0.1,14,33,25,3,3,0,0,0,2,4,1,5,9,.120,.281,.120,.401,21,.254,48,3,0,1,1,1,0,/89H,,roblevi01
24,Travis Blankenhorn*,27,DH,-0.5,13,32,31,2,4,1,0,0,5,0,0,1,9,.129,.156,.161,.318,-9,.144,-21,5,0,0,0,0,0,D/9H,,blanktr01
25,Darren Baker*,25,UT,0.0,9,14,14,1,7,2,0,0,0,0,0,0,3,.500,.500,.643,1.143,223,.483,224,9,0,0,0,0,0,/H4D7,,bakerda02
26,Stone Garrett,28,DH,0.3,2,6,5,2,3,1,0,1,3,0,0,1,0,.600,.667,1.400,2.067,468,.807,455,7,0,0,0,0,0,/DH,,garrest01
27,Derek Law,33,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,lawde01
28,Kyle Finnegan,32,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,AS,finneky01
,Team Totals,,,13.5,162,5971,5374,660,1306,267,18,135,621,223,73,456,1220,.243,.309,.375,.684,94,.308,95,2014,115,73,26,40,11,,,-9999
