Name,Age,Yrs,Acquired,SrvTm,Agent,Contract-Status,2024,2025,2026,2027,2028,2029,2030,2031,2032,Name-additional
Patrick Corbin,34,12,Free Agency,11.105,ISE Baseball,6 yrs/$140M (19-24),$35.4M,FA,,,,,,,,corbipa01
Keibert Ruiz,25,5,Traded,2.064,Boras Corporation,8 yrs/$50M (23-30) & 31-32 team option,$6.38M,$5.38M,$5.38M,$5.38M,$7.38M,$9.38M,$9.38M,$0 [FA-*],$0 [FA-*],ruizke01
Trevor Williams,32,9,Free Agency,7.027,John Boggs & Asso...,2 yrs/$13M (23-24),$7M,FA,,,,,,,,willitr01
Kyle Finnegan,32,5,Free Agency,4.000,Warner Sports Man...,1 yr/$5.1M (24),$5.1M,Arb,FA,,,,,,,finneky01
Joey Gallo,30,10,Free Agency,7.103,Boras Corporation,1 yr/$5M (24) & 25 mutual option,$2.5M,$2.5M [FA-*],FA,,,,,,,gallojo01
Luis García Jr.,24,5,Amateur Free Agent,2.142,Topline Sports & ...,1 yr/$1.95M (24),$1.95M,Arb,Arb,Arb,FA,,,,,garcilu04
CJ Abrams,23,3,Traded,1.130,,1 yr/$752k (24),$752.4k,Pre-Arb,Arb,Arb,Arb,FA,,,,abramcj01
Joey Meneses,32,3,Free Agency,1.065,,1 yr/$752k (24),$752k,Pre-Arb,Arb,Arb,Arb,FA,,,,menesjo01
Michael Rucker,30,3,,1.156,,1 yr/$752k (24),$751.5k,Arb,Arb,Arb,Arb,FA,,,,ruckemi01
Riley Adams,28,4,Traded,2.050,,1 yr/$751k (24),$750.9k,Arb,Arb,Arb,FA,,,,,adamsri03
Tanner Rainey,31,7,Traded,4.127,,1 yr/$1.5M (24),$1.5M,Arb,FA,,,,,,,raineta01
Derek Law,33,8,Free Agency,4.081,CAA Sports,1 yr/$1.5M (24),$1.5M,Arb,FA,,,,,,,lawde01
Thaddeus Ward,27,1st,Waivers,1.000,,1 yr/$740k (24),$740k,Pre-Arb,Arb,Arb,Arb,FA,,,,wardth01
Amos Willingham,25,2,Amateur Draft,0.070,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,william01
Ildemaro Vargas,32,8,Free Agency,4.007,,1 yr/$1.1M (24),$1.1M,Arb,FA,,,,,,,vargail01
Stone Garrett,28,3,Free Agency,1.050,,1 yr/$799k (24),$798.6k,Pre-Arb,Arb,Arb,Arb,FA,,,,garrest01
Jordan Weems,31,5,Free Agency,2.055,,1 yr/$774k (24),$773.5k,Arb,Arb,Arb,FA,,,,,weemsjo01
Josiah Gray,26,4,Traded,2.075,Icon Sports Manag...,1 yr/$757k (24),$757.4k,Arb,Arb,Arb,FA,,,,,grayjo03
MacKenzie Gore,25,3,Traded,2.000,,1 yr/$750k (24),$749.6k,Arb,Arb,Arb,FA,,,,,gorema01
Mason Thompson,26,3,Traded,2.046,,1 yr/$749k (24),$749.2k,Arb,Arb,Arb,FA,,,,,thompma02
Jake Irvin,27,2,Amateur Draft,0.152,,1 yr/$746k (24),$745.6k,Pre-Arb,Arb,Arb,Arb,Arb,FA,,,irvinja01
Jose A. Ferrer,24,2,Free Agency,0.094,,1 yr/$743k (24),$743k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,ferrejo01
Robert Garcia,28,2,Waivers,0.086,,1 yr/$743k (24),$742.8k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,garciro04
Cade Cavalli,25,1st,Amateur Draft,1.041,,1 yr/$740k (24),$740.2k,Pre-Arb,Arb,Arb,Arb,FA,,,,cavalca01
Alex Call,29,3,Waivers,1.086,,1 yr/$740k (24),$740k,Pre-Arb,Arb,Arb,Arb,FA,,,,callal02
Joan Adon,25,4,,0.137,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,adonjo01
José Tena,23,2,Traded,0.042,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,tenajo01
Jacob Young,24,2,Amateur Draft,0.037,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,youngja03
Drew Millas,26,2,Traded,0.035,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,milladr01
Jackson Rutledge,25,2,Amateur Draft,0.019,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,rutleja01
Jacob Barnes,34,9,Free Agency,5.112,,,Arb (~$1M),,,,,,,,,barneja01
Carter Kieboom,26,4,Amateur Draft,2.168,ACES,,,,Arb,Arb,FA,,,,,kieboca01
Spenser Watkins,31,3,,1.083,Gaeta Sports Mana...,,,,Arb,Arb,Arb,FA,,,,watkisp01
Rico Garcia,30,4,Free Agency,1.042,Gaeta Sports Mana...,,,,Arb,Arb,Arb,FA,,,,garciri01
Juan Yepez,26,3,Free Agency,1.018,,,,,Arb,Arb,Arb,FA,,,,yepezju01
Israel Pineda,24,1st,Free Agency,0.157,,,,,Arb,Arb,Arb,Arb,FA,,,pinedis01
Joe La Sorsa,26,2,Waivers,0.088,Gaeta Sports Mana...,,,,,Arb,Arb,Arb,FA,,,lasorjo01
Jake Alu,27,1st,Amateur Draft,0.074,,,,,,Arb,Arb,Arb,FA,,,aluja01
Eduardo Salazar,26,2,Waivers,0.023,,,,,,Arb,Arb,Arb,FA,,,salazed01
