Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fldpct,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,PB,WP,SB,CS,CSpct,lgCSpct,PO,Pos-Summary,Name-additional
CJ Abrams,23,136,135,124,1170.2,526,160,349,17,68,0.968,-9,-9,1,1,2,3.91,3.74,,,,,,,,SS,abramcj01
Riley Adams,28,40,36,29,314.1,294,279,10,5,2,0.983,-6,-22,-2,-8,-2,8.27,7.05,3,18,31,3,0.09,0.20,0,C-DH,adamsri03
Joan Adon,25,8,1,0,10.2,6,2,4,0,0,1,,,1,19,0,5.06,0.75,,,1,0,0.00,0.20,0,P,adonjo01
Darren Baker,25,5,2,2,21,5,2,3,0,1,1,-1,-81,-2,-114,0,2.14,0.63,,,,,,,,2B-LF-DH,bakerda02
Jacob Barnes,34,63,0,0,66,9,6,2,1,0,0.889,,,-2,-6,0,1.09,0.13,,,7,1,0.13,0.20,1,P,barneja01
Matt Barnes,34,14,0,0,13.1,1,1,0,0,0,1,,,-1,-15,0,0.68,0.07,,,4,0,0.00,0.20,0,P,barnema01
Travis Blankenhorn,27,3,2,0,16,6,6,0,0,0,1,1,56,0,0,0,3.38,0.46,,,,,,,,RF-DH,blanktr01
Zach Brzykcy,24,6,0,0,5.2,0,0,0,0,0,,,,0,0,,0,0,,,0,0,,,0,P,brzykza01
Alex Call,29,30,27,23,238.1,77,73,2,2,2,0.974,1,7,2,10,0,2.83,2.27,,,,,,,,RF-CF-LF,callal02
Andrés Chaparro,25,12,12,10,102,89,80,9,0,11,1,1,9,-1,-12,-1,7.85,2.7,,,,,,,,1B-DH,chapaan01
Patrick Corbin,34,32,32,0,174.2,25,3,22,0,1,1,,,1,1,0,1.29,0.78,,,24,9,0.27,0.20,3,P,corbipa01
Dylan Crews,22,31,31,28,273.2,67,66,1,0,0,1,-3,-13,4,18,0,2.2,1.97,,,,,,,,RF-CF,crewsdy01
Jose A. Ferrer,24,31,0,0,32,4,0,4,0,0,1,,,0,0,0,1.13,0.13,,,0,0,,,0,P,ferrejo01
Kyle Finnegan,32,65,0,0,63.2,5,0,5,0,1,1,,,-2,-6,-1,0.71,0.08,,,8,0,0.00,0.20,0,P,finneky01
Dylan Floro,33,51,0,0,52.1,8,3,5,0,0,1,,,0,0,0,1.38,0.16,,,8,1,0.11,0.20,0,P,florody01
Joey Gallo,30,69,61,55,554.2,479,453,25,1,45,0.998,4,9,6,13,2,7.76,6.46,,,,,,,,1B-RF-LF-DH,gallojo01
Luis García Jr.,24,129,122,115,1086,536,221,305,10,84,0.981,1,1,-5,-6,0,4.36,3.84,,,,,,,,2B-DH,garcilu04
Robert Garcia,28,72,0,0,59.2,4,0,3,1,1,0.75,,,-1,-3,0,0.45,0.04,,,4,1,0.20,0.20,0,P,garciro04
Stone Garrett,28,1,1,,,,,,,,,,,,,,,,,,,,,,,DH,garrest01
MacKenzie Gore,25,32,32,0,166.1,18,2,13,3,1,0.833,,,-3,-4,0,0.81,0.47,,,26,2,0.07,0.20,0,P,gorema01
Josiah Gray,26,2,2,0,8.1,0,0,0,0,0,,,,0,0,,0,0,,,1,0,0.00,0.20,0,P,grayjo03
Hunter Harvey,29,43,0,0,45,6,5,1,0,0,1,,,-3,-13,0,1.2,0.14,,,10,2,0.17,0.20,0,P,harvehu01
DJ Herz,23,19,19,0,88.2,5,0,5,0,0,1,,,0,0,-1,0.51,0.26,,,2,0,0.00,0.21,0,P,herzdj01
Jake Irvin,27,33,33,0,187.2,47,17,28,2,1,0.957,,,6,6,1,2.16,1.36,,,5,4,0.44,0.20,0,P,irvinja01
Joe La Sorsa,26,16,0,0,17.2,4,0,4,0,0,1,,,0,0,0,2.04,0.25,,,4,1,0.20,0.20,1,P,lasorjo01
Derek Law,33,75,0,0,90,10,4,6,0,2,1,,,-1,-2,0,1,0.13,,,7,1,0.13,0.20,0,P,lawde01
Trey Lipscomb,24,60,57,48,496.1,168,49,110,9,16,0.946,3,8,3,7,0,2.88,2.52,,,,,,,,3B-1B-2B-DH,lipsctr01
Joey Meneses,32,50,49,46,431.2,387,358,29,0,39,1,0,1,0,0,1,8.07,5.16,,,,,,,,1B-DH,menesjo01
Drew Millas,26,18,17,17,148,152,143,8,1,1,0.993,1,6,0,0,0,9.18,7.95,1,8,12,5,0.29,0.20,0,C-DH,milladr01
Nasim Nuñez,23,35,21,19,212.1,123,38,80,5,19,0.959,1,8,2,11,0,5,3.19,,,,,,,,SS-2B-DH,nunezna01
Mitchell Parker,24,29,29,0,151,13,2,6,5,0,0.615,,,-4,-5,-1,0.48,0.28,,,4,1,0.20,0.20,0,P,parkemi01
Tanner Rainey,31,50,0,0,51,6,4,2,0,0,1,,,-1,-4,0,1.06,0.12,,,4,1,0.20,0.20,0,P,raineta01
Harold Ramírez,29,25,18,,,,,,,,,,,,,,,,,,,,,,,DH,ramirha02
Orlando Ribalta,26,4,0,0,3.1,0,0,0,0,0,,,,0,0,,0,0,,,0,0,,,0,P,ribalor01
Víctor Robles,27,14,10,7,82.2,27,25,1,1,0,0.963,1,21,2,29,0,2.83,1.86,,,,,,,,RF-CF,roblevi01
Eddie Rosario,32,51,44,31,400.2,94,91,1,2,1,0.979,-5,-15,-5,-15,-1,2.07,1.21,,,,,,,,RF-LF-CF-DH,rosared01
Keibert Ruiz,25,116,109,104,971.2,962,921,39,2,8,0.998,-3,-4,2,2,0,8.89,7.62,4,36,89,22,0.20,0.20,1,C-DH,ruizke01
Jackson Rutledge,25,3,1,0,8.1,0,0,0,0,0,,,,0,0,,0,0,,,1,2,0.67,0.20,0,P,rutleja01
Eduardo Salazar,26,25,0,0,27.1,5,1,3,1,0,0.8,,,0,0,0,1.32,0.16,,,4,2,0.33,0.20,0,P,salazed01
Nick Senzel,29,47,45,39,388.1,128,28,95,5,8,0.961,-1,-2,-8,-25,-1,2.85,1.95,,,,,,,,3B-DH,senzeni01
José Tena,23,41,41,37,355.1,111,28,74,9,20,0.919,2,8,-2,-7,1,2.58,2.37,,,,,,,,3B-2B,tenajo01
Lane Thomas,28,76,76,73,667.2,171,162,5,4,3,0.977,-14,-26,-10,-18,-2,2.25,2.14,,,,,,,,RF-CF-DH,thomala02
Ildemaro Vargas,32,92,71,55,679.1,239,100,133,6,32,0.975,-2,-4,-3,-5,-2,3.09,2.2,,,0,0,,,0,3B-2B-LF-SS-P-1B-DH,vargail01
Jordan Weems,31,41,0,0,41.2,10,1,8,1,1,0.9,,,1,5,0,1.94,0.22,,,6,1,0.14,0.20,1,P,weemsjo01
Amos Willingham,25,1,0,0,1,0,0,0,0,0,,,,0,0,,0,0,,,1,0,0.00,0.20,0,P,william01
Trevor Williams,32,13,13,0,66.2,7,2,5,0,0,1,,,2,6,0,0.95,0.54,,,1,1,0.50,0.21,1,P,willitr01
Jesse Winker,30,65,62,47,515.2,105,98,5,2,1,0.981,-1,-3,1,2,0,1.8,1.01,,,,,,,,LF-RF-DH,winkeje01
James Wood,21,79,79,77,697.2,137,129,4,4,1,0.971,-2,-3,-7,-12,-2,1.72,1.68,,,,,,,,LF,woodja03
Juan Yepez,26,47,45,41,398.1,372,351,19,2,43,0.995,-4,-11,-2,-6,-1,8.36,5.97,,,,,,,,1B-DH,yepezju01
Jacob Young,24,149,142,137,1251.2,401,388,5,8,2,0.98,8,8,12,12,-4,2.83,2.62,,,,,,,,CF-DH,youngja03
Infield Shifts,,,,,,,,,,,,,,9,,,,,,,,,,,,,-9999
Non-Shift Infield Positioning,,,,,,,,,,,,,,-2,,,,,,,,,,,,,-9999
Outfield Positioning,,,,,,,,,,,,,,-9,,,,,,,,,,,,,-9999
Team Totals,27.4,162,1458,1164,12906,5849,4302,1438,109,155,0.981,-25,-2,-21,,,4,2.68,8,62,132,30,0.19,0.20,8,,-9999
Rank in 15 NL teams,,,,,,,,,14,,14,,,,,,,,,,,,,,,,-9999
