Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,number,Thr,Opp-Starter-GmeSc
1,1,Mar 28,@,CIN,L2-8,32,32,2,6,0,0,1,2,0,0,9,0,0,0,0,0,0,0,.188,.188,.281,.469,3,9,R,F.Montas(68)
2,2,Mar 30,@,CIN,W7-6,44,35,7,11,2,1,1,6,6,0,14,1,0,2,0,1,5,0,.254,.316,.403,.719,10,11,R,H.Greene(49)
3,3,Mar 31,@,CIN,L5-6,42,34,5,9,2,0,2,5,4,0,7,2,1,1,0,0,2,0,.257,.333,.436,.769,10,11,R,N.Martinez(45)
4,4,Apr 1,,PIT,L4-8,38,34,4,8,0,0,1,4,4,0,8,0,0,0,0,1,2,0,.252,.329,.407,.736,7,10,L,M.Gonzales(55)
5,5,Apr 3,,PIT,W5-3,35,32,5,10,5,0,1,5,2,0,8,0,0,0,0,1,1,0,.263,.333,.437,.770,6,10,R,M.Keller(37)
6,6,Apr 4,,PIT,L4-7,39,35,4,8,1,0,1,4,4,0,10,0,0,0,1,1,0,0,.257,.329,.421,.750,8,10,L,M.Pérez(58)
7,7,Apr 5,,PHI,L0-4,33,28,0,2,1,0,0,0,5,0,7,0,0,0,0,0,0,0,.235,.314,.383,.697,6,10,R,A.Nola(65)
8,8,Apr 6,,PHI,L2-5,34,31,2,4,0,0,1,2,2,0,6,1,0,0,1,0,1,1,.222,.302,.364,.666,5,11,L,R.Suárez(60)
9,9,Apr 7,,PHI,W3-2,36,31,3,8,1,0,0,3,4,0,3,0,0,1,0,0,5,0,.226,.305,.356,.661,9,10,L,C.Sánchez(37)
10,10,Apr 8,@,SFG,W8-1,44,36,8,10,2,0,1,7,7,0,10,1,0,0,0,0,4,0,.232,.317,.363,.680,9,9,L,B.Snell(44)
11,11,Apr 9,@,SFG,W5-3,36,33,5,8,2,0,1,5,0,0,9,2,0,1,0,0,3,1,.233,.314,.366,.680,4,9,L,K.Harrison(58)
12,12,Apr 10,@,SFG,L1-7,31,28,1,4,0,0,1,1,2,0,5,1,0,0,0,2,2,0,.226,.308,.357,.665,3,9,R,J.Hicks(60)
13,13,Apr 12,@,OAK,L1-2,38,35,1,8,2,0,1,1,3,0,10,0,0,0,1,2,0,1,.226,.306,.358,.665,8,11,R,P.Blackburn(65)
14,14,Apr 13,@,OAK,W3-1,38,35,3,10,4,1,0,3,2,1,11,0,1,0,0,1,1,0,.231,.308,.366,.674,8,9,R,J.Boyle(57)
15,15,Apr 14,@,OAK,L6-7,43,36,6,12,4,0,1,6,5,1,8,2,0,0,0,2,2,1,.238,.318,.378,.696,10,10,L,A.Wood(33)
16,16,Apr 15,@,LAD,W6-4,37,35,6,8,4,0,2,5,2,0,7,0,0,0,0,0,0,0,.238,.315,.387,.702,4,9,R,T.Glasnow(30)
17,17,Apr 16,@,LAD,L2-6,34,32,2,6,1,0,1,2,1,0,5,1,0,0,0,0,2,0,.235,.311,.383,.693,5,9,R,K.Hurt(50)
18,18,Apr 17,@,LAD,W2-0,34,28,2,4,0,0,1,2,4,0,11,1,0,1,0,1,3,1,.231,.308,.376,.685,5,10,R,L.Knack(54)
19,19,Apr 19,,HOU,L3-5,34,32,3,8,1,1,1,3,1,0,8,0,0,1,0,0,1,2,.232,.306,.379,.686,4,12,R,J.Verlander(60)
20,20,Apr 20,,HOU,W5-4,42,35,5,9,2,0,1,5,5,0,10,0,0,1,0,0,1,0,.233,.308,.381,.689,11,11,R,R.Blanco(57)
21,21,Apr 21,,HOU,W6-0,38,33,6,11,0,0,1,6,5,0,9,0,0,0,0,2,3,0,.238,.314,.383,.696,8,9,R,H.Brown(46)
22,22,Apr 23,,LAD,L1-4,39,31,1,7,1,0,0,1,8,0,5,0,0,0,0,0,1,2,.237,.317,.377,.694,11,11,L,J.Paxton(48)
23,23,Apr 24,,LAD,L2-11,34,30,2,3,0,0,1,2,3,0,7,1,0,0,0,0,0,0,.232,.313,.370,.683,5,9,R,L.Knack(60)
24,24,Apr 25,,LAD,L1-2,35,34,1,7,2,0,0,1,1,0,13,0,0,0,0,0,1,0,.231,.309,.366,.675,7,10,R,Y.Yamamoto(70)
25,25,Apr 26,@,MIA,W3-1,36,32,3,8,0,0,0,2,3,1,7,0,1,0,0,2,1,0,.231,.309,.361,.671,6,9,R,A.Maldonado(55)
26,26,Apr 27,@,MIA,W11-4,46,40,11,11,1,1,3,9,4,0,8,2,0,0,1,0,3,0,.233,.312,.371,.683,8,11,R,E.Cabrera(35)
27,27,Apr 28,@,MIA,W12-9,49,42,12,14,3,0,2,10,4,0,9,3,0,0,1,0,4,0,.238,.318,.379,.697,10,9,L,R.Weathers(28)
28,28,Apr 29,@,MIA,W7-2,39,34,7,7,3,0,1,6,4,1,3,1,0,0,1,0,4,1,.237,.318,.379,.697,5,10,L,T.Rogers(47)
29,29,Apr 30,@,TEX,L1-7,30,30,1,3,0,0,0,1,0,0,3,0,0,0,0,0,1,0,.233,.312,.371,.682,2,9,R,J.Gray(75)
30,30,May 1,@,TEX,W1-0,29,29,1,5,1,0,0,1,0,0,5,0,0,0,0,2,0,1,.231,.308,.366,.674,1,9,L,A.Heaney(69)
31,31,May 2,@,TEX,L0-6,33,30,0,4,2,0,0,0,3,0,12,0,0,0,0,1,0,0,.228,.305,.361,.666,6,10,R,N.Eovaldi(70)
32,32,May 3,,TOR,W9-3,41,35,9,12,3,0,1,6,5,1,7,0,1,0,1,1,1,0,.232,.309,.366,.675,8,12,L,Y.Kikuchi(62)
33,33,May 4,,TOR,L3-6,40,33,3,6,0,0,0,3,5,0,13,1,0,1,1,0,2,0,.230,.309,.361,.669,10,9,R,K.Gausman(68)
34,34,May 5,,TOR,W11-8,43,35,11,11,3,0,3,11,5,1,8,1,1,1,2,0,1,0,.233,.312,.370,.682,8,10,R,A.Manoah(26)
35,35,May 7,,BAL,W3-0,36,30,3,6,2,0,0,3,6,0,8,0,0,0,0,0,4,0,.232,.313,.367,.680,9,9,R,C.Burnes(54)
36,36,May 8,,BAL,L6-7,51,42,6,9,2,0,1,6,7,0,11,1,0,1,0,1,1,0,.231,.313,.366,.679,12,11,R,K.Bradish(62)
37,37,May 10,@,BOS,W5-1,37,34,5,8,2,0,0,4,2,0,8,1,0,0,0,0,4,0,.232,.313,.364,.677,5,9,R,T.Houck(56)
38,38,May 11,@,BOS,L2-4,32,29,2,4,0,0,2,2,2,0,12,1,0,0,1,2,0,1,.229,.311,.363,.674,3,9,R,C.Criswell(61)
39,39,May 12,@,BOS,L2-3,33,28,2,5,0,0,1,2,4,0,3,1,0,0,1,0,2,2,.228,.311,.362,.673,4,11,R,B.Bello(50)
40,40,May 14 (1),@,CHW,W6-3,41,35,6,10,0,0,0,6,4,0,11,0,1,1,1,1,3,0,.230,.312,.360,.672,8,12,R,C.Flexen(42)
41,41,May 14 (2),@,CHW,L0-4,34,31,0,4,1,0,0,0,3,0,8,0,0,0,0,0,0,0,.227,.309,.355,.665,7,9,R,E.Fedde(77)
42,42,May 15,@,CHW,L0-2,36,31,0,3,1,0,0,0,5,0,10,0,0,0,1,0,3,0,.225,.307,.350,.658,9,13,L,G.Crochet(64)
43,43,May 17,@,PHI,L2-4,33,30,2,4,4,0,0,2,3,0,6,0,0,0,0,0,0,0,.223,.305,.348,.654,4,9,R,Z.Wheeler(67)
44,44,May 18,@,PHI,L3-4,39,38,3,11,2,0,0,3,0,0,12,1,0,0,0,2,1,0,.224,.305,.348,.654,7,12,L,C.Sánchez(61)
45,45,May 19,@,PHI,L5-11,38,34,5,7,1,0,2,5,4,0,7,0,0,0,1,0,0,0,.224,.305,.350,.655,6,9,R,A.Nola(65)
46,46,May 20,,MIN,W12-3,40,38,12,14,3,0,2,10,2,0,8,0,0,0,0,0,2,0,.228,.307,.356,.663,4,9,R,P.López(27)
47,47,May 21,,MIN,L0-10,32,29,0,3,1,0,0,0,3,0,10,0,0,0,0,1,0,0,.225,.305,.352,.657,5,12,R,J.Ryan(75)
48,48,May 22,,MIN,L2-3,35,31,2,7,1,0,1,2,1,0,6,1,2,0,0,0,0,1,.225,.305,.352,.657,6,12,R,S.Woods Richardson(58)
