Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,number,Umpire,Pitchers-Used-Rest-GameScore-Dec
1,1,Mar 28,@,CIN,L2-8,8.0,10,8,8,0,2,9,2,1,9.00,37,128,83,0,0,3,0,34,3,0,0,0,0,0,0,5,Dan Iassogna,J.Gray (99-22-L) R.Garcia (99) D.Floro (99) M.Barnes (99) T.Rainey (99)
2,2,Mar 30,@,CIN,W7-6,9.0,10,6,6,0,3,8,2,0,7.41,37,139,90,1,1,2,2,34,2,0,0,0,0,0,0,5,CB Bucknor,P.Corbin (99-34) D.Law (99) J.Weems (99) H.Harvey (99-W) K.Finnegan (99-Sv)
3,3,Mar 31,@,CIN,L5-6,8.2,14,6,6,0,3,7,2,0,7.01,39,143,90,0,0,1,1,36,3,1,0,0,0,0,3,5,Adam Beck,J.Irvin (99-43) R.Garcia (2) D.Floro (2-H) H.Harvey (0-H) K.Finnegan (0-BL)
4,4,Apr 1,,PIT,L4-8,9.0,15,8,8,0,6,9,0,2,7.27,50,205,124,4,2,0,0,40,6,0,0,1,1,0,0,5,Andy Fletcher,M.Gore (99-50) D.Law (1) R.Garcia (0-L) M.Barnes (3) T.Rainey (3)
5,5,Apr 3,,PIT,W5-3,9.0,4,3,3,0,4,13,1,0,6.39,36,159,94,2,0,0,0,32,1,0,0,0,0,1,0,5,Mike Muchlinski,T.Williams (99-57-W) R.Garcia (1-H) J.Weems (3-H) H.Harvey (2-H) K.Finnegan (2-Sv)
6,6,Apr 4,,PIT,L4-7,9.0,11,7,7,0,7,7,1,0,6.49,44,182,105,1,1,0,0,35,2,0,1,0,2,0,1,5,Jansen Visconti,J.Gray (6-25-L) D.Law (2) M.Barnes (2) T.Rainey (2) D.Floro (3)
7,7,Apr 5,,PHI,L0-4,9.0,9,4,4,0,9,9,0,0,6.13,43,154,93,2,0,1,1,33,3,0,0,0,1,1,2,4,Jonathan Parra,P.Corbin (5-41-L) J.Weems (1) T.Rainey (0) M.Barnes (0)
8,8,Apr 6,,PHI,L2-5,9.0,9,5,5,0,3,8,1,0,5.99,37,150,97,0,0,2,1,34,1,1,1,0,0,0,0,4,Roberto Ortiz,J.Irvin (5-50-L) D.Law (1) R.Garcia (2) D.Floro (1)
9,9,Apr 7,,PHI,W3-2,9.0,5,2,2,0,3,10,1,0,5.54,32,138,94,0,0,1,1,29,0,0,0,0,0,0,1,4,Alfonso Márquez,M.Gore (5-55-W) J.Weems (1-H) H.Harvey (3-H) K.Finnegan (3-Sv)
10,10,Apr 8,@,SFG,W8-1,9.0,6,1,1,0,3,7,0,0,5.08,35,141,91,0,0,0,0,32,3,0,0,0,0,0,1,4,Chris Guccione,T.Williams (4-56-W) D.Law (1) D.Floro (1) M.Barnes (2)
11,11,Apr 9,@,SFG,W5-3,9.0,10,3,2,1,5,6,0,0,4.79,41,166,111,1,0,0,0,34,0,0,0,1,1,0,1,6,Brian Knight,J.Adon (99-51) R.Garcia (2) J.Weems (1-BW) D.Floro (0-H) H.Harvey (1-H) K.Finnegan (1-Sv)
12,12,Apr 10,@,SFG,L1-7,8.0,12,7,7,0,0,3,0,0,5.03,34,111,72,2,1,3,1,33,1,1,0,0,1,0,0,3,Gabe Morales,P.Corbin (4-21-L) D.Law (1) T.Rainey (4)
13,13,Apr 12,@,OAK,L1-2,9.1,3,2,1,1,3,10,1,0,4.70,35,130,84,1,0,1,0,32,0,0,1,0,0,1,0,5,John Libka,J.Irvin (5-69) J.Weems (2) R.Garcia (2) H.Harvey (2) K.Finnegan (2-L)
14,14,Apr 13,@,OAK,W3-1,9.0,8,1,1,0,2,18,0,0,4.43,36,156,105,3,0,2,0,34,1,0,0,0,0,0,1,6,James Hoye,M.Gore (5-69-W) D.Law (2-H) R.Garcia (0-H) J.Weems (0-H) H.Harvey (0-H) K.Finnegan (0-Sv)
15,15,Apr 14,@,OAK,L6-7,8.0,11,7,7,0,5,9,0,0,4.64,37,153,95,5,5,0,0,32,2,0,0,0,0,0,2,5,Rob Drake,T.Williams (5-50) D.Law (0-L) J.Weems (0-BSv) D.Floro (4) M.Barnes (5)
16,16,Apr 15,@,LAD,W6-4,9.0,9,4,3,1,0,9,0,0,4.53,37,162,106,2,0,1,0,34,2,0,0,0,2,0,0,5,Ramon De Jesus,M.Parker (99-55-W) M.Barnes (0) D.Floro (0-H) H.Harvey (1-H) K.Finnegan (1-Sv)
17,17,Apr 16,@,LAD,L2-6,8.0,13,6,6,0,5,8,1,0,4.65,39,138,84,2,1,0,1,34,3,0,1,0,0,0,1,3,Adrian Johnson,P.Corbin (5-36-L) D.Law (1) T.Rainey (5)
18,18,Apr 17,@,LAD,W2-0,9.0,5,0,0,0,2,9,0,0,4.39,33,118,84,1,0,1,0,31,2,0,0,0,0,0,1,4,Derek Thomas,J.Irvin (4-69-W) R.Garcia (3-H) H.Harvey (1-H) K.Finnegan (1-Sv)
