Rk,Pos,Name,Age,W,L,W-Lpct,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERAplus,FIP,WHIP,H9,HR9,BB9,SO9,SO-W,Name-additional
1,SP,Jake Irvin,27,10,14,.417,4.41,33,33,0,0,0,0,187.2,173,97,92,29,52,1,156,4,1,5,769,91,4.41,1.199,8.3,1.4,2.5,7.5,3.00,irvinja01
2,SP,Patrick Corbin*,34,6,13,.316,5.62,32,32,0,0,0,0,174.2,208,114,109,25,54,1,139,3,0,3,764,72,4.42,1.500,10.7,1.3,2.8,7.2,2.57,corbipa01
3,SP,MacKenzie Gore*,25,10,12,.455,3.90,32,32,0,0,0,0,166.1,171,93,72,15,65,0,181,11,0,14,731,103,3.53,1.419,9.3,0.8,3.5,9.8,2.78,gorema01
4,SP,Mitchell Parker*,24,7,10,.412,4.29,29,29,0,0,0,0,151.0,154,82,72,18,43,0,133,2,0,7,646,94,3.85,1.305,9.2,1.1,2.6,7.9,3.09,parkemi01
5,SP,DJ Herz*,23,4,9,.308,4.16,19,19,0,0,0,0,88.2,76,45,41,11,36,0,106,3,1,5,382,97,3.71,1.263,7.7,1.1,3.7,10.8,2.94,herzdj01
6,SP,Trevor Williams,32,6,1,.857,2.03,13,13,0,0,0,0,66.2,51,17,15,3,18,0,59,0,1,0,260,199,2.79,1.035,6.9,0.4,2.4,8.0,3.28,willitr01
7,CL,Kyle Finnegan,32,3,8,.273,3.68,65,0,58,0,0,38,63.2,61,31,26,9,24,3,60,0,0,2,271,110,4.25,1.335,8.6,1.3,3.4,8.5,2.50,finneky01
8,RP,Derek Law,33,7,4,.636,2.60,75,0,8,0,0,1,90.0,82,31,26,7,24,0,76,1,0,6,365,155,3.32,1.178,8.2,0.7,2.4,7.6,3.17,lawde01
9,RP,Jacob Barnes,34,8,3,.727,4.36,63,0,5,0,0,0,66.0,67,36,32,10,20,2,55,0,0,3,277,93,4.38,1.318,9.1,1.4,2.7,7.5,2.75,barneja01
10,RP,Robert Garcia*,28,3,6,.333,4.22,72,0,6,0,0,0,59.2,55,34,28,4,16,1,75,1,0,4,251,96,2.38,1.190,8.3,0.6,2.4,11.3,4.69,garciro04
11,RP,Dylan Floro,33,3,3,.500,2.06,51,0,8,0,0,0,52.1,42,14,12,1,13,0,40,0,0,1,204,196,2.63,1.051,7.2,0.2,2.2,6.9,3.08,florody01
12,,Tanner Rainey,31,0,0,,4.76,50,0,30,0,0,0,51.0,47,28,27,8,29,1,44,4,0,5,231,85,5.42,1.490,8.3,1.4,5.1,7.8,1.52,raineta01
13,,Hunter Harvey,29,2,4,.333,4.20,43,0,2,0,0,0,45.0,43,24,21,4,12,1,50,4,0,2,190,96,3.17,1.222,8.6,0.8,2.4,10.0,4.17,harvehu01
14,,Jordan Weems,31,1,1,.500,6.70,41,0,10,0,0,0,41.2,49,35,31,7,24,0,35,2,0,1,196,60,5.54,1.752,10.6,1.5,5.2,7.6,1.46,weemsjo01
15,,Jose A. Ferrer*,24,1,0,1.000,3.38,31,0,6,0,0,1,32.0,27,12,12,1,6,0,25,2,1,1,129,120,2.76,1.031,7.6,0.3,1.7,7.0,4.17,ferrejo01
16,,Eduardo Salazar,26,0,1,.000,2.96,25,0,2,0,0,0,27.1,31,10,9,2,12,0,24,1,0,1,123,137,3.79,1.573,10.2,0.7,4.0,7.9,2.00,salazed01
17,,Joe La Sorsa*,26,0,0,,4.58,16,0,6,0,0,0,17.2,17,9,9,4,5,1,14,1,0,0,74,89,5.54,1.245,8.7,2.0,2.5,7.1,2.80,lasorjo01
18,,Matt Barnes,34,0,0,,6.75,14,0,8,0,0,0,13.1,16,11,10,1,4,0,10,0,1,2,60,61,3.54,1.500,10.8,0.7,2.7,6.8,2.50,barnema01
19,,Joan Adon,25,0,0,,6.75,8,1,5,0,0,0,10.2,12,8,8,2,4,0,6,1,0,0,48,62,5.89,1.500,10.1,1.7,3.4,5.1,1.50,adonjo01
20,,Jackson Rutledge,25,0,0,,3.24,3,1,1,0,0,0,8.1,8,3,3,1,2,0,9,1,0,0,34,130,3.65,1.200,8.6,1.1,2.2,9.7,4.50,rutleja01
21,,Josiah Gray,26,0,2,.000,14.04,2,2,0,0,0,0,8.1,15,13,13,2,5,0,9,0,0,0,44,30,5.93,2.400,16.2,2.2,5.4,9.7,1.80,grayjo03
22,,Zach Brzykcy,24,0,0,,14.29,6,0,1,0,0,0,5.2,9,9,9,2,3,0,4,0,0,0,28,30,7.93,2.118,14.3,3.2,4.8,6.4,1.33,brzykza01
23,,Orlando Ribalta,26,0,0,,13.50,4,0,3,0,0,0,3.1,10,5,5,0,2,0,3,1,0,0,23,33,4.07,3.600,27.0,0.0,5.4,8.1,1.50,ribalor01
24,,Ildemaro Vargas,32,0,0,,4.50,2,0,2,0,0,0,2.0,3,1,1,1,0,0,0,1,0,0,9,106,11.17,1.500,13.5,4.5,0.0,0.0,,vargail01
25,,Amos Willingham,25,0,0,,18.00,1,0,1,0,0,0,1.0,2,2,2,1,0,0,1,0,0,0,5,31,14.17,2.000,18.0,9.0,0.0,9.0,,william01
,,Team Totals,28.7,71,91,.438,4.30,162,162,162,0,0,40,1434.0,1429,764,685,168,473,11,1314,43,5,62,6114,94,3.94,1.326,9.0,1.1,3.0,8.2,2.78,-9999
,,Rank in 15 NL teams,,13,3,,12,,,,11,14,6,11,12,12,12,5,5,,12,,,,,,,,,,,,,-9999
