Name,Age,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWLpct,162WLpct,oWAR,dWAR,oRAR,Salary,Acquired,Pos Summary,Name-additional
CJ Abrams*,23,138,602,5,-1,1,1,8,15,1.5,20,35,3.4,.511,.509,3.3,0.9,34,$752400,Traded,*6/H,abramcj01
Riley Adams,28,41,130,-2,-1,-1,-1,3,-2,-0.2,4,2,0.2,.494,.499,0.3,0.2,3,$750900,Traded,2/DH,adamsri03
Darren Baker*,25,9,14,2,0,0,-2,0,0,0.0,0,0,0.0,.499,.500,0.2,-0.2,2,,Amateur Draft,/H4D7,bakerda02
Travis Blankenhorn*,27,13,32,-4,0,0,0,-1,-5,-0.6,1,-4,-0.5,.456,.497,-0.5,-0.1,-4,,Free Agency,D/H9,blanktr01
Alex Call,29,30,113,10,0,0,2,-1,11,1.1,4,15,1.5,.538,.507,1.3,0.1,13,$740000,Waivers,9/87H,callal02
Andrés Chaparro,25,33,132,0,-1,0,-1,-2,-5,-0.5,5,0,-0.1,.485,.497,0.1,-0.4,1,,Traded,D3,chapaan01
Dylan Crews,22,31,132,-3,1,0,4,-1,2,0.2,4,6,0.6,.506,.501,0.2,0.3,2,,Amateur Draft,9/8,crewsdy01
Kyle Finnegan,32,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$5100000,Free Agency,1,finneky01
Joey Gallo*,30,76,260,-7,-1,0,6,-4,-5,-0.6,9,4,0.3,.493,.497,-0.4,0.2,-2,$2500000,Free Agency,3/9HD7,gallojo01
Luis García Jr.*,24,140,528,8,-1,-1,-5,4,5,0.5,18,23,2.2,.504,.503,2.7,-0.2,28,$1950000,Amateur Free Agent,*4H/D,garcilu04
Stone Garrett,28,2,6,2,0,0,0,0,3,0.3,0,3,0.3,.625,.502,0.3,0.0,3,$798600,Free Agency,/DH,garrest01
Derek Law,33,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$1500000,Free Agency,1,lawde01
Trey Lipscomb,24,61,211,-12,1,-1,3,1,-8,-0.8,7,-1,-0.1,.487,.495,-0.5,0.4,-3,$740000,Amateur Draft,5/3H4D,lipsctr01
Joey Meneses,32,76,313,-9,0,-1,0,-5,-15,-1.5,11,-4,-0.5,.480,.491,-0.5,-0.5,-4,$752000,Free Agency,3D/H,menesjo01
Drew Millas#,26,20,62,-1,1,0,1,1,2,0.2,2,4,0.4,.511,.501,0.3,0.2,3,$740000,Traded,2/HD,milladr01
Nasim Nuñez#,23,51,78,0,1,0,2,1,4,0.4,3,7,0.7,.509,.503,0.5,0.4,5,$740000,Rule 5 Draft,6H/4D,nunezna01
Harold Ramírez,29,25,77,-2,0,1,0,-2,-4,-0.4,3,-1,-0.2,.483,.497,-0.2,-0.2,-1,,Free Agency,D/H,ramirha02
Víctor Robles,27,14,33,-2,0,0,2,0,0,0.0,1,1,0.1,.499,.500,-0.1,0.2,-1,$2650000,Amateur Free Agent,/89H,roblevi01
Eddie Rosario*,32,67,235,-12,1,0,-5,-3,-18,-1.9,8,-10,-1.2,.471,.488,-0.7,-0.8,-5,$2000000,Free Agency,97D8/H,rosared01
Keibert Ruiz#,25,127,485,-17,-2,-1,3,8,-9,-1.0,17,8,0.6,.493,.494,0.3,1.1,4,$6375000,Traded,*2D/H,ruizke01
Nick Senzel,29,64,235,-3,-3,0,-8,0,-14,-1.4,8,-6,-0.7,.478,.491,0.2,-0.8,3,$2000000,Free Agency,5D/H,senzeni01
José Tena*,23,41,164,-3,1,0,-2,1,-2,-0.2,6,3,0.3,.494,.499,0.5,-0.1,5,,Traded,5/4,tenajo01
Lane Thomas,28,77,341,6,1,0,-10,-2,-6,-0.6,11,5,0.5,.492,.496,1.5,-1.3,15,$2200000,Traded,9/8D,thomala02
Ildemaro Vargas#,32,95,303,-10,-3,0,-3,2,-14,-1.4,10,-3,-0.5,.485,.491,-0.1,-0.1,0,$1100000,Free Agency,547H/631D,vargail01
Jesse Winker*,30,101,379,13,-2,-1,1,-5,6,0.7,13,19,1.9,.506,.504,1.8,-0.4,18,$2000000,Free Agency,7D/H9,winkeje01
James Wood*,21,79,336,9,-1,2,-7,-2,0,0.0,11,12,1.1,.500,.500,1.8,-1.0,19,,Traded,7,woodja03
Juan Yepez,26,62,249,5,-1,-1,-2,-4,-2,-0.2,9,7,0.6,.497,.499,0.8,-0.6,9,,Free Agency,3D/H,yepezju01
Jacob Young,24,150,521,-7,2,0,12,4,10,1.1,18,28,2.8,.507,.507,1.5,1.7,16,$740000,Amateur Draft,*8/HD,youngja03
Team Total,26.3,1625,5971,-32,-6,-3,-9,0,-51,-5.5,203,152,13.7,.497,.499,14.6,-1.0,161,$36128900,,,-9999
