Name,Age,Birth,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,,Name-additional
CJ Abrams,23,us US,L,R,6' 2",191,Oct 3 2000,3,138,135,138,136,0,0,0,0,0,136,0,0,0,0,0,2,1,3.4,$752400,All-Star,abramcj01
Riley Adams,28,us US,R,R,6' 4",263,Jun 26 1996,4,41,36,41,40,0,40,0,0,0,0,0,0,0,0,1,1,0,0.2,$750900,,adamsri03
Joan Adon,25,do DO,R,R,6' 2",247,Aug 12 1998,4,8,1,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,$740000,,adonjo01
Darren Baker,25,us US,L,R,5' 10",167,Feb 11 1999,1st,9,2,9,5,0,0,0,4,0,0,1,0,0,1,3,5,1,0.0,,,bakerda02
Jacob Barnes,34,us US,R,R,6' 2",231,Apr 14 1990,9,63,0,0,63,63,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,,barneja01
Matt Barnes,34,us US,R,R,6' 4",208,Jun 17 1990,11,14,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,$2000000,,barnema01
Travis Blankenhorn,27,us US,L,R,6' 1",242,Aug 3 1996,5,13,9,13,3,0,0,0,0,0,0,0,0,3,3,10,3,0,-0.5,,,blanktr01
Zach Brzykcy,24,us US,R,R,6' 2",208,Jul 12 1999,1st,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,,,brzykza01
Alex Call,29,us US,R,R,5' 11",189,Sep 27 1994,3,30,27,30,30,0,0,0,0,0,0,2,3,28,30,0,2,0,1.5,$740000,,callal02
Andrés Chaparro,25,ve VE,R,R,5' 11",200,May 4 1999,1st,33,33,33,12,0,0,12,0,0,0,0,0,0,0,21,0,0,-0.1,,,chapaan01
Patrick Corbin,34,us US,L,L,6' 4",225,Jul 19 1989,12,32,32,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,-0.9,$35416667,,corbipa01
Dylan Crews,22,us US,R,R,5' 11",203,Feb 26 2002,1st,31,31,31,31,0,0,0,0,0,0,0,4,30,31,0,0,0,0.6,,,crewsdy01
Jose A. Ferrer,24,do DO,L,L,6' 1",233,Mar 3 2000,2,31,0,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0.5,$743000,,ferrejo01
Kyle Finnegan,32,us US,R,R,6' 2",198,Sep 4 1991,5,65,0,1,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0.9,$5100000,All-Star,finneky01
Dylan Floro,33,us US,L,R,6' 2",212,Dec 27 1990,9,51,0,0,51,51,0,0,0,0,0,0,0,0,0,0,0,0,1.6,$2250000,,florody01
Joey Gallo,30,us US,L,R,6' 5",249,Nov 19 1993,10,76,64,76,69,0,0,59,0,0,0,2,0,9,11,4,7,0,0.3,$2500000,,gallojo01
Luis García Jr.,24,us US,L,R,6' 2",216,May 16 2000,5,140,126,140,129,0,0,0,129,0,0,0,0,0,0,8,14,0,2.2,$1950000,,garcilu04
Robert Garcia,28,us US,R,L,6' 4",236,Jun 14 1996,2,72,0,0,72,72,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,$742800,,garciro04
Stone Garrett,28,us US,R,R,6' 1",228,Nov 22 1995,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.3,$798600,,garrest01
MacKenzie Gore,25,us US,L,L,6' 2",193,Feb 24 1999,3,32,32,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0.8,$749600,,gorema01
Josiah Gray,26,us US,R,R,6' 1",209,Dec 21 1997,4,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,$757400,,grayjo03
Hunter Harvey,29,us US,R,R,6' 3",233,Dec 9 1994,6,43,0,0,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0.1,$2350000,,harvehu01
DJ Herz,23,us US,R,L,6' 2",197,Jan 4 2001,1st,19,19,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0.7,$740000,,herzdj01
Jake Irvin,27,us US,R,R,6' 6",234,Feb 18 1997,2,33,33,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0,1.9,$745600,,irvinja01
Joe La Sorsa,26,us US,L,L,6' 5",232,Apr 29 1998,2,16,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,,lasorjo01
Derek Law,33,us US,R,R,6' 3",225,Sep 14 1990,8,75,0,1,75,75,0,0,0,0,0,0,0,0,0,0,0,0,1.9,$1500000,,lawde01
Trey Lipscomb,24,us US,R,R,6' 3",202,Jun 14 2000,1st,61,57,61,60,0,0,5,2,55,0,0,0,0,0,1,3,0,-0.1,$740000,,lipsctr01
Joey Meneses,32,mx MX,R,R,6' 3",235,May 6 1992,3,76,74,76,50,0,0,50,0,0,0,0,0,0,0,25,1,0,-0.5,$752000,,menesjo01
