Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPSplus,rOBA,Rbatplus,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,J.T. Realmuto,33,C,3.0,99,413,380,50,101,18,1,14,47,2,2,27,102,.266,.322,.429,.751,109,.331,112,163,7,5,0,1,1,2,,realmjt01
2,Bryce Harper*,31,1B,4.8,145,631,550,85,157,42,0,30,87,7,4,76,138,.285,.373,.525,.898,149,.381,148,289,18,2,1,2,11,*3/D,AS,harpebr03
3,Bryson Stott*,26,2B,2.5,148,571,506,65,124,19,2,11,57,32,3,53,93,.245,.315,.356,.671,89,.309,87,180,9,3,0,9,1,*46H/D,,stottbr01
4,Trea Turner,31,SS,3.0,121,539,505,88,149,25,0,21,62,19,4,27,98,.295,.338,.469,.807,124,.358,127,237,10,6,0,1,0,*6/D,AS,turnetr01
5,Alec Bohm,27,3B,3.0,143,606,554,62,155,44,2,15,97,5,2,40,86,.280,.332,.448,.779,117,.340,117,248,18,6,0,6,2,*53/DH,AS,bohmal01
6,Brandon Marsh*,26,LF,3.1,135,476,418,55,104,17,3,16,60,19,3,50,154,.249,.328,.419,.747,109,.338,111,175,2,2,1,5,0,*78H/9,,marshbr02
7,Johan Rojas,23,CF,0.7,120,363,338,47,82,12,3,3,32,25,4,13,69,.243,.279,.322,.601,69,.277,63,109,7,4,8,0,0,*8/HD,,rojasjo03
8,Nick Castellanos,32,RF,0.8,162,659,606,80,154,30,4,23,86,6,2,41,139,.254,.311,.431,.742,106,.327,108,261,14,10,0,2,2,*9/D,,casteni01
9,Kyle Schwarber*,31,DH,3.5,150,692,573,110,142,22,0,38,104,5,3,106,197,.248,.366,.485,.851,137,.367,137,278,6,5,0,8,4,*D/7H,,schwaky01
10,Edmundo Sosa,28,IF,2.3,90,274,249,39,64,12,4,7,31,7,1,13,66,.257,.313,.422,.734,104,.330,107,105,5,8,1,2,0,654H,,sosaed01
11,Garrett Stubbs*,31,C,0.4,54,187,164,18,34,4,1,1,11,5,0,17,50,.207,.296,.262,.558,59,.271,63,43,0,4,0,1,0,2/1H,,stubbga01
12,Whit Merrifield,35,UT,0.1,53,174,156,21,31,4,1,3,11,11,1,15,19,.199,.277,.295,.572,62,.292,74,46,2,2,1,0,0,745H/D,,merriwh01
13,Kody Clemens*,28,UT,0.3,43,120,114,17,25,9,1,5,18,0,0,5,29,.219,.258,.447,.706,94,.300,88,51,2,1,0,0,0,H35/471D,,clemeko01
14,Cristian Pache,25,OF,0.1,50,118,104,9,21,5,1,0,9,0,0,13,43,.202,.288,.269,.557,59,.255,56,28,1,0,0,1,0,87H/D9,,pachecr01
15,Weston Wilson,29,LF,0.7,40,98,88,13,25,7,1,3,10,3,0,8,29,.284,.347,.489,.836,132,.372,135,43,2,1,0,1,0,7H/549318,,wilsowe01
16,Austin Hays,28,LF,-0.3,22,80,78,8,20,5,0,2,6,2,1,0,19,.256,.275,.397,.672,86,.286,79,31,1,2,0,0,0,7/H,,haysau01
17,David Dahl*,30,OF,0.3,19,62,58,6,12,2,0,3,8,0,0,3,21,.207,.242,.397,.638,76,.287,79,23,0,0,0,1,0,7/D9H,,dahlda01
18,Rafael Marchán#,25,C,0.7,17,56,51,8,15,4,0,3,6,0,0,3,8,.294,.345,.549,.894,147,.379,147,28,1,1,1,0,0,2,,marchra01
19,Cal Stevenson*,27,OF,0.0,18,27,24,2,6,3,0,0,6,0,0,3,4,.250,.333,.375,.708,99,.311,96,9,1,0,0,0,0,8/H97,,steveca01
20,Buddy Kennedy,25,IF,0.0,8,13,11,1,2,1,0,0,2,0,0,2,3,.182,.308,.273,.580,66,.271,67,3,0,0,0,0,0,/H54D,,kennebu01
21,Aramis Garcia,31,C,-0.1,3,7,7,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,.000,-129,0,1,0,0,0,0,/2,,garciar01
,Team Totals,,,28.9,162,6166,5534,784,1423,285,24,198,750,148,30,515,1370,.257,.325,.425,.750,109,.333,110,2350,107,62,13,40,21,,,-9999
